Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:00.625 GMT-0800,186.00400000000002,185.77599999999998,0.012,0.012
13.11.2023 06:30:00.676 GMT-0800,185.993,185.787,0.012,0.012
13.11.2023 06:30:00.828 GMT-0800,185.864,185.786,0.012,0.012
13.11.2023 06:30:01.331 GMT-0800,185.823,185.77700000000002,0.012,0.012
13.11.2023 06:30:01.381 GMT-0800,185.863,185.77700000000002,0.012,0.012
13.11.2023 06:30:01.482 GMT-0800,185.843,185.77700000000002,0.012,0.012
13.11.2023 06:30:01.607 GMT-0800,185.84400000000002,185.786,0.012,0.012
13.11.2023 06:30:01.711 GMT-0800,185.803,185.787,0.012,0.012
13.11.2023 06:30:01.800 GMT-0800,185.824,185.786,0.012,0.012
13.11.2023 06:30:02.050 GMT-0800,185.80400000000003,185.77599999999998,0.012,0.012
13.11.2023 06:30:02.151 GMT-0800,185.78400000000002,185.736,0.012,0.012
13.11.2023 06:30:02.251 GMT-0800,185.763,185.697,0.012,0.012
13.11.2023 06:30:02.302 GMT-0800,185.77400000000003,185.71599999999998,0.012,0.012
13.11.2023 06:30:02.353 GMT-0800,185.823,185.787,0.012,0.012
13.11.2023 06:30:02.454 GMT-0800,185.833,185.797,0.012,0.012
13.11.2023 06:30:02.605 GMT-0800,185.824,185.796,0.012,0.012
13.11.2023 06:30:02.655 GMT-0800,185.854,185.80599999999998,0.012,0.012
13.11.2023 06:30:02.806 GMT-0800,185.853,185.817,0.012,0.012
13.11.2023 06:30:02.857 GMT-0800,185.903,185.857,0.012,0.012
13.11.2023 06:30:02.908 GMT-0800,185.923,185.857,0.012,0.012
13.11.2023 06:30:02.958 GMT-0800,185.984,185.926,0.012,0.012
13.11.2023 06:30:03.059 GMT-0800,185.97299999999998,185.917,0.012,0.012
13.11.2023 06:30:03.206 GMT-0800,185.953,185.907,0.012,0.012
13.11.2023 06:30:03.308 GMT-0800,185.97299999999998,185.92700000000002,0.012,0.012
13.11.2023 06:30:03.459 GMT-0800,185.97400000000002,185.93599999999998,0.012,0.012
13.11.2023 06:30:03.667 GMT-0800,185.963,185.92700000000002,0.012,0.012
13.11.2023 06:30:03.768 GMT-0800,185.97299999999998,185.937,0.012,0.012
13.11.2023 06:30:04.028 GMT-0800,185.954,185.90599999999998,0.012,0.012
13.11.2023 06:30:04.094 GMT-0800,185.954,185.916,0.012,0.012
13.11.2023 06:30:04.195 GMT-0800,185.94299999999998,185.907,0.012,0.012
13.11.2023 06:30:04.246 GMT-0800,185.953,185.907,0.012,0.012
13.11.2023 06:30:04.296 GMT-0800,185.94400000000002,185.90599999999998,0.012,0.012
13.11.2023 06:30:04.463 GMT-0800,185.924,185.896,0.012,0.012
13.11.2023 06:30:04.513 GMT-0800,185.93400000000003,185.87599999999998,0.012,0.012
13.11.2023 06:30:04.564 GMT-0800,185.94400000000002,185.90599999999998,0.012,0.012
13.11.2023 06:30:04.677 GMT-0800,185.953,185.917,0.012,0.012
13.11.2023 06:30:04.737 GMT-0800,185.953,185.907,0.012,0.012
13.11.2023 06:30:04.856 GMT-0800,185.93400000000003,185.90599999999998,0.012,0.012
13.11.2023 06:30:04.907 GMT-0800,185.923,185.877,0.012,0.012
13.11.2023 06:30:05.103 GMT-0800,185.923,185.89700000000002,0.012,0.012
13.11.2023 06:30:05.204 GMT-0800,185.923,185.887,0.012,0.012
13.11.2023 06:30:05.355 GMT-0800,185.933,185.89700000000002,0.012,0.012
13.11.2023 06:30:05.491 GMT-0800,185.93400000000003,185.90599999999998,0.012,0.012
13.11.2023 06:30:05.542 GMT-0800,185.94299999999998,185.907,0.012,0.012
13.11.2023 06:30:05.634 GMT-0800,185.954,185.926,0.012,0.012
13.11.2023 06:30:05.685 GMT-0800,185.954,185.916,0.012,0.012
13.11.2023 06:30:05.786 GMT-0800,185.93400000000003,185.90599999999998,0.012,0.012
13.11.2023 06:30:05.867 GMT-0800,185.924,185.886,0.012,0.012
13.11.2023 06:30:06.057 GMT-0800,185.933,185.887,0.012,0.012
13.11.2023 06:30:06.107 GMT-0800,185.93400000000003,185.896,0.012,0.012
13.11.2023 06:30:06.208 GMT-0800,185.954,185.926,0.012,0.012
13.11.2023 06:30:06.259 GMT-0800,185.97400000000002,185.926,0.012,0.012
13.11.2023 06:30:06.328 GMT-0800,185.954,185.926,0.012,0.012
13.11.2023 06:30:06.379 GMT-0800,185.953,185.917,0.012,0.012
13.11.2023 06:30:06.532 GMT-0800,185.963,185.92700000000002,0.012,0.012
13.11.2023 06:30:06.659 GMT-0800,185.953,185.917,0.012,0.012
13.11.2023 06:30:06.785 GMT-0800,185.93400000000003,185.896,0.012,0.012
13.11.2023 06:30:06.835 GMT-0800,185.953,185.89700000000002,0.012,0.012
13.11.2023 06:30:06.889 GMT-0800,185.954,185.90599999999998,0.012,0.012
13.11.2023 06:30:07.166 GMT-0800,185.954,185.916,0.012,0.012
13.11.2023 06:30:07.217 GMT-0800,185.953,185.907,0.012,0.012
13.11.2023 06:30:07.436 GMT-0800,185.954,185.916,0.012,0.012
13.11.2023 06:30:07.487 GMT-0800,185.953,185.907,0.012,0.012
13.11.2023 06:30:07.571 GMT-0800,185.93400000000003,185.896,0.012,0.012
13.11.2023 06:30:07.622 GMT-0800,185.954,185.90599999999998,0.012,0.012
13.11.2023 06:30:07.896 GMT-0800,185.954,185.886,0.012,0.012
13.11.2023 06:30:07.946 GMT-0800,185.91400000000002,185.886,0.012,0.012
13.11.2023 06:30:08.097 GMT-0800,185.91299999999998,185.877,0.012,0.012
13.11.2023 06:30:08.212 GMT-0800,185.924,185.87599999999998,0.012,0.012
13.11.2023 06:30:08.319 GMT-0800,185.91400000000002,185.87599999999998,0.012,0.012
13.11.2023 06:30:08.369 GMT-0800,185.924,185.87599999999998,0.012,0.012
13.11.2023 06:30:08.420 GMT-0800,185.91400000000002,185.87599999999998,0.012,0.012
13.11.2023 06:30:08.529 GMT-0800,185.923,185.877,0.012,0.012
13.11.2023 06:30:08.631 GMT-0800,185.91299999999998,185.877,0.012,0.012
13.11.2023 06:30:08.794 GMT-0800,185.903,185.86700000000002,0.012,0.012
13.11.2023 06:30:08.895 GMT-0800,185.88400000000001,185.84599999999998,0.012,0.012
13.11.2023 06:30:08.996 GMT-0800,185.864,185.826,0.012,0.012
13.11.2023 06:30:09.097 GMT-0800,185.864,185.84599999999998,0.012,0.012
13.11.2023 06:30:09.148 GMT-0800,185.87400000000002,185.84599999999998,0.012,0.012
13.11.2023 06:30:09.200 GMT-0800,185.863,185.827,0.012,0.012
13.11.2023 06:30:09.250 GMT-0800,185.87400000000002,185.84599999999998,0.012,0.012
13.11.2023 06:30:09.301 GMT-0800,185.883,185.847,0.012,0.012
13.11.2023 06:30:09.367 GMT-0800,185.873,185.847,0.012,0.012
13.11.2023 06:30:09.418 GMT-0800,185.88400000000001,185.84599999999998,0.012,0.012
13.11.2023 06:30:09.496 GMT-0800,185.873,185.847,0.012,0.012
13.11.2023 06:30:09.547 GMT-0800,185.88400000000001,185.84599999999998,0.012,0.012
13.11.2023 06:30:09.662 GMT-0800,185.873,185.847,0.012,0.012
13.11.2023 06:30:09.777 GMT-0800,185.883,185.857,0.012,0.012
13.11.2023 06:30:09.877 GMT-0800,185.923,185.877,0.012,0.012
13.11.2023 06:30:09.928 GMT-0800,185.91400000000002,185.87599999999998,0.012,0.012
13.11.2023 06:30:10.036 GMT-0800,185.894,185.856,0.012,0.012
13.11.2023 06:30:10.138 GMT-0800,185.88400000000001,185.856,0.012,0.012
13.11.2023 06:30:10.189 GMT-0800,185.88400000000001,185.84599999999998,0.012,0.012
13.11.2023 06:30:10.240 GMT-0800,185.87400000000002,185.83599999999998,0.012,0.012
13.11.2023 06:30:10.447 GMT-0800,185.88400000000001,185.856,0.012,0.012
13.11.2023 06:30:10.505 GMT-0800,185.883,185.847,0.012,0.012
13.11.2023 06:30:10.555 GMT-0800,185.893,185.857,0.012,0.012
13.11.2023 06:30:10.656 GMT-0800,185.88400000000001,185.856,0.012,0.012
13.11.2023 06:30:10.814 GMT-0800,185.88400000000001,185.86599999999999,0.012,0.012
13.11.2023 06:30:10.864 GMT-0800,185.873,185.83700000000002,0.012,0.012
13.11.2023 06:30:11.174 GMT-0800,185.87400000000002,185.84599999999998,0.012,0.012
13.11.2023 06:30:11.224 GMT-0800,185.87400000000002,185.83599999999998,0.012,0.012
13.11.2023 06:30:11.794 GMT-0800,185.873,185.827,0.012,0.012
13.11.2023 06:30:11.844 GMT-0800,185.88400000000001,185.84599999999998,0.012,0.012
13.11.2023 06:30:11.945 GMT-0800,185.894,185.86599999999999,0.012,0.012
13.11.2023 06:30:12.046 GMT-0800,185.903,185.86700000000002,0.012,0.012
13.11.2023 06:30:12.096 GMT-0800,185.933,185.89700000000002,0.012,0.012
13.11.2023 06:30:12.197 GMT-0800,185.93400000000003,185.90599999999998,0.012,0.012
13.11.2023 06:30:12.334 GMT-0800,185.954,185.916,0.012,0.012
13.11.2023 06:30:12.385 GMT-0800,185.96400000000003,185.916,0.012,0.012
