Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:02.628 GMT-0800,11.704,11.686,0.012,0.012
13.11.2023 06:30:02.912 GMT-0800,11.704,11.676,0.012,0.012
13.11.2023 06:30:03.022 GMT-0800,11.694,11.676,0.012,0.012
13.11.2023 06:30:03.245 GMT-0800,11.694,11.665999999999999,0.012,0.012
13.11.2023 06:30:03.296 GMT-0800,11.684000000000001,11.665999999999999,0.012,0.012
13.11.2023 06:30:04.463 GMT-0800,11.673,11.657,0.012,0.012
13.11.2023 06:30:05.876 GMT-0800,11.663,11.647,0.012,0.012
13.11.2023 06:30:05.927 GMT-0800,11.664000000000001,11.636,0.012,0.012
13.11.2023 06:30:06.043 GMT-0800,11.674000000000001,11.636,0.012,0.012
13.11.2023 06:30:16.168 GMT-0800,11.704,11.686,0.012,0.012
13.11.2023 06:30:19.529 GMT-0800,11.714,11.686,0.012,0.012
13.11.2023 06:30:20.572 GMT-0800,11.703,11.687000000000001,0.012,0.012
13.11.2023 06:30:20.622 GMT-0800,11.713,11.687000000000001,0.012,0.012
13.11.2023 06:30:20.673 GMT-0800,11.713,11.697000000000001,0.012,0.012
13.11.2023 06:30:20.774 GMT-0800,11.704,11.686,0.012,0.012
13.11.2023 06:30:21.053 GMT-0800,11.714,11.686,0.012,0.012
13.11.2023 06:30:21.695 GMT-0800,11.714,11.696,0.012,0.012
13.11.2023 06:30:22.975 GMT-0800,11.714,11.686,0.012,0.012
13.11.2023 06:30:23.079 GMT-0800,11.713,11.697000000000001,0.012,0.012
13.11.2023 06:30:25.033 GMT-0800,11.724000000000002,11.696,0.012,0.012
13.11.2023 06:30:25.083 GMT-0800,11.714,11.696,0.012,0.012
13.11.2023 06:30:25.919 GMT-0800,11.724000000000002,11.696,0.012,0.012
13.11.2023 06:30:26.192 GMT-0800,11.714,11.696,0.012,0.012
13.11.2023 06:30:29.384 GMT-0800,11.722999999999999,11.707,0.012,0.012
13.11.2023 06:30:29.628 GMT-0800,11.722999999999999,11.697000000000001,0.012,0.012
13.11.2023 06:30:30.046 GMT-0800,11.724000000000002,11.706,0.012,0.012
13.11.2023 06:30:30.578 GMT-0800,11.714,11.696,0.012,0.012
13.11.2023 06:30:30.799 GMT-0800,11.714,11.686,0.012,0.012
13.11.2023 06:30:31.279 GMT-0800,11.713,11.697000000000001,0.012,0.012
13.11.2023 06:30:31.538 GMT-0800,11.724000000000002,11.706,0.012,0.012
13.11.2023 06:30:31.781 GMT-0800,11.713,11.697000000000001,0.012,0.012
13.11.2023 06:30:33.440 GMT-0800,11.724000000000002,11.696,0.012,0.012
13.11.2023 06:30:34.411 GMT-0800,11.713,11.697000000000001,0.012,0.012
13.11.2023 06:30:35.056 GMT-0800,11.722999999999999,11.697000000000001,0.012,0.012
13.11.2023 06:30:36.630 GMT-0800,11.713,11.697000000000001,0.012,0.012
13.11.2023 06:30:38.253 GMT-0800,11.713,11.687000000000001,0.012,0.012
13.11.2023 06:30:39.083 GMT-0800,11.704,11.686,0.012,0.012
13.11.2023 06:30:43.460 GMT-0800,11.714,11.686,0.012,0.012
13.11.2023 06:30:44.788 GMT-0800,11.714,11.696,0.012,0.012
13.11.2023 06:30:44.971 GMT-0800,11.713,11.687000000000001,0.012,0.012
13.11.2023 06:30:46.125 GMT-0800,11.714,11.696,0.012,0.012
13.11.2023 06:30:46.866 GMT-0800,11.713,11.687000000000001,0.012,0.012
13.11.2023 06:30:47.191 GMT-0800,11.713,11.697000000000001,0.012,0.012
13.11.2023 06:30:56.317 GMT-0800,11.724000000000002,11.696,0.012,0.012
13.11.2023 06:30:56.657 GMT-0800,11.724000000000002,11.706,0.012,0.012
13.11.2023 06:30:59.625 GMT-0800,11.713,11.697000000000001,0.012,0.012
13.11.2023 06:30:59.796 GMT-0800,11.722999999999999,11.697000000000001,0.012,0.012
13.11.2023 06:31:00.250 GMT-0800,11.714,11.696,0.012,0.012
13.11.2023 06:31:01.136 GMT-0800,11.722999999999999,11.707,0.012,0.012
13.11.2023 06:31:04.721 GMT-0800,11.714,11.696,0.012,0.012
13.11.2023 06:31:06.646 GMT-0800,11.713,11.687000000000001,0.012,0.012
13.11.2023 06:31:06.824 GMT-0800,11.703,11.687000000000001,0.012,0.012
13.11.2023 06:31:10.254 GMT-0800,11.694,11.676,0.012,0.012
13.11.2023 06:31:10.533 GMT-0800,11.704,11.686,0.012,0.012
13.11.2023 06:31:11.217 GMT-0800,11.714,11.696,0.012,0.012
13.11.2023 06:31:11.823 GMT-0800,11.714,11.686,0.012,0.012
13.11.2023 06:31:12.209 GMT-0800,11.713,11.697000000000001,0.012,0.012
13.11.2023 06:31:12.666 GMT-0800,11.703,11.687000000000001,0.012,0.012
13.11.2023 06:31:13.058 GMT-0800,11.713,11.687000000000001,0.012,0.012
13.11.2023 06:31:13.391 GMT-0800,11.714,11.696,0.012,0.012
13.11.2023 06:31:13.717 GMT-0800,11.714,11.686,0.012,0.012
13.11.2023 06:31:15.027 GMT-0800,11.713,11.697000000000001,0.012,0.012
13.11.2023 06:31:18.405 GMT-0800,11.722999999999999,11.697000000000001,0.012,0.012
