Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:01.472 GMT-0800,142.093,142.05700000000002,0.0012,0.0012
13.11.2023 06:30:01.911 GMT-0800,142.104,142.066,0.0012,0.0012
13.11.2023 06:30:02.012 GMT-0800,142.104,142.076,0.0012,0.0012
13.11.2023 06:30:02.113 GMT-0800,142.093,142.077,0.0012,0.0012
13.11.2023 06:30:02.163 GMT-0800,142.104,142.076,0.0012,0.0012
13.11.2023 06:30:02.380 GMT-0800,142.16299999999998,142.077,0.0012,0.0012
13.11.2023 06:30:02.486 GMT-0800,142.133,142.08700000000002,0.0012,0.0012
13.11.2023 06:30:02.536 GMT-0800,142.083,142.05700000000002,0.0012,0.0012
13.11.2023 06:30:02.587 GMT-0800,142.093,142.05700000000002,0.0012,0.0012
13.11.2023 06:30:02.637 GMT-0800,142.083,142.05700000000002,0.0012,0.0012
13.11.2023 06:30:02.738 GMT-0800,142.113,142.077,0.0012,0.0012
13.11.2023 06:30:02.839 GMT-0800,142.134,142.096,0.0012,0.0012
13.11.2023 06:30:02.889 GMT-0800,142.154,142.086,0.0012,0.0012
13.11.2023 06:30:02.940 GMT-0800,142.164,142.086,0.0012,0.0012
13.11.2023 06:30:02.990 GMT-0800,142.124,142.086,0.0012,0.0012
13.11.2023 06:30:03.041 GMT-0800,142.123,142.077,0.0012,0.0012
13.11.2023 06:30:03.242 GMT-0800,142.104,142.066,0.0012,0.0012
13.11.2023 06:30:03.293 GMT-0800,142.083,142.037,0.0012,0.0012
13.11.2023 06:30:03.343 GMT-0800,142.024,141.996,0.0012,0.0012
13.11.2023 06:30:03.399 GMT-0800,141.993,141.977,0.0012,0.0012
13.11.2023 06:30:03.449 GMT-0800,141.963,141.917,0.0012,0.0012
13.11.2023 06:30:03.501 GMT-0800,141.963,141.89700000000002,0.0012,0.0012
13.11.2023 06:30:03.552 GMT-0800,141.934,141.886,0.0012,0.0012
13.11.2023 06:30:03.613 GMT-0800,141.944,141.886,0.0012,0.0012
13.11.2023 06:30:03.664 GMT-0800,141.954,141.886,0.0012,0.0012
13.11.2023 06:30:03.714 GMT-0800,141.903,141.857,0.0012,0.0012
13.11.2023 06:30:03.765 GMT-0800,141.864,141.806,0.0012,0.0012
13.11.2023 06:30:04.029 GMT-0800,141.893,141.827,0.0012,0.0012
13.11.2023 06:30:04.080 GMT-0800,141.934,141.886,0.0012,0.0012
13.11.2023 06:30:04.195 GMT-0800,141.954,141.916,0.0012,0.0012
13.11.2023 06:30:04.296 GMT-0800,141.963,141.89700000000002,0.0012,0.0012
13.11.2023 06:30:04.396 GMT-0800,141.983,141.917,0.0012,0.0012
13.11.2023 06:30:04.497 GMT-0800,141.97299999999998,141.917,0.0012,0.0012
13.11.2023 06:30:04.548 GMT-0800,141.984,141.916,0.0012,0.0012
13.11.2023 06:30:04.666 GMT-0800,141.97299999999998,141.917,0.0012,0.0012
13.11.2023 06:30:04.720 GMT-0800,141.984,141.916,0.0012,0.0012
13.11.2023 06:30:04.772 GMT-0800,141.974,141.916,0.0012,0.0012
13.11.2023 06:30:04.872 GMT-0800,141.984,141.916,0.0012,0.0012
13.11.2023 06:30:04.923 GMT-0800,141.97299999999998,141.92700000000002,0.0012,0.0012
13.11.2023 06:30:04.973 GMT-0800,142.003,141.937,0.0012,0.0012
13.11.2023 06:30:05.074 GMT-0800,141.994,141.936,0.0012,0.0012
13.11.2023 06:30:05.218 GMT-0800,141.953,141.887,0.0012,0.0012
13.11.2023 06:30:05.269 GMT-0800,141.974,141.92600000000002,0.0012,0.0012
13.11.2023 06:30:05.589 GMT-0800,141.993,141.95700000000002,0.0012,0.0012
13.11.2023 06:30:05.640 GMT-0800,141.994,141.946,0.0012,0.0012
13.11.2023 06:30:05.691 GMT-0800,142.003,141.947,0.0012,0.0012
13.11.2023 06:30:05.745 GMT-0800,142.024,141.95600000000002,0.0012,0.0012
13.11.2023 06:30:05.796 GMT-0800,142.003,141.95700000000002,0.0012,0.0012
13.11.2023 06:30:05.897 GMT-0800,141.974,141.92600000000002,0.0012,0.0012
13.11.2023 06:30:06.207 GMT-0800,142.004,141.946,0.0012,0.0012
13.11.2023 06:30:06.388 GMT-0800,141.993,141.947,0.0012,0.0012
13.11.2023 06:30:06.567 GMT-0800,141.983,141.937,0.0012,0.0012
13.11.2023 06:30:06.668 GMT-0800,141.933,141.887,0.0012,0.0012
13.11.2023 06:30:06.795 GMT-0800,141.964,141.906,0.0012,0.0012
13.11.2023 06:30:06.944 GMT-0800,141.963,141.917,0.0012,0.0012
13.11.2023 06:30:06.997 GMT-0800,141.983,141.917,0.0012,0.0012
13.11.2023 06:30:07.120 GMT-0800,141.983,141.92700000000002,0.0012,0.0012
13.11.2023 06:30:07.240 GMT-0800,141.974,141.916,0.0012,0.0012
13.11.2023 06:30:07.290 GMT-0800,141.983,141.917,0.0012,0.0012
13.11.2023 06:30:07.411 GMT-0800,141.983,141.92700000000002,0.0012,0.0012
13.11.2023 06:30:07.481 GMT-0800,141.983,141.917,0.0012,0.0012
13.11.2023 06:30:07.615 GMT-0800,141.97299999999998,141.917,0.0012,0.0012
13.11.2023 06:30:07.666 GMT-0800,141.91299999999998,141.877,0.0012,0.0012
13.11.2023 06:30:07.716 GMT-0800,141.953,141.877,0.0012,0.0012
13.11.2023 06:30:07.795 GMT-0800,141.953,141.857,0.0012,0.0012
13.11.2023 06:30:07.894 GMT-0800,141.954,141.846,0.0012,0.0012
13.11.2023 06:30:07.944 GMT-0800,141.873,141.80700000000002,0.0012,0.0012
13.11.2023 06:30:08.060 GMT-0800,141.864,141.806,0.0012,0.0012
13.11.2023 06:30:08.110 GMT-0800,141.854,141.786,0.0012,0.0012
13.11.2023 06:30:08.363 GMT-0800,141.853,141.80700000000002,0.0012,0.0012
13.11.2023 06:30:08.593 GMT-0800,141.854,141.786,0.0012,0.0012
13.11.2023 06:30:08.644 GMT-0800,141.843,141.787,0.0012,0.0012
13.11.2023 06:30:08.694 GMT-0800,141.854,141.786,0.0012,0.0012
13.11.2023 06:30:08.812 GMT-0800,141.843,141.787,0.0012,0.0012
13.11.2023 06:30:08.874 GMT-0800,141.853,141.787,0.0012,0.0012
13.11.2023 06:30:08.972 GMT-0800,141.854,141.816,0.0012,0.0012
13.11.2023 06:30:09.120 GMT-0800,141.853,141.80700000000002,0.0012,0.0012
13.11.2023 06:30:09.331 GMT-0800,141.823,141.80700000000002,0.0012,0.0012
13.11.2023 06:30:09.446 GMT-0800,141.814,141.776,0.0012,0.0012
13.11.2023 06:30:09.496 GMT-0800,141.803,141.76700000000002,0.0012,0.0012
13.11.2023 06:30:09.589 GMT-0800,141.823,141.76700000000002,0.0012,0.0012
13.11.2023 06:30:09.713 GMT-0800,141.823,141.77700000000002,0.0012,0.0012
13.11.2023 06:30:09.874 GMT-0800,141.824,141.79600000000002,0.0012,0.0012
13.11.2023 06:30:10.027 GMT-0800,141.793,141.727,0.0012,0.0012
13.11.2023 06:30:10.077 GMT-0800,141.783,141.727,0.0012,0.0012
13.11.2023 06:30:10.128 GMT-0800,141.793,141.727,0.0012,0.0012
13.11.2023 06:30:10.195 GMT-0800,141.783,141.727,0.0012,0.0012
13.11.2023 06:30:10.261 GMT-0800,141.794,141.726,0.0012,0.0012
13.11.2023 06:30:10.436 GMT-0800,141.784,141.726,0.0012,0.0012
13.11.2023 06:30:10.546 GMT-0800,141.794,141.726,0.0012,0.0012
13.11.2023 06:30:10.596 GMT-0800,141.804,141.746,0.0012,0.0012
13.11.2023 06:30:10.697 GMT-0800,141.793,141.747,0.0012,0.0012
13.11.2023 06:30:10.780 GMT-0800,141.804,141.746,0.0012,0.0012
13.11.2023 06:30:10.890 GMT-0800,141.803,141.727,0.0012,0.0012
13.11.2023 06:30:11.322 GMT-0800,141.744,141.716,0.0012,0.0012
13.11.2023 06:30:11.434 GMT-0800,141.803,141.747,0.0012,0.0012
13.11.2023 06:30:12.249 GMT-0800,141.803,141.757,0.0012,0.0012
13.11.2023 06:30:12.350 GMT-0800,141.814,141.79600000000002,0.0012,0.0012
13.11.2023 06:30:12.826 GMT-0800,141.853,141.80700000000002,0.0012,0.0012
13.11.2023 06:30:12.927 GMT-0800,141.843,141.817,0.0012,0.0012
13.11.2023 06:30:12.978 GMT-0800,141.854,141.816,0.0012,0.0012
13.11.2023 06:30:13.085 GMT-0800,141.954,141.826,0.0012,0.0012
13.11.2023 06:30:13.135 GMT-0800,141.933,141.827,0.0012,0.0012
13.11.2023 06:30:13.236 GMT-0800,141.923,141.887,0.0012,0.0012
13.11.2023 06:30:13.337 GMT-0800,141.933,141.877,0.0012,0.0012
13.11.2023 06:30:13.388 GMT-0800,141.91299999999998,141.86700000000002,0.0012,0.0012
13.11.2023 06:30:13.438 GMT-0800,141.933,141.86700000000002,0.0012,0.0012
13.11.2023 06:30:13.489 GMT-0800,141.914,141.866,0.0012,0.0012
13.11.2023 06:30:13.841 GMT-0800,141.953,141.887,0.0012,0.0012
13.11.2023 06:30:13.943 GMT-0800,141.94299999999998,141.89700000000002,0.0012,0.0012
13.11.2023 06:30:13.993 GMT-0800,141.944,141.886,0.0012,0.0012
13.11.2023 06:30:14.117 GMT-0800,141.934,141.886,0.0012,0.0012
13.11.2023 06:30:14.188 GMT-0800,141.94299999999998,141.887,0.0012,0.0012
13.11.2023 06:30:14.366 GMT-0800,141.94299999999998,141.89700000000002,0.0012,0.0012
13.11.2023 06:30:14.459 GMT-0800,141.974,141.89600000000002,0.0012,0.0012
13.11.2023 06:30:14.565 GMT-0800,141.974,141.906,0.0012,0.0012
13.11.2023 06:30:15.067 GMT-0800,141.964,141.906,0.0012,0.0012
13.11.2023 06:30:15.171 GMT-0800,141.97299999999998,141.917,0.0012,0.0012
13.11.2023 06:30:15.272 GMT-0800,141.993,141.95700000000002,0.0012,0.0012
13.11.2023 06:30:15.323 GMT-0800,142.004,141.95600000000002,0.0012,0.0012
13.11.2023 06:30:15.373 GMT-0800,141.983,141.95700000000002,0.0012,0.0012
13.11.2023 06:30:15.424 GMT-0800,142.003,141.95700000000002,0.0012,0.0012
13.11.2023 06:30:15.484 GMT-0800,141.994,141.95600000000002,0.0012,0.0012
13.11.2023 06:30:15.535 GMT-0800,142.003,141.95700000000002,0.0012,0.0012
13.11.2023 06:30:15.585 GMT-0800,141.993,141.95700000000002,0.0012,0.0012
13.11.2023 06:30:15.636 GMT-0800,141.994,141.946,0.0012,0.0012
13.11.2023 06:30:15.780 GMT-0800,141.993,141.92700000000002,0.0012,0.0012
13.11.2023 06:30:16.159 GMT-0800,141.97299999999998,141.917,0.0012,0.0012
13.11.2023 06:30:16.621 GMT-0800,141.94299999999998,141.917,0.0012,0.0012
13.11.2023 06:30:16.672 GMT-0800,141.954,141.89600000000002,0.0012,0.0012
13.11.2023 06:30:16.723 GMT-0800,141.97299999999998,141.907,0.0012,0.0012
