Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:01.919 GMT-0800,207.61200000000002,206.498,0.0132,0.0132
13.11.2023 06:30:02.052 GMT-0800,207.532,206.498,0.0009,0.0132
13.11.2023 06:30:02.183 GMT-0800,207.532,206.918,0.0009,0.0009
13.11.2023 06:30:02.370 GMT-0800,207.61200000000002,206.918,0.009,0.0009
13.11.2023 06:30:02.428 GMT-0800,207.792,206.918,0.0132,0.0132
13.11.2023 06:30:02.543 GMT-0800,207.792,206.928,0.0132,0.0009
13.11.2023 06:30:03.749 GMT-0800,207.80200000000002,206.928,0.0132,0.0132
13.11.2023 06:30:04.758 GMT-0800,207.80200000000002,207.248,0.009,0.0009
13.11.2023 06:30:04.808 GMT-0800,207.532,206.938,0.0009,0.0009
13.11.2023 06:30:05.265 GMT-0800,207.80200000000002,207.198,0.009,0.0009
13.11.2023 06:30:05.481 GMT-0800,207.93200000000002,207.198,0.0132,0.0132
13.11.2023 06:30:05.899 GMT-0800,208.15200000000002,206.938,0.0132,0.0132
13.11.2023 06:30:06.325 GMT-0800,207.80200000000002,206.938,0.0009,0.0132
13.11.2023 06:30:07.723 GMT-0800,207.80200000000002,207.09799999999998,0.0132,0.0009
13.11.2023 06:30:10.814 GMT-0800,207.80200000000002,207.198,0.0132,0.0009
13.11.2023 06:30:13.707 GMT-0800,207.80200000000002,207.208,0.009,0.0009
13.11.2023 06:30:13.758 GMT-0800,208.15200000000002,207.198,0.0132,0.0132
13.11.2023 06:30:14.169 GMT-0800,208.162,207.198,0.0132,0.0132
13.11.2023 06:30:14.219 GMT-0800,208.15200000000002,207.198,0.0009,0.0132
13.11.2023 06:30:26.909 GMT-0800,208.11200000000002,207.198,0.0132,0.0132
13.11.2023 06:30:27.888 GMT-0800,208.162,207.198,0.0132,0.0132
13.11.2023 06:30:28.222 GMT-0800,208.15200000000002,207.198,0.0009,0.0132
13.11.2023 06:30:28.841 GMT-0800,208.14200000000002,207.198,0.0009,0.0132
13.11.2023 06:30:28.892 GMT-0800,208.162,207.198,0.0132,0.0132
13.11.2023 06:30:29.062 GMT-0800,208.14200000000002,207.198,0.0009,0.0132
13.11.2023 06:30:35.044 GMT-0800,208.14200000000002,207.238,0.0132,0.0009
13.11.2023 06:30:41.827 GMT-0800,207.58200000000002,207.238,0.0009,0.0132
13.11.2023 06:30:41.878 GMT-0800,208.11200000000002,207.238,0.0132,0.0132
13.11.2023 06:30:55.885 GMT-0800,208.122,207.238,0.0132,0.0132
13.11.2023 06:30:59.798 GMT-0800,208.092,207.238,0.0009,0.0132
13.11.2023 06:30:59.851 GMT-0800,208.102,207.238,0.0009,0.0132
13.11.2023 06:31:06.486 GMT-0800,208.092,207.238,0.0009,0.0132
13.11.2023 06:31:06.537 GMT-0800,208.102,207.238,0.0132,0.0132
13.11.2023 06:31:13.647 GMT-0800,208.092,207.238,0.0009,0.0132
13.11.2023 06:31:23.111 GMT-0800,207.512,207.238,0.0009,0.009
13.11.2023 06:31:23.162 GMT-0800,207.412,206.508,0.0132,0.009
13.11.2023 06:31:23.213 GMT-0800,207.412,206.278,0.0132,0.0132
13.11.2023 06:31:23.519 GMT-0800,207.412,206.168,0.0132,0.0132
13.11.2023 06:31:24.903 GMT-0800,207.512,206.168,0.0132,0.0132
13.11.2023 06:31:48.762 GMT-0800,207.512,206.278,0.0132,0.0009
13.11.2023 06:32:02.732 GMT-0800,207.55200000000002,206.278,0.0132,0.0132
13.11.2023 06:32:10.054 GMT-0800,207.55200000000002,206.508,0.0132,0.0009
13.11.2023 06:32:10.281 GMT-0800,207.55200000000002,206.548,0.0132,0.0009
13.11.2023 06:32:16.586 GMT-0800,207.55200000000002,206.758,0.0132,0.0009
13.11.2023 06:32:16.701 GMT-0800,207.27200000000002,206.758,0.009,0.0132
13.11.2023 06:32:16.752 GMT-0800,207.55200000000002,206.758,0.0132,0.0132
13.11.2023 06:32:26.941 GMT-0800,207.222,206.758,0.0009,0.0132
13.11.2023 06:32:26.992 GMT-0800,207.55200000000002,206.758,0.009,0.0132
13.11.2023 06:32:27.043 GMT-0800,207.592,206.758,0.0132,0.0132
13.11.2023 06:32:27.249 GMT-0800,207.572,206.758,0.0009,0.0132
13.11.2023 06:32:28.459 GMT-0800,207.21200000000002,206.758,0.0009,0.0132
13.11.2023 06:32:29.935 GMT-0800,207.572,206.758,0.0132,0.0132
13.11.2023 06:32:30.933 GMT-0800,207.18200000000002,206.758,0.0009,0.0132
13.11.2023 06:32:32.004 GMT-0800,207.572,206.758,0.0132,0.0132
13.11.2023 06:32:35.860 GMT-0800,207.572,206.768,0.009,0.0009
13.11.2023 06:32:35.978 GMT-0800,207.55200000000002,206.768,0.0009,0.0009
13.11.2023 06:32:36.243 GMT-0800,207.592,206.768,0.0132,0.0132
13.11.2023 06:32:36.916 GMT-0800,207.592,206.758,0.0132,0.0132
13.11.2023 06:32:38.873 GMT-0800,207.592,206.918,0.0132,0.0009
13.11.2023 06:32:41.554 GMT-0800,207.592,206.948,0.0132,0.0009
13.11.2023 06:32:56.229 GMT-0800,207.592,206.918,0.0132,0.0132
13.11.2023 06:33:03.540 GMT-0800,207.702,206.918,0.0132,0.0132
13.11.2023 06:33:04.916 GMT-0800,208.072,207.338,0.0132,0.0132
13.11.2023 06:33:05.040 GMT-0800,208.072,207.128,0.0132,0.0132
13.11.2023 06:33:05.671 GMT-0800,208.162,207.548,0.0132,0.0132
13.11.2023 06:33:07.577 GMT-0800,208.162,207.118,0.0132,0.0132
13.11.2023 06:33:10.211 GMT-0800,208.162,207.488,0.0132,0.0009
13.11.2023 06:33:10.454 GMT-0800,208.382,207.488,0.0132,0.0132
13.11.2023 06:33:10.756 GMT-0800,208.502,207.488,0.0132,0.0132
13.11.2023 06:33:15.111 GMT-0800,208.502,207.258,0.0132,0.0132
13.11.2023 06:33:19.939 GMT-0800,208.502,207.298,0.0132,0.0009
13.11.2023 06:33:20.792 GMT-0800,208.18200000000002,207.298,0.0009,0.0132
13.11.2023 06:33:20.894 GMT-0800,208.17200000000003,207.298,0.0132,0.0132
13.11.2023 06:33:21.414 GMT-0800,208.162,207.298,0.0009,0.0132
13.11.2023 06:33:24.427 GMT-0800,208.162,207.698,0.009,0.0009
13.11.2023 06:33:24.478 GMT-0800,208.92200000000003,207.728,0.0132,0.0132
13.11.2023 06:33:24.843 GMT-0800,208.92200000000003,207.668,0.0132,0.0132
13.11.2023 06:33:28.657 GMT-0800,208.77200000000002,207.668,0.0009,0.0132
13.11.2023 06:33:28.818 GMT-0800,208.77200000000002,207.768,0.0132,0.0009
13.11.2023 06:33:28.920 GMT-0800,208.782,208.218,0.0132,0.0132
13.11.2023 06:33:29.021 GMT-0800,209.02200000000002,208.218,0.0132,0.0132
13.11.2023 06:33:29.147 GMT-0800,209.11200000000002,208.218,0.0132,0.0132
13.11.2023 06:33:29.240 GMT-0800,209.072,208.218,0.0009,0.0132
13.11.2023 06:33:29.342 GMT-0800,209.08200000000002,208.218,0.0132,0.0132
13.11.2023 06:33:29.660 GMT-0800,208.92200000000003,208.218,0.0009,0.0132
13.11.2023 06:33:29.891 GMT-0800,209.072,208.218,0.0132,0.0132
13.11.2023 06:33:30.065 GMT-0800,209.072,208.31799999999998,0.009,0.0009
13.11.2023 06:33:30.116 GMT-0800,209.36200000000002,208.31799999999998,0.0132,0.0132
13.11.2023 06:33:31.512 GMT-0800,209.11200000000002,208.328,0.0009,0.0009
13.11.2023 06:33:32.245 GMT-0800,209.102,208.328,0.0009,0.0132
13.11.2023 06:33:32.394 GMT-0800,209.102,208.468,0.0132,0.0132
13.11.2023 06:33:32.884 GMT-0800,209.102,208.508,0.0132,0.0009
13.11.2023 06:33:33.090 GMT-0800,209.092,208.508,0.0009,0.0132
13.11.2023 06:33:35.399 GMT-0800,208.912,208.508,0.0009,0.0132
13.11.2023 06:33:35.810 GMT-0800,209.092,208.508,0.0132,0.0132
13.11.2023 06:33:36.165 GMT-0800,209.102,208.508,0.0132,0.0132
13.11.2023 06:33:36.538 GMT-0800,209.122,208.508,0.0132,0.0132
13.11.2023 06:33:39.640 GMT-0800,209.092,208.508,0.0009,0.0132
13.11.2023 06:33:39.792 GMT-0800,209.122,208.508,0.0132,0.0132
