Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:01.163 GMT-0800,174.697,173.483,0.0009,0.009
13.11.2023 06:30:01.215 GMT-0800,174.697,173.47299999999998,0.0132,0.0132
13.11.2023 06:30:01.850 GMT-0800,174.713,174.113,0.009,0.0009
13.11.2023 06:30:01.990 GMT-0800,176.567,174.113,0.0132,0.0132
13.11.2023 06:30:02.089 GMT-0800,175.077,174.113,0.0009,0.0132
13.11.2023 06:30:02.439 GMT-0800,175.17700000000002,174.113,0.0009,0.0132
13.11.2023 06:30:02.521 GMT-0800,175.39700000000002,174.113,0.0009,0.0132
13.11.2023 06:30:04.557 GMT-0800,175.227,174.113,0.0009,0.0132
13.11.2023 06:30:20.853 GMT-0800,175.227,173.823,0.0132,0.0132
13.11.2023 06:30:21.255 GMT-0800,175.227,173.833,0.0132,0.0009
13.11.2023 06:30:21.458 GMT-0800,175.227,173.823,0.0132,0.0132
13.11.2023 06:30:27.116 GMT-0800,174.817,173.833,0.0009,0.0009
13.11.2023 06:30:27.256 GMT-0800,175.227,173.823,0.0132,0.0132
13.11.2023 06:30:29.740 GMT-0800,175.227,173.833,0.0132,0.0009
13.11.2023 06:30:29.841 GMT-0800,175.227,173.823,0.0132,0.0132
13.11.2023 06:30:34.453 GMT-0800,175.227,173.833,0.0132,0.0009
13.11.2023 06:30:34.655 GMT-0800,175.227,173.823,0.0132,0.0132
13.11.2023 06:30:51.530 GMT-0800,175.227,173.833,0.0132,0.0009
13.11.2023 06:30:51.581 GMT-0800,175.227,173.823,0.0132,0.0132
13.11.2023 06:31:02.598 GMT-0800,175.227,173.833,0.0132,0.0009
13.11.2023 06:31:02.700 GMT-0800,175.227,173.823,0.0132,0.0132
13.11.2023 06:31:41.037 GMT-0800,175.227,173.833,0.0132,0.0009
13.11.2023 06:31:41.293 GMT-0800,175.227,173.823,0.0132,0.0132
13.11.2023 06:31:51.566 GMT-0800,175.227,173.833,0.0132,0.0009
13.11.2023 06:31:51.751 GMT-0800,175.227,173.823,0.0132,0.0132
13.11.2023 06:31:55.735 GMT-0800,175.227,173.833,0.0132,0.0009
13.11.2023 06:31:55.786 GMT-0800,175.227,173.823,0.0132,0.0132
13.11.2023 06:31:57.364 GMT-0800,175.227,173.833,0.0132,0.0009
13.11.2023 06:31:57.415 GMT-0800,175.227,173.823,0.0132,0.0132
13.11.2023 06:32:11.035 GMT-0800,175.227,173.833,0.0132,0.0009
13.11.2023 06:32:11.253 GMT-0800,175.227,173.823,0.0132,0.0132
13.11.2023 06:32:15.106 GMT-0800,175.227,174.573,0.009,0.0009
13.11.2023 06:32:15.157 GMT-0800,175.95700000000002,173.933,0.0132,0.0132
13.11.2023 06:32:15.208 GMT-0800,175.95700000000002,173.993,0.0132,0.0132
13.11.2023 06:32:15.700 GMT-0800,175.937,173.993,0.0132,0.0132
13.11.2023 06:32:16.075 GMT-0800,175.937,174.573,0.0132,0.0009
13.11.2023 06:32:16.691 GMT-0800,175.95700000000002,174.573,0.0132,0.0132
13.11.2023 06:32:16.956 GMT-0800,175.95700000000002,174.863,0.0132,0.0009
13.11.2023 06:32:17.149 GMT-0800,175.947,174.863,0.0009,0.0132
13.11.2023 06:32:18.999 GMT-0800,175.937,174.863,0.0009,0.0132
13.11.2023 06:32:35.241 GMT-0800,175.92700000000002,174.863,0.0009,0.0132
13.11.2023 06:32:35.292 GMT-0800,176.577,174.863,0.0132,0.0132
13.11.2023 06:32:37.860 GMT-0800,176.577,175.133,0.0132,0.0009
13.11.2023 06:32:52.675 GMT-0800,176.577,175.123,0.0132,0.0132
13.11.2023 06:32:53.711 GMT-0800,176.577,175.343,0.0132,0.0009
13.11.2023 06:33:03.017 GMT-0800,176.577,175.123,0.0132,0.0132
13.11.2023 06:33:30.431 GMT-0800,176.577,175.383,0.0132,0.0009
