Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:02.763 GMT-0800,45.473000000000006,45.047,0.0009,0.12
13.11.2023 06:30:02.942 GMT-0800,45.474,45.056000000000004,0.0009,0.0009
13.11.2023 06:30:02.993 GMT-0800,45.474,45.04600000000001,0.0009,0.12
13.11.2023 06:30:03.112 GMT-0800,45.474,45.226000000000006,0.0009,0.0009
13.11.2023 06:30:04.452 GMT-0800,45.473000000000006,45.237,0.12,0.0009
13.11.2023 06:30:04.923 GMT-0800,45.473000000000006,45.227,0.12,0.12
13.11.2023 06:30:05.643 GMT-0800,45.473000000000006,45.237,0.12,0.0009
13.11.2023 06:30:05.693 GMT-0800,45.474,45.226000000000006,0.12,0.12
13.11.2023 06:30:05.927 GMT-0800,45.653000000000006,45.227,0.12,0.12
13.11.2023 06:30:06.179 GMT-0800,45.423,45.227,0.0009,0.12
13.11.2023 06:30:06.739 GMT-0800,45.424,45.056000000000004,0.12,0.12
13.11.2023 06:30:06.923 GMT-0800,45.423,45.047,0.12,0.12
13.11.2023 06:30:08.529 GMT-0800,45.424,45.056000000000004,0.12,0.0009
13.11.2023 06:30:09.670 GMT-0800,45.423,45.097,0.12,0.12
13.11.2023 06:30:12.623 GMT-0800,45.423,45.107,0.12,0.0009
13.11.2023 06:30:12.724 GMT-0800,45.424,45.096000000000004,0.12,0.12
13.11.2023 06:30:13.772 GMT-0800,45.423,45.107,0.12,0.0009
13.11.2023 06:30:13.924 GMT-0800,45.424,45.096000000000004,0.12,0.12
13.11.2023 06:30:15.870 GMT-0800,45.423,45.137,0.12,0.0009
13.11.2023 06:30:17.016 GMT-0800,45.423,45.097,0.12,0.12
13.11.2023 06:30:17.355 GMT-0800,45.663000000000004,45.227,0.12,0.12
13.11.2023 06:30:17.562 GMT-0800,45.423,45.227,0.0009,0.12
13.11.2023 06:30:20.157 GMT-0800,45.423,45.266999999999996,0.12,0.0009
13.11.2023 06:30:20.258 GMT-0800,45.423,45.277,0.12,0.12
13.11.2023 06:30:27.797 GMT-0800,45.438,45.386,0.09,0.0009
13.11.2023 06:30:27.848 GMT-0800,45.663000000000004,45.277,0.12,0.12
13.11.2023 06:30:27.898 GMT-0800,45.663999999999994,45.306000000000004,0.12,0.12
13.11.2023 06:30:28.848 GMT-0800,45.663000000000004,45.277,0.12,0.12
13.11.2023 06:30:40.456 GMT-0800,45.663999999999994,45.286,0.12,0.0009
13.11.2023 06:30:40.687 GMT-0800,45.663000000000004,45.277,0.12,0.12
13.11.2023 06:30:42.578 GMT-0800,45.663000000000004,45.287,0.12,0.0009
13.11.2023 06:30:42.783 GMT-0800,45.663999999999994,45.276,0.12,0.12
13.11.2023 06:30:48.071 GMT-0800,45.663999999999994,45.286,0.12,0.0009
13.11.2023 06:30:48.294 GMT-0800,45.663000000000004,45.277,0.12,0.12
13.11.2023 06:30:54.310 GMT-0800,45.663000000000004,45.287,0.12,0.0009
13.11.2023 06:30:54.523 GMT-0800,45.663000000000004,45.277,0.12,0.12
13.11.2023 06:31:04.060 GMT-0800,45.663999999999994,45.286,0.12,0.0009
13.11.2023 06:31:04.255 GMT-0800,45.663000000000004,45.277,0.12,0.12
13.11.2023 06:31:08.512 GMT-0800,45.474,45.286,0.0009,0.0009
13.11.2023 06:31:08.613 GMT-0800,45.464,45.276,0.12,0.12
13.11.2023 06:31:08.721 GMT-0800,45.443000000000005,45.277,0.12,0.12
13.11.2023 06:31:09.762 GMT-0800,45.613,45.277,0.12,0.12
13.11.2023 06:31:12.077 GMT-0800,45.614,45.286,0.12,0.0009
13.11.2023 06:31:12.228 GMT-0800,45.614,45.276,0.12,0.12
13.11.2023 06:31:24.607 GMT-0800,45.614,45.336000000000006,0.09,0.0009
13.11.2023 06:31:24.658 GMT-0800,45.644,45.336000000000006,0.12,0.12
13.11.2023 06:31:25.313 GMT-0800,45.663000000000004,45.336999999999996,0.12,0.12
13.11.2023 06:31:25.407 GMT-0800,45.653999999999996,45.336000000000006,0.0009,0.12
13.11.2023 06:31:27.775 GMT-0800,45.523,45.336999999999996,0.0009,0.12
13.11.2023 06:32:38.483 GMT-0800,45.614,45.336000000000006,0.12,0.12
13.11.2023 06:32:39.988 GMT-0800,45.443999999999996,45.336000000000006,0.0009,0.12
13.11.2023 06:32:40.983 GMT-0800,45.603,45.336999999999996,0.12,0.12
13.11.2023 06:32:42.323 GMT-0800,45.425000000000004,45.336999999999996,0.0009,0.12
13.11.2023 06:32:43.670 GMT-0800,45.603,45.336999999999996,0.12,0.12
13.11.2023 06:32:54.465 GMT-0800,45.603,45.347,0.12,0.0009
13.11.2023 06:33:02.176 GMT-0800,45.663000000000004,45.347,0.12,0.12
13.11.2023 06:33:02.234 GMT-0800,45.583999999999996,45.346000000000004,0.0009,0.12
13.11.2023 06:33:04.052 GMT-0800,45.464,45.346000000000004,0.0009,0.09
13.11.2023 06:33:04.154 GMT-0800,45.543,45.307,0.12,0.12
13.11.2023 06:33:04.334 GMT-0800,45.533,45.307,0.0009,0.12
13.11.2023 06:33:04.436 GMT-0800,45.454,45.306000000000004,0.12,0.12
13.11.2023 06:33:05.129 GMT-0800,45.373000000000005,45.307,0.0009,0.12
13.11.2023 06:33:10.101 GMT-0800,45.343999999999994,45.306000000000004,0.0009,0.12
13.11.2023 06:33:21.261 GMT-0800,45.333999999999996,45.306000000000004,0.0009,0.09
13.11.2023 06:33:21.311 GMT-0800,45.343999999999994,45.306000000000004,0.12,0.09
13.11.2023 06:33:21.448 GMT-0800,45.343,45.277,0.12,0.12
13.11.2023 06:33:23.032 GMT-0800,45.343999999999994,45.286,0.12,0.0009
13.11.2023 06:33:23.233 GMT-0800,45.343999999999994,45.29600000000001,0.12,0.0009
13.11.2023 06:33:23.503 GMT-0800,45.343999999999994,45.276,0.12,0.12
13.11.2023 06:33:25.999 GMT-0800,45.343999999999994,45.29600000000001,0.12,0.0009
13.11.2023 06:33:36.010 GMT-0800,45.333999999999996,45.29600000000001,0.0009,0.09
13.11.2023 06:33:36.061 GMT-0800,45.333000000000006,45.277,0.12,0.12
13.11.2023 06:33:36.465 GMT-0800,45.343,45.277,0.12,0.12
13.11.2023 06:33:37.173 GMT-0800,45.343,45.257,0.12,0.12
13.11.2023 06:33:37.223 GMT-0800,45.343,45.277,0.12,0.0009
13.11.2023 06:33:37.607 GMT-0800,45.343,45.257,0.12,0.12
13.11.2023 06:33:38.524 GMT-0800,45.343,45.266999999999996,0.12,0.0009
13.11.2023 06:33:40.588 GMT-0800,45.373000000000005,45.257,0.12,0.12
13.11.2023 06:33:40.913 GMT-0800,45.373000000000005,45.266999999999996,0.12,0.0009
13.11.2023 06:33:41.352 GMT-0800,45.373999999999995,45.25600000000001,0.12,0.12
13.11.2023 06:34:00.943 GMT-0800,45.353,45.257,0.0009,0.12
13.11.2023 06:34:00.994 GMT-0800,45.373000000000005,45.257,0.12,0.12
13.11.2023 06:34:06.831 GMT-0800,45.324,45.25,0.0009,0.09
13.11.2023 06:34:06.945 GMT-0800,45.303000000000004,45.177,0.12,0.12
13.11.2023 06:34:07.894 GMT-0800,45.373000000000005,45.047,0.12,0.12
13.11.2023 06:34:08.997 GMT-0800,45.373000000000005,45.057,0.12,0.0009
13.11.2023 06:34:09.047 GMT-0800,45.373999999999995,45.04600000000001,0.12,0.12
13.11.2023 06:34:09.501 GMT-0800,45.324,45.04600000000001,0.0009,0.12
13.11.2023 06:34:11.693 GMT-0800,45.273,45.047,0.0009,0.12
13.11.2023 06:34:15.367 GMT-0800,45.273,45.147,0.12,0.0009
13.11.2023 06:34:15.686 GMT-0800,45.273999999999994,45.18600000000001,0.12,0.0009
13.11.2023 06:34:16.928 GMT-0800,45.273999999999994,45.236000000000004,0.09,0.0009
13.11.2023 06:34:16.979 GMT-0800,45.273999999999994,45.216,0.09,0.0009
13.11.2023 06:34:17.069 GMT-0800,45.324,45.216,0.12,0.12
13.11.2023 06:34:17.339 GMT-0800,45.323,45.237,0.12,0.0009
13.11.2023 06:34:17.541 GMT-0800,45.324,45.25600000000001,0.12,0.0009
13.11.2023 06:34:17.895 GMT-0800,45.324,45.266000000000005,0.12,0.0009
13.11.2023 06:34:19.826 GMT-0800,45.323,45.217,0.12,0.12
13.11.2023 06:34:24.904 GMT-0800,45.33,45.317,0.09,0.0009
13.11.2023 06:34:24.955 GMT-0800,45.463,45.327,0.12,0.12
13.11.2023 06:34:30.296 GMT-0800,45.403999999999996,45.32600000000001,0.0009,0.12
13.11.2023 06:34:30.398 GMT-0800,45.384,45.32600000000001,0.12,0.12
13.11.2023 06:34:31.359 GMT-0800,45.403999999999996,45.32600000000001,0.12,0.12
13.11.2023 06:34:48.683 GMT-0800,45.373999999999995,45.32600000000001,0.0009,0.12
13.11.2023 06:34:49.823 GMT-0800,45.403999999999996,45.32600000000001,0.12,0.12
13.11.2023 06:34:51.866 GMT-0800,45.373000000000005,45.327,0.0009,0.12
13.11.2023 06:34:53.474 GMT-0800,45.403000000000006,45.327,0.12,0.12
13.11.2023 06:35:00.607 GMT-0800,45.384,45.32600000000001,0.0009,0.12
13.11.2023 06:35:00.708 GMT-0800,45.403000000000006,45.327,0.12,0.12
13.11.2023 06:35:01.078 GMT-0800,45.463,45.327,0.12,0.12
13.11.2023 06:35:02.605 GMT-0800,45.394,45.32600000000001,0.0009,0.09
13.11.2023 06:35:02.656 GMT-0800,45.364,45.14600000000001,0.12,0.12
13.11.2023 06:35:02.707 GMT-0800,45.364,45.136,0.12,0.12
13.11.2023 06:35:03.391 GMT-0800,45.364,45.14600000000001,0.12,0.0009
13.11.2023 06:35:03.666 GMT-0800,45.463,45.137,0.12,0.12
13.11.2023 06:35:04.642 GMT-0800,45.464,45.32600000000001,0.12,0.0009
13.11.2023 06:35:04.693 GMT-0800,45.463,45.137,0.12,0.09
13.11.2023 06:35:04.744 GMT-0800,45.463,45.147,0.12,0.0009
13.11.2023 06:35:05.341 GMT-0800,45.403999999999996,45.14600000000001,0.0009,0.12
13.11.2023 06:35:06.495 GMT-0800,45.464,45.14600000000001,0.12,0.12
13.11.2023 06:35:08.477 GMT-0800,45.453,45.147,0.0009,0.12
13.11.2023 06:35:08.578 GMT-0800,45.384,45.14600000000001,0.0009,0.12
13.11.2023 06:35:08.938 GMT-0800,45.364,45.29600000000001,0.0009,0.0009
13.11.2023 06:35:08.989 GMT-0800,45.373000000000005,45.297,0.12,0.12
13.11.2023 06:35:12.024 GMT-0800,45.354,45.29600000000001,0.0009,0.12
13.11.2023 06:35:12.175 GMT-0800,45.353,45.057,0.12,0.12
13.11.2023 06:35:12.226 GMT-0800,45.354,45.106,0.12,0.0009
13.11.2023 06:35:12.703 GMT-0800,45.343,45.107,0.0009,0.12
13.11.2023 06:35:12.805 GMT-0800,45.333000000000006,45.227,0.12,0.12
13.11.2023 06:35:13.784 GMT-0800,45.333999999999996,45.106,0.12,0.12
13.11.2023 06:35:16.137 GMT-0800,45.354,45.11600000000001,0.12,0.12
13.11.2023 06:35:16.188 GMT-0800,45.354,45.136,0.12,0.12
13.11.2023 06:35:16.582 GMT-0800,45.354,45.285000000000004,0.12,0.0009
13.11.2023 06:35:17.722 GMT-0800,45.353,45.157,0.12,0.12
13.11.2023 06:35:21.075 GMT-0800,45.354,45.25600000000001,0.09,0.0009
13.11.2023 06:35:22.030 GMT-0800,45.413000000000004,45.347,0.09,0.12
13.11.2023 06:35:22.081 GMT-0800,45.463,45.347,0.12,0.12
13.11.2023 06:35:22.407 GMT-0800,45.464,45.176,0.12,0.12
13.11.2023 06:35:23.572 GMT-0800,45.363,45.177,0.0009,0.12
13.11.2023 06:35:23.715 GMT-0800,45.354,45.176,0.0009,0.09
13.11.2023 06:35:23.766 GMT-0800,45.354,45.166000000000004,0.12,0.12
13.11.2023 06:35:25.833 GMT-0800,45.354,45.176,0.12,0.0009
13.11.2023 06:35:25.934 GMT-0800,45.354,45.166000000000004,0.12,0.12
13.11.2023 06:35:28.789 GMT-0800,45.353,45.196999999999996,0.09,0.0009
13.11.2023 06:35:28.840 GMT-0800,45.364,45.196000000000005,0.12,0.12
13.11.2023 06:35:28.895 GMT-0800,45.363,45.237,0.12,0.0009
13.11.2023 06:35:29.816 GMT-0800,45.364,45.266000000000005,0.12,0.12
13.11.2023 06:35:34.996 GMT-0800,45.363,45.237,0.12,0.12
13.11.2023 06:35:41.287 GMT-0800,45.313,45.237,0.0009,0.12
13.11.2023 06:35:41.388 GMT-0800,45.364,45.286,0.12,0.12
13.11.2023 06:35:42.933 GMT-0800,45.333000000000006,45.287,0.0009,0.09
13.11.2023 06:35:42.984 GMT-0800,45.364,45.286,0.12,0.09
13.11.2023 06:35:43.035 GMT-0800,45.364,45.246,0.12,0.12
13.11.2023 06:35:46.361 GMT-0800,45.363,45.167,0.12,0.12
13.11.2023 06:35:53.038 GMT-0800,45.363,45.177,0.12,0.0009
13.11.2023 06:35:53.237 GMT-0800,45.364,45.166000000000004,0.12,0.12
13.11.2023 06:35:53.354 GMT-0800,45.273,45.167,0.0009,0.12
13.11.2023 06:35:54.187 GMT-0800,45.273,45.177,0.12,0.0009
13.11.2023 06:35:54.378 GMT-0800,45.273999999999994,45.166000000000004,0.12,0.12
13.11.2023 06:35:55.641 GMT-0800,45.273999999999994,45.216,0.12,0.0009
13.11.2023 06:35:56.015 GMT-0800,45.273,45.227,0.12,0.0009
13.11.2023 06:35:56.066 GMT-0800,45.273,45.217,0.12,0.09
13.11.2023 06:35:56.119 GMT-0800,45.273999999999994,45.176,0.12,0.12
13.11.2023 06:35:56.292 GMT-0800,45.273999999999994,45.166000000000004,0.12,0.12
13.11.2023 06:36:01.560 GMT-0800,45.273999999999994,45.216,0.09,0.0009
13.11.2023 06:36:01.610 GMT-0800,45.273999999999994,45.176,0.09,0.0009
13.11.2023 06:36:01.882 GMT-0800,45.364,45.176,0.12,0.12
13.11.2023 06:36:02.390 GMT-0800,45.364,45.18600000000001,0.12,0.0009
13.11.2023 06:36:02.566 GMT-0800,45.363,45.177,0.12,0.12
13.11.2023 06:36:03.367 GMT-0800,45.364,45.276,0.12,0.0009
13.11.2023 06:36:03.518 GMT-0800,45.364,45.176,0.12,0.12
13.11.2023 06:36:04.318 GMT-0800,45.363,45.266999999999996,0.12,0.0009
13.11.2023 06:36:05.335 GMT-0800,45.364,45.176,0.12,0.12
13.11.2023 06:36:08.147 GMT-0800,45.303000000000004,45.177,0.0009,0.12
13.11.2023 06:36:08.198 GMT-0800,45.363,45.187,0.12,0.09
13.11.2023 06:36:08.249 GMT-0800,45.363,45.177,0.12,0.12
13.11.2023 06:36:09.129 GMT-0800,45.364,45.18600000000001,0.12,0.0009
13.11.2023 06:36:09.180 GMT-0800,45.364,45.176,0.12,0.12
13.11.2023 06:36:09.561 GMT-0800,45.364,45.216,0.12,0.0009
13.11.2023 06:36:11.928 GMT-0800,45.364,45.176,0.12,0.12
13.11.2023 06:36:16.850 GMT-0800,45.333999999999996,45.176,0.0009,0.12
13.11.2023 06:36:17.765 GMT-0800,45.363,45.177,0.12,0.12
13.11.2023 06:36:18.126 GMT-0800,45.363,45.187,0.12,0.0009
13.11.2023 06:36:18.227 GMT-0800,45.363,45.177,0.12,0.12
13.11.2023 06:36:19.011 GMT-0800,45.314,45.18600000000001,0.0009,0.0009
13.11.2023 06:36:19.062 GMT-0800,45.314,45.176,0.12,0.12
13.11.2023 06:36:22.025 GMT-0800,45.313,45.237,0.12,0.0009
13.11.2023 06:36:24.341 GMT-0800,45.293,45.237,0.0009,0.12
13.11.2023 06:36:31.452 GMT-0800,45.293,45.257,0.09,0.0009
13.11.2023 06:36:31.571 GMT-0800,45.313,45.266999999999996,0.12,0.12
13.11.2023 06:36:31.633 GMT-0800,45.313,45.257,0.12,0.12
13.11.2023 06:36:32.406 GMT-0800,45.313,45.237,0.12,0.12
13.11.2023 06:36:36.945 GMT-0800,45.294,45.236000000000004,0.0009,0.12
13.11.2023 06:36:45.639 GMT-0800,45.453,45.237,0.12,0.12
13.11.2023 06:36:46.650 GMT-0800,45.433,45.237,0.0009,0.12
13.11.2023 06:36:48.101 GMT-0800,45.453,45.237,0.0009,0.12
13.11.2023 06:36:48.286 GMT-0800,45.308,45.236000000000004,0.0009,0.12
13.11.2023 06:36:51.769 GMT-0800,45.303000000000004,45.266999999999996,0.12,0.0009
13.11.2023 06:36:56.820 GMT-0800,45.303999999999995,45.176,0.12,0.12
13.11.2023 06:37:08.940 GMT-0800,45.303999999999995,45.196000000000005,0.12,0.0009
13.11.2023 06:37:11.745 GMT-0800,45.303000000000004,45.266999999999996,0.12,0.0009
13.11.2023 06:37:12.860 GMT-0800,45.303000000000004,45.196999999999996,0.12,0.12
13.11.2023 06:37:13.118 GMT-0800,45.303000000000004,45.207,0.12,0.0009
13.11.2023 06:37:13.219 GMT-0800,45.303999999999995,45.196000000000005,0.12,0.12
13.11.2023 06:37:15.076 GMT-0800,45.293,45.196999999999996,0.0009,0.12
13.11.2023 06:37:16.100 GMT-0800,45.303000000000004,45.196999999999996,0.12,0.12
13.11.2023 06:37:21.923 GMT-0800,45.253,45.196999999999996,0.0009,0.12
13.11.2023 06:37:22.942 GMT-0800,45.303999999999995,45.196000000000005,0.12,0.12
13.11.2023 06:37:25.121 GMT-0800,45.303000000000004,45.177,0.12,0.12
13.11.2023 06:37:25.834 GMT-0800,45.263000000000005,45.177,0.0009,0.12
13.11.2023 06:37:30.251 GMT-0800,45.403999999999996,45.176,0.12,0.12
13.11.2023 06:37:31.520 GMT-0800,45.464,45.196000000000005,0.12,0.12
13.11.2023 06:37:31.571 GMT-0800,45.434,45.196000000000005,0.12,0.12
13.11.2023 06:37:32.620 GMT-0800,45.434,45.176,0.12,0.12
13.11.2023 06:37:37.652 GMT-0800,45.433,45.196999999999996,0.12,0.0009
13.11.2023 06:37:37.703 GMT-0800,45.433,45.187,0.12,0.09
13.11.2023 06:37:43.867 GMT-0800,45.424,45.176,0.0009,0.12
13.11.2023 06:37:46.007 GMT-0800,45.423,45.217,0.12,0.0009
13.11.2023 06:37:46.108 GMT-0800,45.424,45.176,0.12,0.12
13.11.2023 06:37:46.821 GMT-0800,45.434,45.176,0.12,0.12
13.11.2023 06:37:55.519 GMT-0800,45.303999999999995,45.246,0.0009,0.0009
13.11.2023 06:37:55.569 GMT-0800,45.303999999999995,45.236000000000004,0.0009,0.0009
13.11.2023 06:37:55.774 GMT-0800,45.464,45.236000000000004,0.12,0.12
13.11.2023 06:37:57.360 GMT-0800,45.463,45.247,0.12,0.0009
13.11.2023 06:37:57.637 GMT-0800,45.463,45.287,0.12,0.0009
13.11.2023 06:37:57.689 GMT-0800,45.463,45.177,0.12,0.12
13.11.2023 06:38:05.108 GMT-0800,45.463,45.277,0.12,0.0009
13.11.2023 06:38:06.076 GMT-0800,45.464,45.176,0.12,0.12
13.11.2023 06:38:08.748 GMT-0800,45.464,45.18600000000001,0.12,0.0009
13.11.2023 06:38:08.904 GMT-0800,45.463,45.177,0.12,0.12
13.11.2023 06:38:11.486 GMT-0800,45.463,45.297,0.12,0.0009
13.11.2023 06:38:12.310 GMT-0800,45.464,45.176,0.12,0.12
13.11.2023 06:38:13.385 GMT-0800,45.353,45.177,0.0009,0.12
13.11.2023 06:38:13.525 GMT-0800,45.463,45.177,0.12,0.12
13.11.2023 06:38:15.013 GMT-0800,45.464,45.18600000000001,0.12,0.0009
13.11.2023 06:38:15.114 GMT-0800,45.464,45.176,0.12,0.12
13.11.2023 06:38:16.575 GMT-0800,45.333000000000006,45.177,0.0009,0.12
13.11.2023 06:38:16.833 GMT-0800,45.463,45.177,0.12,0.12
13.11.2023 06:38:24.439 GMT-0800,45.313,45.177,0.0009,0.12
13.11.2023 06:38:24.489 GMT-0800,45.464,45.25600000000001,0.12,0.0009
13.11.2023 06:38:25.635 GMT-0800,45.464,45.176,0.12,0.12
13.11.2023 06:38:33.650 GMT-0800,45.333999999999996,45.29600000000001,0.0009,0.0009
13.11.2023 06:38:33.700 GMT-0800,45.463,45.297,0.12,0.12
13.11.2023 06:38:40.884 GMT-0800,45.464,45.32600000000001,0.12,0.0009
13.11.2023 06:38:43.971 GMT-0800,45.463,45.336999999999996,0.12,0.09
13.11.2023 06:38:44.022 GMT-0800,45.464,45.32600000000001,0.12,0.12
13.11.2023 06:38:49.759 GMT-0800,45.464,45.306000000000004,0.12,0.09
13.11.2023 06:39:05.726 GMT-0800,45.463,45.347,0.12,0.0009
13.11.2023 06:39:05.828 GMT-0800,45.464,45.29600000000001,0.12,0.12
13.11.2023 06:39:06.617 GMT-0800,45.403999999999996,45.29600000000001,0.0009,0.12
13.11.2023 06:39:06.668 GMT-0800,45.463,45.297,0.12,0.12
13.11.2023 06:39:09.253 GMT-0800,45.464,45.336000000000006,0.12,0.12
13.11.2023 06:39:09.620 GMT-0800,45.464,45.29600000000001,0.12,0.12
13.11.2023 06:39:11.512 GMT-0800,45.463,45.307,0.12,0.0009
13.11.2023 06:39:12.929 GMT-0800,45.464,45.29600000000001,0.12,0.12
13.11.2023 06:39:14.243 GMT-0800,45.373000000000005,45.297,0.0009,0.12
13.11.2023 06:39:14.399 GMT-0800,45.463,45.297,0.12,0.12
13.11.2023 06:39:18.991 GMT-0800,45.373999999999995,45.306000000000004,0.0009,0.0009
13.11.2023 06:39:19.093 GMT-0800,45.463,45.307,0.12,0.12
13.11.2023 06:39:21.745 GMT-0800,45.355000000000004,45.307,0.0009,0.12
13.11.2023 06:39:21.796 GMT-0800,45.463,45.307,0.12,0.12
13.11.2023 06:39:26.615 GMT-0800,45.355000000000004,45.307,0.0009,0.12
13.11.2023 06:39:27.031 GMT-0800,45.333999999999996,45.29,0.0009,0.09
13.11.2023 06:39:27.083 GMT-0800,45.464,45.18600000000001,0.12,0.12
13.11.2023 06:39:27.184 GMT-0800,45.463,45.177,0.12,0.12
13.11.2023 06:39:29.746 GMT-0800,45.313,45.177,0.0009,0.12
13.11.2023 06:39:34.526 GMT-0800,45.314,45.276,0.09,0.0009
13.11.2023 06:39:34.577 GMT-0800,45.463,45.277,0.12,0.12
13.11.2023 06:39:35.548 GMT-0800,45.464,45.176,0.12,0.12
13.11.2023 06:39:37.095 GMT-0800,45.464,45.18600000000001,0.12,0.0009
13.11.2023 06:39:37.266 GMT-0800,45.464,45.176,0.12,0.12
13.11.2023 06:39:38.923 GMT-0800,45.463,45.287,0.12,0.0009
13.11.2023 06:39:41.622 GMT-0800,45.358000000000004,45.307,0.0009,0.12
13.11.2023 06:39:41.673 GMT-0800,45.463,45.307,0.12,0.12
13.11.2023 06:39:45.169 GMT-0800,45.364,45.306000000000004,0.0009,0.12
13.11.2023 06:39:47.632 GMT-0800,45.364,45.336000000000006,0.12,0.0009
13.11.2023 06:39:56.415 GMT-0800,45.364,45.346000000000004,0.09,0.0009
13.11.2023 06:39:56.466 GMT-0800,45.364,45.336000000000006,0.09,0.12
13.11.2023 06:39:56.517 GMT-0800,45.373999999999995,45.336000000000006,0.12,0.12
13.11.2023 06:39:56.771 GMT-0800,45.373999999999995,45.346000000000004,0.09,0.0009
13.11.2023 06:39:56.821 GMT-0800,45.394,45.346000000000004,0.12,0.12
13.11.2023 06:39:57.006 GMT-0800,45.464,45.336000000000006,0.12,0.12
13.11.2023 06:40:00.060 GMT-0800,45.434,45.336000000000006,0.0009,0.12
13.11.2023 06:40:00.161 GMT-0800,45.383,45.336999999999996,0.12,0.12
13.11.2023 06:40:02.481 GMT-0800,45.383,45.357,0.09,0.0009
13.11.2023 06:40:02.531 GMT-0800,45.384,45.336000000000006,0.09,0.12
13.11.2023 06:40:02.582 GMT-0800,45.434,45.336000000000006,0.12,0.12
13.11.2023 06:40:03.857 GMT-0800,45.433,45.347,0.12,0.0009
13.11.2023 06:40:04.892 GMT-0800,45.433,45.336999999999996,0.12,0.12
13.11.2023 06:40:05.446 GMT-0800,45.403000000000006,45.336999999999996,0.0009,0.12
13.11.2023 06:40:05.497 GMT-0800,45.434,45.336000000000006,0.12,0.12
13.11.2023 06:40:08.109 GMT-0800,45.464,45.336000000000006,0.12,0.12
13.11.2023 06:40:10.968 GMT-0800,45.463,45.367,0.12,0.0009
13.11.2023 06:40:12.052 GMT-0800,45.464,45.336000000000006,0.12,0.12
13.11.2023 06:40:15.779 GMT-0800,45.464,45.386,0.12,0.0009
13.11.2023 06:40:15.830 GMT-0800,45.464,45.336000000000006,0.12,0.12
13.11.2023 06:40:15.959 GMT-0800,45.464,45.386,0.12,0.0009
13.11.2023 06:40:16.987 GMT-0800,45.463,45.336999999999996,0.12,0.12
13.11.2023 06:40:18.116 GMT-0800,45.464,45.346000000000004,0.12,0.0009
13.11.2023 06:40:22.386 GMT-0800,45.463,45.387,0.12,0.0009
13.11.2023 06:40:22.519 GMT-0800,45.443000000000005,45.387,0.0009,0.12
13.11.2023 06:40:23.068 GMT-0800,45.434,45.386,0.0009,0.12
13.11.2023 06:40:23.219 GMT-0800,45.464,45.386,0.12,0.12
13.11.2023 06:40:23.391 GMT-0800,45.464,45.346000000000004,0.12,0.12
13.11.2023 06:40:26.452 GMT-0800,45.463,45.377,0.12,0.0009
13.11.2023 06:40:27.492 GMT-0800,45.463,45.357,0.12,0.12
13.11.2023 06:40:30.344 GMT-0800,45.464,45.36600000000001,0.12,0.0009
13.11.2023 06:40:30.446 GMT-0800,45.443999999999996,45.36600000000001,0.12,0.12
13.11.2023 06:40:30.666 GMT-0800,45.463,45.367,0.12,0.12
13.11.2023 06:40:31.069 GMT-0800,45.453,45.367,0.0009,0.12
13.11.2023 06:40:31.119 GMT-0800,45.463,45.367,0.12,0.12
13.11.2023 06:40:31.176 GMT-0800,45.464,45.386,0.12,0.0009
13.11.2023 06:40:37.347 GMT-0800,45.433,45.387,0.0009,0.12
13.11.2023 06:40:37.398 GMT-0800,45.463,45.387,0.12,0.12
13.11.2023 06:40:37.500 GMT-0800,45.413000000000004,45.387,0.0009,0.12
13.11.2023 06:40:38.636 GMT-0800,45.464,45.386,0.12,0.12
13.11.2023 06:40:39.556 GMT-0800,45.464,45.36600000000001,0.12,0.12
13.11.2023 06:40:40.350 GMT-0800,45.413000000000004,45.367,0.0009,0.12
13.11.2023 06:40:40.461 GMT-0800,45.413999999999994,45.306000000000004,0.12,0.12
13.11.2023 06:40:40.655 GMT-0800,45.413999999999994,45.356,0.12,0.0009
13.11.2023 06:40:41.506 GMT-0800,45.463,45.357,0.12,0.12
13.11.2023 06:40:41.690 GMT-0800,45.463,45.317,0.12,0.12
13.11.2023 06:40:45.314 GMT-0800,45.463,45.327,0.12,0.0009
