Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:02.563 GMT-0800,665.57,658.32,0.0132,0.0132
13.11.2023 06:30:02.651 GMT-0800,662.99,658.32,0.0009,0.0132
13.11.2023 06:30:02.702 GMT-0800,665.57,658.32,0.0132,0.0132
13.11.2023 06:30:02.826 GMT-0800,662.89,658.32,0.0009,0.0132
13.11.2023 06:30:04.032 GMT-0800,665.57,658.32,0.009,0.0132
13.11.2023 06:30:04.399 GMT-0800,666.34,658.32,0.0132,0.0132
13.11.2023 06:30:06.980 GMT-0800,662.88,658.32,0.0009,0.0132
13.11.2023 06:30:07.518 GMT-0800,663.13,658.32,0.0132,0.0132
13.11.2023 06:30:07.628 GMT-0800,662.88,658.32,0.0009,0.0132
13.11.2023 06:30:07.928 GMT-0800,663.13,658.3100000000001,0.0132,0.0132
13.11.2023 06:30:08.015 GMT-0800,662.88,658.3100000000001,0.0009,0.0132
13.11.2023 06:30:08.065 GMT-0800,664.66,658.3100000000001,0.0132,0.0132
13.11.2023 06:30:12.395 GMT-0800,664.66,658.64,0.0132,0.0009
13.11.2023 06:30:15.382 GMT-0800,664.66,658.63,0.0132,0.0132
13.11.2023 06:30:29.797 GMT-0800,664.66,659.15,0.0132,0.0009
13.11.2023 06:30:30.120 GMT-0800,662.88,659.15,0.0009,0.009
13.11.2023 06:30:30.171 GMT-0800,663.13,659.14,0.0132,0.0132
13.11.2023 06:30:30.736 GMT-0800,664.66,659.14,0.0132,0.0132
13.11.2023 06:30:59.796 GMT-0800,662.88,659.22,0.0009,0.0009
13.11.2023 06:31:00.043 GMT-0800,663.14,659.22,0.0009,0.0009
13.11.2023 06:31:01.131 GMT-0800,664.66,659.22,0.0132,0.0132
13.11.2023 06:31:05.564 GMT-0800,663.14,659.22,0.0009,0.0132
13.11.2023 06:31:07.020 GMT-0800,662.88,659.22,0.0009,0.0132
13.11.2023 06:31:07.071 GMT-0800,663.14,659.22,0.0132,0.0132
13.11.2023 06:31:08.037 GMT-0800,662.89,659.22,0.0009,0.0132
13.11.2023 06:31:08.352 GMT-0800,663.14,659.22,0.0132,0.0132
13.11.2023 06:31:08.935 GMT-0800,662.88,659.22,0.0009,0.0132
13.11.2023 06:31:08.986 GMT-0800,663.14,659.22,0.0132,0.0132
13.11.2023 06:31:09.297 GMT-0800,663.14,659.21,0.0132,0.0132
13.11.2023 06:31:09.420 GMT-0800,664.66,659.21,0.0132,0.0132
13.11.2023 06:31:09.775 GMT-0800,664.66,659.22,0.0132,0.0009
13.11.2023 06:31:15.481 GMT-0800,663.14,659.22,0.0009,0.0132
13.11.2023 06:31:15.532 GMT-0800,664.66,659.22,0.0132,0.0132
13.11.2023 06:31:18.367 GMT-0800,663.14,659.22,0.0009,0.0132
13.11.2023 06:31:18.771 GMT-0800,664.66,659.22,0.0132,0.0132
13.11.2023 06:31:21.585 GMT-0800,664.66,659.21,0.0132,0.0132
13.11.2023 06:31:22.015 GMT-0800,664.66,659.22,0.0132,0.0009
13.11.2023 06:31:23.937 GMT-0800,662.89,659.22,0.0009,0.009
13.11.2023 06:31:24.091 GMT-0800,662.89,659.21,0.0132,0.0132
13.11.2023 06:31:26.028 GMT-0800,662.89,659.95,0.0132,0.0009
13.11.2023 06:31:26.079 GMT-0800,662.89,659.22,0.0132,0.0132
13.11.2023 06:31:28.271 GMT-0800,662.9,659.21,0.0132,0.0132
13.11.2023 06:31:28.520 GMT-0800,662.9,660.02,0.0132,0.0009
13.11.2023 06:31:28.870 GMT-0800,662.88,660.02,0.0009,0.0132
13.11.2023 06:31:29.244 GMT-0800,662.9,660.02,0.0132,0.0132
13.11.2023 06:31:31.880 GMT-0800,662.89,660.02,0.0009,0.0132
13.11.2023 06:31:32.933 GMT-0800,661.42,660.02,0.0009,0.0132
13.11.2023 06:31:32.984 GMT-0800,662.89,660.02,0.0132,0.0132
13.11.2023 06:31:45.397 GMT-0800,662.88,660.02,0.0009,0.0132
13.11.2023 06:31:45.499 GMT-0800,662.9,660.02,0.0132,0.0132
13.11.2023 06:31:46.050 GMT-0800,662.88,660.02,0.0009,0.0132
13.11.2023 06:31:46.152 GMT-0800,662.9,660.02,0.0132,0.0132
13.11.2023 06:31:48.397 GMT-0800,662.89,660.02,0.0009,0.0132
13.11.2023 06:31:54.184 GMT-0800,662.9,660.02,0.0132,0.0132
13.11.2023 06:31:57.769 GMT-0800,662.9,659.14,0.0132,0.0132
13.11.2023 06:32:01.793 GMT-0800,662.9,659.22,0.0132,0.0009
13.11.2023 06:32:01.844 GMT-0800,662.89,659.14,0.0132,0.0132
13.11.2023 06:32:01.895 GMT-0800,662.9,659.14,0.0132,0.0132
13.11.2023 06:32:08.153 GMT-0800,662.89,659.14,0.0009,0.0132
13.11.2023 06:32:09.168 GMT-0800,662.89,658.63,0.0132,0.0132
13.11.2023 06:32:09.487 GMT-0800,662.9,658.63,0.0132,0.0132
13.11.2023 06:32:10.989 GMT-0800,662.89,658.63,0.0009,0.0132
13.11.2023 06:32:11.039 GMT-0800,662.9,658.63,0.0132,0.0132
13.11.2023 06:32:18.667 GMT-0800,662.88,658.63,0.0009,0.0132
13.11.2023 06:32:18.768 GMT-0800,662.9,658.63,0.0132,0.0132
13.11.2023 06:32:24.524 GMT-0800,662.88,658.63,0.0009,0.0132
13.11.2023 06:32:24.575 GMT-0800,662.89,658.63,0.0132,0.0132
13.11.2023 06:32:24.884 GMT-0800,662.9,658.63,0.0132,0.0132
13.11.2023 06:32:25.833 GMT-0800,662.89,658.63,0.0009,0.0132
13.11.2023 06:32:26.187 GMT-0800,662.9,658.63,0.0132,0.0132
13.11.2023 06:32:31.554 GMT-0800,662.87,658.63,0.0009,0.0132
13.11.2023 06:32:31.656 GMT-0800,662.9,658.63,0.0132,0.0132
13.11.2023 06:32:33.615 GMT-0800,662.87,658.63,0.0009,0.0132
13.11.2023 06:32:33.869 GMT-0800,662.9,658.63,0.0132,0.0132
13.11.2023 06:32:42.035 GMT-0800,662.88,658.63,0.0009,0.0132
13.11.2023 06:32:42.137 GMT-0800,662.9,658.63,0.0132,0.0132
13.11.2023 06:32:42.323 GMT-0800,662.87,658.63,0.0009,0.0132
13.11.2023 06:32:44.438 GMT-0800,662.9,658.63,0.0132,0.0132
13.11.2023 06:32:44.658 GMT-0800,662.88,658.63,0.0009,0.0132
13.11.2023 06:32:48.694 GMT-0800,662.9,658.63,0.0132,0.0132
13.11.2023 06:32:49.554 GMT-0800,662.88,658.63,0.0009,0.0132
13.11.2023 06:32:52.310 GMT-0800,662.9,658.63,0.0132,0.0132
13.11.2023 06:32:53.999 GMT-0800,662.88,658.63,0.0009,0.0132
13.11.2023 06:32:56.399 GMT-0800,662.9,658.63,0.0132,0.0132
13.11.2023 06:32:57.477 GMT-0800,662.88,658.63,0.0009,0.0132
13.11.2023 06:32:57.889 GMT-0800,662.88,658.98,0.0132,0.0009
13.11.2023 06:32:57.990 GMT-0800,662.88,658.63,0.0132,0.0132
13.11.2023 06:32:58.788 GMT-0800,662.88,658.99,0.0132,0.0009
13.11.2023 06:32:58.890 GMT-0800,662.88,658.63,0.0132,0.0132
13.11.2023 06:33:05.963 GMT-0800,662.88,660.2,0.0132,0.0009
13.11.2023 06:33:22.449 GMT-0800,662.9,660.2,0.0132,0.0132
13.11.2023 06:33:23.440 GMT-0800,661.1800000000001,660.2,0.0009,0.0132
13.11.2023 06:33:23.541 GMT-0800,660.73,658.63,0.0132,0.0132
13.11.2023 06:33:23.851 GMT-0800,661.17,658.34,0.0132,0.0132
13.11.2023 06:33:24.046 GMT-0800,661.17,658.3100000000001,0.0132,0.0132
13.11.2023 06:33:24.451 GMT-0800,661.1800000000001,658.3100000000001,0.0132,0.0132
13.11.2023 06:33:24.741 GMT-0800,660.35,658.3100000000001,0.0009,0.0132
13.11.2023 06:33:24.792 GMT-0800,661.1800000000001,658.3100000000001,0.0132,0.0132
13.11.2023 06:34:08.626 GMT-0800,661.12,658.3100000000001,0.0009,0.0132
13.11.2023 06:34:12.273 GMT-0800,660.51,658.3100000000001,0.0009,0.0132
13.11.2023 06:34:51.069 GMT-0800,659.96,658.26,0.0009,0.0009
13.11.2023 06:34:51.120 GMT-0800,660.51,658.26,0.0132,0.0132
13.11.2023 06:35:02.665 GMT-0800,661.12,658.26,0.0132,0.0132
13.11.2023 06:35:08.900 GMT-0800,661.12,657.86,0.0132,0.0132
13.11.2023 06:35:25.207 GMT-0800,661.12,657.8100000000001,0.0132,0.0132
13.11.2023 06:35:31.465 GMT-0800,660.01,657.8100000000001,0.0009,0.0132
13.11.2023 06:35:34.331 GMT-0800,660.01,657.97,0.0132,0.0009
13.11.2023 06:35:36.014 GMT-0800,660.01,657.98,0.0132,0.0009
13.11.2023 06:35:37.076 GMT-0800,660.01,658.41,0.0132,0.0009
13.11.2023 06:35:52.349 GMT-0800,660.01,657.97,0.0132,0.0132
13.11.2023 06:35:53.773 GMT-0800,660.01,658.04,0.0132,0.0009
13.11.2023 06:36:02.963 GMT-0800,660.01,658.35,0.0132,0.0009
13.11.2023 06:36:03.606 GMT-0800,659.74,658.35,0.0009,0.0132
13.11.2023 06:36:25.355 GMT-0800,659.74,657.96,0.0132,0.0132
13.11.2023 06:36:29.591 GMT-0800,659.74,657.97,0.0132,0.0009
13.11.2023 06:36:45.225 GMT-0800,659.74,657.96,0.0132,0.0132
13.11.2023 06:37:00.650 GMT-0800,659.74,657.97,0.0132,0.0009
13.11.2023 06:37:10.622 GMT-0800,659.74,657.99,0.0132,0.0009
13.11.2023 06:37:46.007 GMT-0800,659.14,657.99,0.0009,0.0132
