Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:02.293 GMT-0800,27.553,27.537,0.12,0.12
13.11.2023 06:30:02.344 GMT-0800,27.554000000000002,27.526,0.12,0.12
13.11.2023 06:30:02.464 GMT-0800,27.544,27.526,0.12,0.12
13.11.2023 06:30:02.526 GMT-0800,27.554000000000002,27.526,0.12,0.12
13.11.2023 06:30:02.576 GMT-0800,27.543000000000003,27.526999999999997,0.12,0.12
13.11.2023 06:30:02.861 GMT-0800,27.554000000000002,27.526,0.12,0.12
13.11.2023 06:30:03.164 GMT-0800,27.543000000000003,27.526999999999997,0.12,0.12
13.11.2023 06:30:03.300 GMT-0800,27.554000000000002,27.536,0.12,0.12
13.11.2023 06:30:03.351 GMT-0800,27.553,27.526999999999997,0.12,0.12
13.11.2023 06:30:03.455 GMT-0800,27.533,27.517,0.12,0.12
13.11.2023 06:30:03.556 GMT-0800,27.544,27.516,0.12,0.12
13.11.2023 06:30:03.808 GMT-0800,27.534000000000002,27.516,0.12,0.12
13.11.2023 06:30:03.859 GMT-0800,27.544,27.516,0.12,0.12
13.11.2023 06:30:03.909 GMT-0800,27.534000000000002,27.516,0.12,0.12
13.11.2023 06:30:04.032 GMT-0800,27.543000000000003,27.526999999999997,0.12,0.12
13.11.2023 06:30:04.086 GMT-0800,27.554000000000002,27.526,0.12,0.12
13.11.2023 06:30:04.237 GMT-0800,27.544,27.526,0.12,0.12
13.11.2023 06:30:04.463 GMT-0800,27.554000000000002,27.526,0.12,0.12
13.11.2023 06:30:04.718 GMT-0800,27.563000000000002,27.537,0.12,0.12
13.11.2023 06:30:04.851 GMT-0800,27.554000000000002,27.536,0.12,0.12
13.11.2023 06:30:04.902 GMT-0800,27.563000000000002,27.537,0.12,0.12
13.11.2023 06:30:04.961 GMT-0800,27.553,27.537,0.12,0.12
13.11.2023 06:30:05.899 GMT-0800,27.563000000000002,27.537,0.12,0.12
13.11.2023 06:30:05.950 GMT-0800,27.553,27.537,0.12,0.12
13.11.2023 06:30:06.997 GMT-0800,27.573000000000004,27.546999999999997,0.12,0.12
13.11.2023 06:30:07.148 GMT-0800,27.563000000000002,27.546999999999997,0.12,0.12
13.11.2023 06:30:07.296 GMT-0800,27.574,27.546,0.12,0.12
13.11.2023 06:30:07.353 GMT-0800,27.564,27.546,0.12,0.12
13.11.2023 06:30:07.404 GMT-0800,27.574,27.546,0.12,0.12
13.11.2023 06:30:07.607 GMT-0800,27.563000000000002,27.546999999999997,0.12,0.12
13.11.2023 06:30:07.658 GMT-0800,27.574,27.546,0.12,0.12
13.11.2023 06:30:07.708 GMT-0800,27.564,27.546,0.12,0.12
13.11.2023 06:30:07.759 GMT-0800,27.573000000000004,27.546999999999997,0.12,0.12
13.11.2023 06:30:07.809 GMT-0800,27.564,27.546,0.12,0.12
13.11.2023 06:30:07.909 GMT-0800,27.573000000000004,27.546999999999997,0.12,0.12
13.11.2023 06:30:07.965 GMT-0800,27.563000000000002,27.546999999999997,0.12,0.12
13.11.2023 06:30:08.029 GMT-0800,27.574,27.546,0.12,0.12
13.11.2023 06:30:08.096 GMT-0800,27.564,27.546,0.12,0.12
13.11.2023 06:30:08.146 GMT-0800,27.573000000000004,27.546999999999997,0.12,0.12
13.11.2023 06:30:08.197 GMT-0800,27.564,27.546,0.12,0.12
13.11.2023 06:30:08.247 GMT-0800,27.573000000000004,27.546999999999997,0.12,0.12
13.11.2023 06:30:08.298 GMT-0800,27.563000000000002,27.546999999999997,0.12,0.12
13.11.2023 06:30:08.348 GMT-0800,27.573000000000004,27.546999999999997,0.12,0.12
13.11.2023 06:30:08.399 GMT-0800,27.563000000000002,27.546999999999997,0.12,0.12
13.11.2023 06:30:08.450 GMT-0800,27.573000000000004,27.546999999999997,0.12,0.12
