Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:00.333 GMT-0800,52.733999999999995,52.18600000000001,0.12,0.12
13.11.2023 06:30:00.471 GMT-0800,52.543000000000006,52.187,0.12,0.12
13.11.2023 06:30:00.824 GMT-0800,52.543000000000006,52.177,0.12,0.12
13.11.2023 06:30:01.389 GMT-0800,52.464,52.176,0.0009,0.1
13.11.2023 06:30:01.440 GMT-0800,52.524,52.196000000000005,0.12,0.12
13.11.2023 06:30:01.955 GMT-0800,52.523,52.197,0.12,0.1
13.11.2023 06:30:02.183 GMT-0800,52.454,52.196000000000005,0.0009,0.1
13.11.2023 06:30:02.633 GMT-0800,52.424,52.416000000000004,0.0009,0.09
13.11.2023 06:30:02.685 GMT-0800,52.443000000000005,52.417,0.0009,0.09
13.11.2023 06:30:02.946 GMT-0800,52.443999999999996,52.406000000000006,0.12,0.12
13.11.2023 06:30:03.601 GMT-0800,52.443999999999996,52.406000000000006,0.09,0.1
13.11.2023 06:30:03.652 GMT-0800,52.443000000000005,52.407,0.09,0.12
13.11.2023 06:30:03.728 GMT-0800,52.483000000000004,52.447,0.12,0.12
13.11.2023 06:30:03.874 GMT-0800,52.483000000000004,52.447,0.09,0.1
13.11.2023 06:30:03.925 GMT-0800,52.494,52.446000000000005,0.12,0.12
13.11.2023 06:30:04.254 GMT-0800,52.493,52.447,0.12,0.1
13.11.2023 06:30:04.703 GMT-0800,52.493,52.457,0.09,0.1
13.11.2023 06:30:04.754 GMT-0800,52.494,52.456,0.09,0.1
13.11.2023 06:30:04.804 GMT-0800,52.493,52.457,0.09,0.1
13.11.2023 06:30:04.951 GMT-0800,52.493,52.457,0.09,0.1
13.11.2023 06:30:05.002 GMT-0800,52.513999999999996,52.486000000000004,0.0009,0.12
13.11.2023 06:30:05.532 GMT-0800,52.513000000000005,52.487,0.09,0.1
13.11.2023 06:30:05.712 GMT-0800,52.544,52.50600000000001,0.12,0.12
13.11.2023 06:30:05.875 GMT-0800,52.543000000000006,52.507,0.09,0.1
13.11.2023 06:30:05.926 GMT-0800,52.553000000000004,52.516999999999996,0.12,0.12
13.11.2023 06:30:06.408 GMT-0800,52.563,52.516999999999996,0.12,0.12
13.11.2023 06:30:07.561 GMT-0800,52.563,52.516999999999996,0.12,0.1
13.11.2023 06:30:07.662 GMT-0800,52.564,52.54600000000001,0.12,0.12
13.11.2023 06:30:07.910 GMT-0800,52.553999999999995,52.54600000000001,0.0009,0.09
13.11.2023 06:30:07.992 GMT-0800,52.553000000000004,52.537,0.12,0.12
13.11.2023 06:30:08.185 GMT-0800,52.553999999999995,52.526,0.12,0.12
13.11.2023 06:30:08.611 GMT-0800,52.543000000000006,52.527,0.0009,0.12
13.11.2023 06:30:08.662 GMT-0800,52.563,52.537,0.12,0.12
13.11.2023 06:30:08.794 GMT-0800,52.553000000000004,52.537,0.0009,0.09
13.11.2023 06:30:08.846 GMT-0800,52.553999999999995,52.526,0.12,0.12
13.11.2023 06:30:09.617 GMT-0800,52.544,52.526,0.0009,0.09
