Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:01.986 GMT-0800,42.244,41.916000000000004,0.12,0.12
13.11.2023 06:30:02.083 GMT-0800,42.025,41.917,0.0009,0.12
13.11.2023 06:30:02.239 GMT-0800,42.018,41.917,0.0009,0.12
13.11.2023 06:30:02.438 GMT-0800,42.013000000000005,41.916000000000004,0.0009,0.12
13.11.2023 06:30:02.800 GMT-0800,41.993,41.917,0.12,0.12
13.11.2023 06:30:02.908 GMT-0800,41.993,41.917,0.12,0.1
13.11.2023 06:30:03.009 GMT-0800,41.973000000000006,41.917,0.0009,0.12
13.11.2023 06:30:03.110 GMT-0800,41.954,41.916000000000004,0.0009,0.12
13.11.2023 06:30:03.301 GMT-0800,41.943000000000005,41.917,0.0009,0.12
13.11.2023 06:30:03.354 GMT-0800,41.954,41.916000000000004,0.0009,0.12
13.11.2023 06:30:03.411 GMT-0800,41.974,41.916000000000004,0.12,0.1
13.11.2023 06:30:03.533 GMT-0800,41.953,41.937,0.0009,0.09
13.11.2023 06:30:03.666 GMT-0800,41.954,41.906000000000006,0.12,0.12
13.11.2023 06:30:03.904 GMT-0800,41.954,41.906000000000006,0.12,0.1
13.11.2023 06:30:04.124 GMT-0800,41.953,41.907,0.09,0.1
13.11.2023 06:30:04.219 GMT-0800,41.973000000000006,41.937,0.12,0.12
13.11.2023 06:30:04.859 GMT-0800,41.973000000000006,41.937,0.12,0.1
13.11.2023 06:30:04.961 GMT-0800,41.983000000000004,41.957,0.12,0.09
13.11.2023 06:30:05.030 GMT-0800,41.983999999999995,41.946000000000005,0.12,0.12
13.11.2023 06:30:05.555 GMT-0800,41.983000000000004,41.946999999999996,0.09,0.1
13.11.2023 06:30:05.645 GMT-0800,42.003,41.977,0.12,0.12
13.11.2023 06:30:06.795 GMT-0800,41.993,41.977,0.0009,0.09
13.11.2023 06:30:06.955 GMT-0800,41.994,41.966,0.12,0.12
13.11.2023 06:30:07.531 GMT-0800,42.004,41.966,0.12,0.12
13.11.2023 06:30:07.595 GMT-0800,41.994,41.966,0.0009,0.12
13.11.2023 06:30:07.787 GMT-0800,41.983999999999995,41.966,0.0009,0.09
13.11.2023 06:30:07.838 GMT-0800,41.993,41.957,0.12,0.12
13.11.2023 06:30:08.020 GMT-0800,41.965,41.957,0.0009,0.09
13.11.2023 06:30:08.071 GMT-0800,41.964,41.946000000000005,0.12,0.12
13.11.2023 06:30:08.913 GMT-0800,41.953,41.946999999999996,0.0009,0.09
13.11.2023 06:30:08.964 GMT-0800,41.954,41.93600000000001,0.12,0.12
13.11.2023 06:30:09.553 GMT-0800,41.953,41.927,0.12,0.12
13.11.2023 06:30:10.438 GMT-0800,41.954,41.926,0.09,0.1
13.11.2023 06:30:10.489 GMT-0800,41.954,41.926,0.12,0.12
13.11.2023 06:30:10.840 GMT-0800,41.953,41.927,0.09,0.1
13.11.2023 06:30:10.890 GMT-0800,41.983000000000004,41.957,0.12,0.12
13.11.2023 06:30:11.489 GMT-0800,41.993,41.957,0.12,0.12
13.11.2023 06:30:11.540 GMT-0800,41.983000000000004,41.957,0.12,0.12
13.11.2023 06:30:12.413 GMT-0800,41.993,41.957,0.12,0.12
13.11.2023 06:30:12.467 GMT-0800,41.983000000000004,41.957,0.0009,0.12
13.11.2023 06:30:12.568 GMT-0800,41.974,41.93600000000001,0.12,0.12
13.11.2023 06:30:14.973 GMT-0800,41.964,41.93600000000001,0.0009,0.12
13.11.2023 06:30:15.146 GMT-0800,41.973000000000006,41.937,0.12,0.12
13.11.2023 06:30:15.707 GMT-0800,41.964,41.926,0.12,0.12
13.11.2023 06:30:15.808 GMT-0800,41.963,41.937,0.09,0.1
13.11.2023 06:30:15.858 GMT-0800,41.974,41.946000000000005,0.12,0.12
13.11.2023 06:30:16.132 GMT-0800,41.963,41.946999999999996,0.0009,0.09
13.11.2023 06:30:16.182 GMT-0800,41.963,41.937,0.09,0.12
