Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:01.256 GMT-0800,34.103,33.817,0.0132,0.0132
13.11.2023 06:30:01.912 GMT-0800,33.924,33.816,0.0009,0.009
13.11.2023 06:30:02.052 GMT-0800,33.905,33.816,0.0009,0.0112
13.11.2023 06:30:02.184 GMT-0800,33.874,33.826,0.0132,0.0112
13.11.2023 06:30:02.319 GMT-0800,33.874,33.846,0.0132,0.0132
13.11.2023 06:30:02.420 GMT-0800,33.853,33.777,0.0132,0.0132
13.11.2023 06:30:02.471 GMT-0800,33.863,33.777,0.0132,0.0132
13.11.2023 06:30:02.521 GMT-0800,33.853,33.777,0.0009,0.0132
13.11.2023 06:30:02.870 GMT-0800,33.843,33.777,0.0009,0.009
13.11.2023 06:30:03.022 GMT-0800,33.834,33.756,0.0009,0.0132
13.11.2023 06:30:03.123 GMT-0800,33.813,33.757,0.0009,0.0132
13.11.2023 06:30:03.453 GMT-0800,33.774,33.756,0.0009,0.009
13.11.2023 06:30:03.542 GMT-0800,33.783,33.757,0.0009,0.0132
13.11.2023 06:30:03.806 GMT-0800,33.813,33.747,0.0132,0.0132
13.11.2023 06:30:04.195 GMT-0800,33.814,33.746,0.0132,0.0112
13.11.2023 06:30:04.246 GMT-0800,33.814,33.746,0.0132,0.0132
13.11.2023 06:30:04.452 GMT-0800,33.814,33.746,0.0132,0.0112
13.11.2023 06:30:04.503 GMT-0800,33.824,33.756,0.0132,0.0132
13.11.2023 06:30:04.795 GMT-0800,33.824,33.756,0.0132,0.0112
13.11.2023 06:30:04.846 GMT-0800,33.823,33.757,0.0132,0.0112
13.11.2023 06:30:04.947 GMT-0800,33.824,33.756,0.0132,0.0132
13.11.2023 06:30:05.233 GMT-0800,33.813,33.757,0.0009,0.0132
13.11.2023 06:30:05.283 GMT-0800,33.824,33.756,0.0132,0.0132
13.11.2023 06:30:05.384 GMT-0800,33.814,33.756,0.0132,0.0132
13.11.2023 06:30:05.674 GMT-0800,33.823,33.757,0.0132,0.0132
13.11.2023 06:30:05.725 GMT-0800,33.813,33.757,0.0009,0.0132
13.11.2023 06:30:05.876 GMT-0800,33.804,33.756,0.0009,0.0132
13.11.2023 06:30:06.046 GMT-0800,33.794000000000004,33.746,0.009,0.0132
13.11.2023 06:30:06.097 GMT-0800,33.804,33.746,0.0132,0.0132
13.11.2023 06:30:06.178 GMT-0800,33.804,33.746,0.0132,0.0112
13.11.2023 06:30:07.848 GMT-0800,33.804,33.756,0.0132,0.0112
13.11.2023 06:30:07.898 GMT-0800,33.824,33.756,0.0132,0.0132
13.11.2023 06:30:08.483 GMT-0800,33.835,33.757,0.009,0.0112
13.11.2023 06:30:08.533 GMT-0800,33.894,33.786,0.0132,0.0132
13.11.2023 06:30:08.695 GMT-0800,33.954,33.786,0.0132,0.0132
13.11.2023 06:30:08.746 GMT-0800,33.834,33.786,0.0132,0.0132
13.11.2023 06:30:08.929 GMT-0800,33.953,33.787,0.0132,0.0132
13.11.2023 06:30:09.019 GMT-0800,33.954,33.786,0.0132,0.0112
13.11.2023 06:30:10.052 GMT-0800,33.954,33.796,0.0132,0.0112
13.11.2023 06:30:11.569 GMT-0800,33.953,33.807,0.0132,0.0112
13.11.2023 06:30:11.782 GMT-0800,33.954,33.816,0.0132,0.0112
13.11.2023 06:30:11.885 GMT-0800,33.933,33.817,0.0132,0.0132
13.11.2023 06:30:12.005 GMT-0800,33.934000000000005,33.756,0.0132,0.0132
13.11.2023 06:30:12.429 GMT-0800,33.864000000000004,33.756,0.0009,0.0112
13.11.2023 06:30:12.927 GMT-0800,33.853,33.807,0.0132,0.0112
13.11.2023 06:30:13.104 GMT-0800,33.854,33.816,0.0132,0.0112
13.11.2023 06:30:13.726 GMT-0800,33.913000000000004,33.827,0.0132,0.0132
13.11.2023 06:30:14.345 GMT-0800,33.914,33.826,0.0132,0.0112
13.11.2023 06:30:14.502 GMT-0800,33.874,33.846,0.0009,0.0132
13.11.2023 06:30:15.159 GMT-0800,33.893,33.847,0.0132,0.0132
13.11.2023 06:30:15.618 GMT-0800,33.894,33.826,0.0132,0.0132
13.11.2023 06:30:16.586 GMT-0800,33.904,33.856,0.0132,0.0132
13.11.2023 06:30:16.687 GMT-0800,33.893,33.857,0.0132,0.0132
13.11.2023 06:30:16.851 GMT-0800,33.903000000000006,33.857,0.0132,0.0132
13.11.2023 06:30:17.350 GMT-0800,33.894,33.856,0.0009,0.0132
13.11.2023 06:30:17.608 GMT-0800,33.903000000000006,33.857,0.0132,0.0132
