Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:01.954 GMT-0800,118.624,117.08600000000001,0.0132,0.0132
13.11.2023 06:30:02.084 GMT-0800,118.363,117.087,0.0009,0.0132
13.11.2023 06:30:02.364 GMT-0800,118.283,117.087,0.0009,0.0132
13.11.2023 06:30:02.528 GMT-0800,118.28399999999999,117.08600000000001,0.0009,0.0112
13.11.2023 06:30:02.580 GMT-0800,118.283,117.087,0.0132,0.0132
13.11.2023 06:30:02.631 GMT-0800,118.113,117.087,0.0009,0.0132
13.11.2023 06:30:02.804 GMT-0800,118.114,117.08600000000001,0.0132,0.0112
13.11.2023 06:30:02.923 GMT-0800,118.114,117.08600000000001,0.0132,0.0112
13.11.2023 06:30:03.112 GMT-0800,118.113,117.087,0.0132,0.0112
13.11.2023 06:30:03.294 GMT-0800,118.114,117.08600000000001,0.0132,0.0132
13.11.2023 06:30:03.494 GMT-0800,118.114,117.08600000000001,0.0132,0.0112
13.11.2023 06:30:03.545 GMT-0800,118.113,117.087,0.0132,0.0132
13.11.2023 06:30:03.689 GMT-0800,118.113,117.087,0.0132,0.0112
13.11.2023 06:30:03.740 GMT-0800,118.113,117.087,0.0132,0.0132
13.11.2023 06:30:04.416 GMT-0800,118.094,117.08600000000001,0.0009,0.0132
13.11.2023 06:30:04.779 GMT-0800,118.12299999999999,117.087,0.0132,0.0132
13.11.2023 06:30:05.134 GMT-0800,118.12299999999999,117.087,0.0132,0.0112
13.11.2023 06:30:05.235 GMT-0800,118.094,117.41600000000001,0.0132,0.0132
13.11.2023 06:30:06.151 GMT-0800,118.04299999999999,117.41700000000002,0.0009,0.0132
13.11.2023 06:30:06.375 GMT-0800,118.083,117.41700000000002,0.0009,0.0132
13.11.2023 06:30:06.658 GMT-0800,118.044,117.41600000000001,0.0009,0.0132
13.11.2023 06:30:06.986 GMT-0800,118.044,117.41600000000001,0.0132,0.0112
13.11.2023 06:30:07.236 GMT-0800,118.044,117.41600000000001,0.0132,0.0132
13.11.2023 06:30:07.755 GMT-0800,118.044,117.41600000000001,0.0132,0.0112
13.11.2023 06:30:07.806 GMT-0800,118.044,117.41600000000001,0.0132,0.0132
13.11.2023 06:30:08.079 GMT-0800,118.124,117.41600000000001,0.0132,0.0132
13.11.2023 06:30:08.393 GMT-0800,118.124,117.41600000000001,0.0132,0.0112
13.11.2023 06:30:08.709 GMT-0800,118.124,117.41600000000001,0.0132,0.0132
13.11.2023 06:30:09.698 GMT-0800,118.12299999999999,117.41700000000002,0.0132,0.0112
13.11.2023 06:30:09.851 GMT-0800,118.124,117.41600000000001,0.0132,0.0132
13.11.2023 06:30:10.354 GMT-0800,118.12299999999999,117.41700000000002,0.0132,0.0112
13.11.2023 06:30:10.612 GMT-0800,118.124,117.41600000000001,0.0132,0.0132
13.11.2023 06:30:12.520 GMT-0800,118.12299999999999,117.41700000000002,0.0132,0.0112
13.11.2023 06:30:12.621 GMT-0800,118.124,117.41600000000001,0.0132,0.0132
13.11.2023 06:30:13.270 GMT-0800,118.124,117.41600000000001,0.0132,0.0112
13.11.2023 06:30:13.460 GMT-0800,118.124,117.41600000000001,0.0132,0.0132
13.11.2023 06:30:15.289 GMT-0800,118.124,117.41600000000001,0.0132,0.0112
13.11.2023 06:30:15.495 GMT-0800,118.124,117.626,0.0132,0.0132
13.11.2023 06:30:15.791 GMT-0800,118.124,117.626,0.0132,0.0112
13.11.2023 06:30:16.287 GMT-0800,118.124,117.66600000000001,0.0132,0.0112
13.11.2023 06:30:21.820 GMT-0800,118.12299999999999,117.73700000000001,0.009,0.0112
13.11.2023 06:30:21.870 GMT-0800,118.624,117.74600000000001,0.0132,0.0132
13.11.2023 06:30:23.501 GMT-0800,118.173,117.74700000000001,0.0009,0.0132
13.11.2023 06:30:24.026 GMT-0800,118.134,117.74600000000001,0.0009,0.0132
