Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:00.646 GMT-0800,326.384,326.096,0.0012,0.0012
13.11.2023 06:30:01.152 GMT-0800,326.383,326.107,0.0012,0.0012
13.11.2023 06:30:02.051 GMT-0800,326.363,326.107,0.0012,0.0012
13.11.2023 06:30:02.152 GMT-0800,326.41400000000004,326.256,0.0012,0.0012
13.11.2023 06:30:02.369 GMT-0800,326.503,326.34700000000004,0.0012,0.0012
13.11.2023 06:30:02.420 GMT-0800,326.873,326.387,0.0012,0.0012
13.11.2023 06:30:02.522 GMT-0800,326.993,326.527,0.0012,0.0012
13.11.2023 06:30:02.623 GMT-0800,326.704,326.406,0.0012,0.0012
13.11.2023 06:30:02.757 GMT-0800,326.694,326.406,0.0012,0.0012
13.11.2023 06:30:02.973 GMT-0800,326.694,326.476,0.0012,0.0012
13.11.2023 06:30:03.210 GMT-0800,326.694,326.466,0.0012,0.0012
13.11.2023 06:30:03.310 GMT-0800,326.693,326.47700000000003,0.0012,0.0012
13.11.2023 06:30:03.411 GMT-0800,326.703,326.527,0.0012,0.0012
13.11.2023 06:30:03.461 GMT-0800,326.703,326.517,0.0012,0.0012
13.11.2023 06:30:03.689 GMT-0800,326.703,326.527,0.0012,0.0012
13.11.2023 06:30:03.752 GMT-0800,326.703,326.517,0.0012,0.0012
13.11.2023 06:30:03.803 GMT-0800,326.704,326.566,0.0012,0.0012
13.11.2023 06:30:04.029 GMT-0800,326.703,326.577,0.0012,0.0012
13.11.2023 06:30:04.182 GMT-0800,326.704,326.586,0.0012,0.0012
13.11.2023 06:30:04.286 GMT-0800,326.704,326.57599999999996,0.0012,0.0012
13.11.2023 06:30:04.339 GMT-0800,326.703,326.587,0.0012,0.0012
13.11.2023 06:30:04.679 GMT-0800,327.003,326.637,0.0012,0.0012
13.11.2023 06:30:04.730 GMT-0800,326.79400000000004,326.586,0.0012,0.0012
13.11.2023 06:30:04.915 GMT-0800,326.793,326.577,0.0012,0.0012
13.11.2023 06:30:05.148 GMT-0800,326.713,326.577,0.0012,0.0012
13.11.2023 06:30:05.198 GMT-0800,326.67400000000004,326.466,0.0012,0.0012
13.11.2023 06:30:05.265 GMT-0800,326.67400000000004,326.476,0.0012,0.0012
13.11.2023 06:30:05.962 GMT-0800,326.694,326.476,0.0012,0.0012
13.11.2023 06:30:06.193 GMT-0800,326.994,326.476,0.0012,0.0012
13.11.2023 06:30:06.244 GMT-0800,326.994,326.706,0.0012,0.0012
13.11.2023 06:30:07.500 GMT-0800,326.993,326.767,0.0012,0.0012
13.11.2023 06:30:07.624 GMT-0800,326.993,326.777,0.0012,0.0012
13.11.2023 06:30:07.898 GMT-0800,326.92400000000004,326.776,0.0012,0.0012
13.11.2023 06:30:07.949 GMT-0800,326.994,326.776,0.0012,0.0012
13.11.2023 06:30:07.999 GMT-0800,326.92400000000004,326.776,0.0012,0.0012
13.11.2023 06:30:08.050 GMT-0800,326.923,326.767,0.0012,0.0012
13.11.2023 06:30:08.109 GMT-0800,326.834,326.496,0.0012,0.0012
13.11.2023 06:30:08.206 GMT-0800,327.004,326.766,0.0012,0.0012
13.11.2023 06:30:08.806 GMT-0800,327.003,326.78700000000003,0.0012,0.0012
13.11.2023 06:30:08.857 GMT-0800,327.003,326.777,0.0012,0.0012
