Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:00.734 GMT-0800,131.934,131.776,0.0012,0.0012
13.11.2023 06:30:01.160 GMT-0800,131.934,131.796,0.0012,0.0012
13.11.2023 06:30:01.297 GMT-0800,131.934,131.806,0.0012,0.0012
13.11.2023 06:30:01.347 GMT-0800,131.933,131.797,0.0012,0.0012
13.11.2023 06:30:01.515 GMT-0800,131.923,131.80700000000002,0.0012,0.0012
13.11.2023 06:30:01.872 GMT-0800,131.903,131.847,0.0012,0.0012
13.11.2023 06:30:02.082 GMT-0800,131.904,131.856,0.0012,0.0012
13.11.2023 06:30:02.183 GMT-0800,131.933,131.89700000000002,0.0012,0.0012
13.11.2023 06:30:02.283 GMT-0800,131.923,131.877,0.0012,0.0012
13.11.2023 06:30:02.388 GMT-0800,131.933,131.907,0.0012,0.0012
13.11.2023 06:30:02.439 GMT-0800,131.944,131.906,0.0012,0.0012
13.11.2023 06:30:02.491 GMT-0800,131.954,131.906,0.0012,0.0012
13.11.2023 06:30:02.542 GMT-0800,131.94299999999998,131.907,0.0012,0.0012
13.11.2023 06:30:02.592 GMT-0800,131.953,131.907,0.0012,0.0012
13.11.2023 06:30:02.643 GMT-0800,131.984,131.906,0.0012,0.0012
13.11.2023 06:30:02.743 GMT-0800,132.084,131.906,0.0012,0.0012
13.11.2023 06:30:02.794 GMT-0800,132.10399999999998,131.936,0.0012,0.0012
13.11.2023 06:30:02.895 GMT-0800,132.144,131.98600000000002,0.0012,0.0012
13.11.2023 06:30:03.046 GMT-0800,132.19299999999998,132.137,0.0012,0.0012
13.11.2023 06:30:03.197 GMT-0800,132.16299999999998,132.137,0.0012,0.0012
13.11.2023 06:30:03.302 GMT-0800,132.153,132.107,0.0012,0.0012
13.11.2023 06:30:03.356 GMT-0800,132.164,132.106,0.0012,0.0012
13.11.2023 06:30:03.415 GMT-0800,132.134,132.106,0.0012,0.0012
13.11.2023 06:30:03.465 GMT-0800,132.16299999999998,132.107,0.0012,0.0012
13.11.2023 06:30:03.538 GMT-0800,132.144,132.106,0.0012,0.0012
13.11.2023 06:30:03.588 GMT-0800,132.16299999999998,132.107,0.0012,0.0012
13.11.2023 06:30:03.639 GMT-0800,132.123,131.977,0.0012,0.0012
13.11.2023 06:30:03.689 GMT-0800,132.134,132.076,0.0012,0.0012
13.11.2023 06:30:03.739 GMT-0800,132.144,131.976,0.0012,0.0012
13.11.2023 06:30:03.790 GMT-0800,132.123,131.977,0.0012,0.0012
13.11.2023 06:30:04.031 GMT-0800,132.114,131.976,0.0012,0.0012
