Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:02.545 GMT-0800,3.9310000000000005,3.7489999999999997,0.0132,0.0132
13.11.2023 06:30:02.595 GMT-0800,3.932,3.7880000000000003,0.0132,0.0009
13.11.2023 06:30:04.703 GMT-0800,3.8810000000000002,3.7889999999999997,0.0009,0.0132
13.11.2023 06:30:08.372 GMT-0800,3.8710000000000004,3.7889999999999997,0.0009,0.0132
13.11.2023 06:30:09.462 GMT-0800,3.841,3.7889999999999997,0.0009,0.0132
13.11.2023 06:30:10.361 GMT-0800,3.832,3.818,0.0132,0.0132
13.11.2023 06:30:10.542 GMT-0800,3.842,3.818,0.0132,0.0132
13.11.2023 06:30:11.478 GMT-0800,3.8310000000000004,3.819,0.0009,0.0132
13.11.2023 06:30:30.073 GMT-0800,3.822,3.8080000000000003,0.0132,0.0132
13.11.2023 06:30:40.017 GMT-0800,3.822,3.798,0.0132,0.0132
13.11.2023 06:30:46.568 GMT-0800,3.821,3.8089999999999997,0.0132,0.0009
13.11.2023 06:31:06.838 GMT-0800,3.821,3.799,0.0132,0.0132
13.11.2023 06:31:07.741 GMT-0800,3.822,3.8080000000000003,0.0132,0.0009
13.11.2023 06:31:23.694 GMT-0800,3.8110000000000004,3.799,0.0132,0.0132
13.11.2023 06:31:28.501 GMT-0800,3.822,3.8080000000000003,0.0132,0.0132
13.11.2023 06:31:30.519 GMT-0800,3.821,3.799,0.0132,0.0132
13.11.2023 06:31:31.074 GMT-0800,3.8110000000000004,3.799,0.0009,0.0132
13.11.2023 06:31:36.568 GMT-0800,3.822,3.798,0.0132,0.0132
13.11.2023 06:31:40.841 GMT-0800,3.821,3.8089999999999997,0.0132,0.0009
13.11.2023 06:31:47.831 GMT-0800,3.832,3.8080000000000003,0.0132,0.0132
13.11.2023 06:31:49.553 GMT-0800,3.822,3.8080000000000003,0.0009,0.0132
13.11.2023 06:32:00.236 GMT-0800,3.812,3.8080000000000003,0.0009,0.009
13.11.2023 06:32:00.287 GMT-0800,3.812,3.798,0.0132,0.0132
13.11.2023 06:32:17.917 GMT-0800,3.802,3.7880000000000003,0.0132,0.0132
13.11.2023 06:32:21.166 GMT-0800,3.812,3.7880000000000003,0.0132,0.0132
13.11.2023 06:32:22.518 GMT-0800,3.802,3.7880000000000003,0.0009,0.0132
13.11.2023 06:32:30.701 GMT-0800,3.8110000000000004,3.799,0.0132,0.0132
13.11.2023 06:32:31.043 GMT-0800,3.801,3.799,0.0009,0.009
13.11.2023 06:32:31.145 GMT-0800,3.802,3.7880000000000003,0.0132,0.0132
13.11.2023 06:32:44.237 GMT-0800,3.812,3.798,0.0132,0.0132
13.11.2023 06:32:59.501 GMT-0800,3.822,3.798,0.0132,0.0132
13.11.2023 06:33:02.161 GMT-0800,3.812,3.798,0.0009,0.0132
13.11.2023 06:33:45.880 GMT-0800,3.822,3.818,0.009,0.0009
13.11.2023 06:33:45.931 GMT-0800,3.822,3.8080000000000003,0.0132,0.0132
13.11.2023 06:34:42.785 GMT-0800,3.812,3.8080000000000003,0.0009,0.009
13.11.2023 06:34:42.836 GMT-0800,3.8110000000000004,3.799,0.0132,0.0132
13.11.2023 06:35:01.702 GMT-0800,3.801,3.799,0.0009,0.009
13.11.2023 06:35:01.753 GMT-0800,3.801,3.7889999999999997,0.0132,0.0132
13.11.2023 06:35:15.885 GMT-0800,3.7910000000000004,3.779,0.0132,0.0132
13.11.2023 06:35:18.236 GMT-0800,3.801,3.7889999999999997,0.0132,0.0132
13.11.2023 06:35:23.949 GMT-0800,3.792,3.778,0.0132,0.0132
13.11.2023 06:35:27.331 GMT-0800,3.801,3.779,0.0132,0.0132
13.11.2023 06:35:29.591 GMT-0800,3.792,3.778,0.0132,0.0132
13.11.2023 06:35:33.289 GMT-0800,3.802,3.778,0.0132,0.0132
13.11.2023 06:35:35.527 GMT-0800,3.792,3.778,0.0009,0.0132
13.11.2023 06:36:15.883 GMT-0800,3.782,3.778,0.0009,0.009
13.11.2023 06:36:15.934 GMT-0800,3.781,3.7689999999999997,0.0132,0.0132
13.11.2023 06:36:20.093 GMT-0800,3.792,3.7680000000000002,0.0132,0.0132
13.11.2023 06:36:22.043 GMT-0800,3.7910000000000004,3.779,0.0132,0.0009
13.11.2023 06:36:42.668 GMT-0800,3.792,3.7680000000000002,0.0132,0.0132
13.11.2023 06:36:42.727 GMT-0800,3.792,3.778,0.0132,0.0009
