Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:02.404 GMT-0800,145.634,145.42600000000002,0.12,0.12
13.11.2023 06:30:02.506 GMT-0800,145.643,145.567,0.12,0.0009
13.11.2023 06:30:02.556 GMT-0800,145.644,145.566,0.12,0.12
13.11.2023 06:30:02.771 GMT-0800,145.674,145.566,0.12,0.12
13.11.2023 06:30:02.923 GMT-0800,145.664,145.566,0.0009,0.09
13.11.2023 06:30:02.974 GMT-0800,145.66299999999998,145.51700000000002,0.12,0.0009
13.11.2023 06:30:03.024 GMT-0800,145.614,145.526,0.0009,0.0009
13.11.2023 06:30:03.126 GMT-0800,145.594,145.526,0.0009,0.09
13.11.2023 06:30:03.177 GMT-0800,145.593,145.51700000000002,0.12,0.09
13.11.2023 06:30:03.379 GMT-0800,145.614,145.51600000000002,0.12,0.12
13.11.2023 06:30:03.480 GMT-0800,145.604,145.51600000000002,0.0009,0.12
13.11.2023 06:30:03.585 GMT-0800,145.593,145.51700000000002,0.0009,0.09
13.11.2023 06:30:03.636 GMT-0800,145.603,145.51700000000002,0.12,0.12
13.11.2023 06:30:03.838 GMT-0800,145.614,145.51600000000002,0.12,0.12
13.11.2023 06:30:04.148 GMT-0800,145.644,145.51600000000002,0.12,0.12
13.11.2023 06:30:04.394 GMT-0800,145.884,145.656,0.12,0.12
13.11.2023 06:30:04.665 GMT-0800,145.894,145.716,0.12,0.0009
13.11.2023 06:30:04.961 GMT-0800,145.75,145.717,0.0009,0.09
13.11.2023 06:30:05.012 GMT-0800,145.743,145.657,0.12,0.12
13.11.2023 06:30:05.063 GMT-0800,145.744,145.666,0.12,0.0009
13.11.2023 06:30:05.177 GMT-0800,145.753,145.667,0.12,0.12
13.11.2023 06:30:05.346 GMT-0800,145.884,145.666,0.12,0.12
13.11.2023 06:30:05.860 GMT-0800,145.933,145.727,0.12,0.0009
13.11.2023 06:30:05.911 GMT-0800,145.933,145.727,0.12,0.12
13.11.2023 06:30:05.962 GMT-0800,145.923,145.727,0.0009,0.12
13.11.2023 06:30:07.002 GMT-0800,145.933,145.787,0.12,0.0009
13.11.2023 06:30:07.053 GMT-0800,145.934,145.746,0.12,0.0009
13.11.2023 06:30:07.157 GMT-0800,145.924,145.756,0.12,0.12
13.11.2023 06:30:07.944 GMT-0800,145.923,145.747,0.12,0.12
13.11.2023 06:30:08.668 GMT-0800,145.923,145.727,0.12,0.12
13.11.2023 06:30:08.897 GMT-0800,145.923,145.76700000000002,0.12,0.0009
13.11.2023 06:30:09.183 GMT-0800,145.844,145.726,0.12,0.12
13.11.2023 06:30:09.473 GMT-0800,145.793,145.727,0.0009,0.12
13.11.2023 06:30:09.523 GMT-0800,145.844,145.726,0.12,0.12
13.11.2023 06:30:09.574 GMT-0800,145.804,145.726,0.12,0.12
13.11.2023 06:30:10.182 GMT-0800,145.844,145.726,0.12,0.12
13.11.2023 06:30:10.524 GMT-0800,145.863,145.727,0.12,0.12
13.11.2023 06:30:10.575 GMT-0800,145.813,145.727,0.0009,0.12
13.11.2023 06:30:10.800 GMT-0800,145.863,145.727,0.12,0.12
13.11.2023 06:30:11.979 GMT-0800,145.873,145.747,0.12,0.0009
13.11.2023 06:30:12.682 GMT-0800,145.864,145.73600000000002,0.12,0.12
13.11.2023 06:30:12.927 GMT-0800,145.864,145.746,0.12,0.0009
13.11.2023 06:30:13.194 GMT-0800,145.863,145.727,0.12,0.12
13.11.2023 06:30:13.898 GMT-0800,145.794,145.716,0.12,0.12
13.11.2023 06:30:15.016 GMT-0800,145.794,145.73600000000002,0.12,0.0009
13.11.2023 06:30:16.755 GMT-0800,145.803,145.747,0.12,0.0009
13.11.2023 06:30:16.805 GMT-0800,145.804,145.746,0.12,0.12
13.11.2023 06:30:16.856 GMT-0800,145.794,145.746,0.0009,0.09
13.11.2023 06:30:16.907 GMT-0800,145.793,145.73700000000002,0.12,0.12
13.11.2023 06:30:17.298 GMT-0800,145.804,145.746,0.12,0.0009
13.11.2023 06:30:17.349 GMT-0800,145.803,145.73700000000002,0.12,0.12
13.11.2023 06:30:17.399 GMT-0800,145.793,145.73700000000002,0.0009,0.09
13.11.2023 06:30:17.610 GMT-0800,145.803,145.73700000000002,0.12,0.12
13.11.2023 06:30:17.661 GMT-0800,145.793,145.73700000000002,0.12,0.12
13.11.2023 06:30:17.780 GMT-0800,145.794,145.726,0.12,0.12
13.11.2023 06:30:17.832 GMT-0800,145.764,145.726,0.0009,0.09
13.11.2023 06:30:17.883 GMT-0800,145.764,145.70600000000002,0.12,0.12
