Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:00.282 GMT-0800,10.232000000000001,9.998,0.0132,0.0132
13.11.2023 06:30:00.735 GMT-0800,10.232000000000001,10.008,0.0132,0.0009
13.11.2023 06:30:00.887 GMT-0800,10.232000000000001,9.998,0.0132,0.0132
13.11.2023 06:30:01.811 GMT-0800,10.222000000000001,10.008,0.0009,0.0009
13.11.2023 06:30:02.175 GMT-0800,10.222000000000001,10.128,0.0132,0.0009
13.11.2023 06:30:02.388 GMT-0800,10.192,10.128,0.0009,0.0009
13.11.2023 06:30:02.562 GMT-0800,10.192,10.118,0.0009,0.0009
13.11.2023 06:30:02.613 GMT-0800,10.162,10.118,0.0009,0.0009
13.11.2023 06:30:02.721 GMT-0800,10.132000000000001,10.118,0.0009,0.0009
13.11.2023 06:30:02.772 GMT-0800,10.112,10.078,0.0009,0.0009
13.11.2023 06:30:02.823 GMT-0800,10.122,10.078,0.0009,0.0009
13.11.2023 06:30:02.873 GMT-0800,10.132000000000001,10.088,0.0009,0.0009
13.11.2023 06:30:02.974 GMT-0800,10.122,10.088,0.0009,0.009
13.11.2023 06:30:03.285 GMT-0800,10.112,10.088,0.0009,0.009
13.11.2023 06:30:03.391 GMT-0800,10.112,10.068,0.0132,0.0132
13.11.2023 06:30:03.556 GMT-0800,10.112,10.058,0.0132,0.0132
13.11.2023 06:30:03.607 GMT-0800,10.112,10.068,0.0132,0.0009
13.11.2023 06:30:04.478 GMT-0800,10.122,10.068,0.0132,0.0132
13.11.2023 06:30:04.528 GMT-0800,10.112,10.068,0.0009,0.0132
13.11.2023 06:30:04.579 GMT-0800,10.122,10.068,0.0132,0.0132
13.11.2023 06:30:04.676 GMT-0800,10.112,10.068,0.0009,0.0132
13.11.2023 06:30:05.134 GMT-0800,10.092,10.068,0.0009,0.009
13.11.2023 06:30:05.185 GMT-0800,10.092,10.058,0.0132,0.0132
13.11.2023 06:30:05.293 GMT-0800,10.092,10.048,0.0132,0.0132
13.11.2023 06:30:05.770 GMT-0800,10.102,10.048,0.0132,0.0132
13.11.2023 06:30:06.353 GMT-0800,10.082,10.048,0.0009,0.0132
13.11.2023 06:30:06.500 GMT-0800,10.082,10.038,0.0132,0.0132
13.11.2023 06:30:06.551 GMT-0800,10.082,10.048,0.009,0.0009
13.11.2023 06:30:06.681 GMT-0800,10.082,10.068,0.009,0.0009
13.11.2023 06:30:06.731 GMT-0800,10.082,10.058,0.009,0.0009
13.11.2023 06:30:06.782 GMT-0800,10.102,10.068,0.0132,0.0132
13.11.2023 06:30:07.749 GMT-0800,10.102,10.078,0.009,0.0009
13.11.2023 06:30:07.800 GMT-0800,10.112,10.078,0.0132,0.0132
13.11.2023 06:30:08.193 GMT-0800,10.122,10.078,0.0132,0.009
13.11.2023 06:30:08.244 GMT-0800,10.122,10.068,0.0132,0.0132
13.11.2023 06:30:09.092 GMT-0800,10.122,10.078,0.0132,0.0009
13.11.2023 06:30:10.610 GMT-0800,10.132000000000001,10.078,0.0132,0.0132
13.11.2023 06:30:10.919 GMT-0800,10.102,10.078,0.0009,0.0132
13.11.2023 06:30:10.970 GMT-0800,10.122,10.078,0.0132,0.0132
13.11.2023 06:30:11.026 GMT-0800,10.102,10.078,0.0009,0.009
13.11.2023 06:30:11.076 GMT-0800,10.102,10.058,0.0132,0.0132
13.11.2023 06:30:12.400 GMT-0800,10.112,10.058,0.0132,0.0132
13.11.2023 06:30:13.846 GMT-0800,10.112,10.068,0.0132,0.0009
13.11.2023 06:30:14.970 GMT-0800,10.112,10.058,0.0132,0.0132
13.11.2023 06:30:15.132 GMT-0800,10.102,10.068,0.0009,0.0009
13.11.2023 06:30:19.291 GMT-0800,10.092,10.058,0.0132,0.0132
13.11.2023 06:30:19.960 GMT-0800,10.092,10.068,0.0132,0.0009
13.11.2023 06:30:20.085 GMT-0800,10.082,10.068,0.0009,0.009
13.11.2023 06:30:20.136 GMT-0800,10.092,10.058,0.0132,0.0132
13.11.2023 06:30:21.064 GMT-0800,10.102,10.058,0.0132,0.0132
13.11.2023 06:30:21.385 GMT-0800,10.092,10.058,0.0009,0.0132
13.11.2023 06:30:22.516 GMT-0800,10.102,10.058,0.0132,0.0132
13.11.2023 06:30:22.822 GMT-0800,10.092,10.058,0.0009,0.0132
13.11.2023 06:30:24.672 GMT-0800,10.092,10.068,0.009,0.0009
13.11.2023 06:30:24.723 GMT-0800,10.102,10.068,0.0132,0.0132
13.11.2023 06:30:29.039 GMT-0800,10.092,10.068,0.0009,0.0132
13.11.2023 06:30:30.084 GMT-0800,10.092,10.058,0.0132,0.0132
13.11.2023 06:30:30.724 GMT-0800,10.103,10.097999999999999,0.0009,0.009
13.11.2023 06:30:30.774 GMT-0800,10.152000000000001,10.118,0.0132,0.0132
13.11.2023 06:30:30.825 GMT-0800,10.152000000000001,10.128,0.0132,0.009
13.11.2023 06:30:30.876 GMT-0800,10.172,10.128,0.0132,0.0132
13.11.2023 06:30:30.927 GMT-0800,10.142000000000001,10.118,0.0132,0.0132
13.11.2023 06:30:31.028 GMT-0800,10.152000000000001,10.128,0.0132,0.0132
13.11.2023 06:30:31.267 GMT-0800,10.152000000000001,10.118,0.0132,0.0132
13.11.2023 06:30:31.519 GMT-0800,10.162,10.118,0.0132,0.0132
13.11.2023 06:30:31.576 GMT-0800,10.162,10.128,0.009,0.0009
13.11.2023 06:30:31.683 GMT-0800,10.172,10.138,0.0132,0.0132
13.11.2023 06:30:31.912 GMT-0800,10.182,10.138,0.0132,0.0132
13.11.2023 06:30:32.668 GMT-0800,10.172,10.138,0.0009,0.0132
13.11.2023 06:30:32.853 GMT-0800,10.182,10.138,0.0132,0.0132
13.11.2023 06:30:32.934 GMT-0800,10.162,10.138,0.0009,0.0132
13.11.2023 06:30:32.984 GMT-0800,10.162,10.128,0.0132,0.0132
13.11.2023 06:30:33.244 GMT-0800,10.152000000000001,10.128,0.0009,0.0132
13.11.2023 06:30:33.346 GMT-0800,10.142000000000001,10.097999999999999,0.0132,0.0132
13.11.2023 06:30:33.396 GMT-0800,10.132000000000001,10.108,0.0132,0.0132
13.11.2023 06:30:33.447 GMT-0800,10.132000000000001,10.097999999999999,0.0132,0.0132
13.11.2023 06:30:33.570 GMT-0800,10.132000000000001,10.108,0.0132,0.0009
13.11.2023 06:30:34.432 GMT-0800,10.122,10.108,0.0009,0.009
