Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:02.368 GMT-0800,74.953,74.607,0.0132,0.0132
13.11.2023 06:30:02.438 GMT-0800,74.953,74.657,0.0132,0.0009
13.11.2023 06:30:02.541 GMT-0800,74.954,74.676,0.0112,0.0009
13.11.2023 06:30:02.721 GMT-0800,74.953,74.697,0.0112,0.0009
13.11.2023 06:30:02.921 GMT-0800,74.954,74.71600000000001,0.0112,0.0009
13.11.2023 06:30:07.002 GMT-0800,74.903,74.852,0.009,0.0009
13.11.2023 06:30:07.053 GMT-0800,74.904,74.71600000000001,0.009,0.012
13.11.2023 06:30:07.112 GMT-0800,74.973,74.907,0.0132,0.0132
13.11.2023 06:30:07.622 GMT-0800,74.983,74.907,0.0132,0.0132
13.11.2023 06:30:10.092 GMT-0800,74.99300000000001,74.907,0.0132,0.0132
13.11.2023 06:30:11.007 GMT-0800,75.004,74.906,0.0132,0.0132
13.11.2023 06:30:16.261 GMT-0800,75.003,74.897,0.0132,0.0132
13.11.2023 06:30:16.501 GMT-0800,75.003,74.907,0.0132,0.0009
13.11.2023 06:30:17.323 GMT-0800,75.043,74.977,0.0132,0.0009
13.11.2023 06:30:17.832 GMT-0800,75.044,74.976,0.0112,0.0132
13.11.2023 06:30:17.883 GMT-0800,75.044,74.976,0.0112,0.009
13.11.2023 06:30:18.036 GMT-0800,75.02300000000001,74.967,0.0132,0.0132
13.11.2023 06:30:18.354 GMT-0800,75.03399999999999,74.96600000000001,0.0132,0.0132
13.11.2023 06:30:20.177 GMT-0800,75.033,74.937,0.0132,0.0132
13.11.2023 06:30:21.124 GMT-0800,75.033,74.947,0.0132,0.0009
13.11.2023 06:30:22.562 GMT-0800,75.033,74.937,0.0132,0.0132
13.11.2023 06:30:22.766 GMT-0800,75.033,74.957,0.0112,0.0009
13.11.2023 06:30:22.817 GMT-0800,75.053,74.957,0.0132,0.0132
13.11.2023 06:30:24.527 GMT-0800,75.054,74.956,0.0112,0.0132
