Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:02.829 GMT-0800,447.343,446.637,0.0012,0.0012
13.11.2023 06:30:02.879 GMT-0800,447.34400000000005,446.456,0.0012,0.0012
13.11.2023 06:30:02.930 GMT-0800,447.343,445.85699999999997,0.0012,0.0012
13.11.2023 06:30:03.006 GMT-0800,447.343,446.077,0.0012,0.0012
13.11.2023 06:30:03.056 GMT-0800,447.384,446.076,0.0012,0.0012
13.11.2023 06:30:03.106 GMT-0800,446.85300000000007,446.077,0.0012,0.0012
13.11.2023 06:30:03.258 GMT-0800,446.85400000000004,446.106,0.0012,0.0012
13.11.2023 06:30:03.727 GMT-0800,446.85300000000007,446.077,0.0012,0.0012
13.11.2023 06:30:05.067 GMT-0800,447.404,446.076,0.0012,0.0012
13.11.2023 06:30:05.178 GMT-0800,446.454,446.076,0.0012,0.0012
13.11.2023 06:30:05.229 GMT-0800,446.473,446.077,0.0012,0.0012
13.11.2023 06:30:05.674 GMT-0800,447.394,446.076,0.0012,0.0012
13.11.2023 06:30:05.790 GMT-0800,447.244,446.076,0.0012,0.0012
13.11.2023 06:30:08.393 GMT-0800,447.10300000000007,446.077,0.0012,0.0012
13.11.2023 06:30:08.518 GMT-0800,446.55400000000003,446.076,0.0012,0.0012
13.11.2023 06:30:08.622 GMT-0800,447.244,446.306,0.0012,0.0012
13.11.2023 06:30:08.673 GMT-0800,447.24300000000005,446.077,0.0012,0.0012
13.11.2023 06:30:08.913 GMT-0800,447.244,446.256,0.0012,0.0012
13.11.2023 06:30:09.599 GMT-0800,446.783,446.257,0.0012,0.0012
13.11.2023 06:30:10.250 GMT-0800,447.24300000000005,446.507,0.0012,0.0012
13.11.2023 06:30:20.312 GMT-0800,447.06300000000005,446.507,0.0012,0.0012
13.11.2023 06:30:22.653 GMT-0800,447.05400000000003,446.506,0.0012,0.0012
13.11.2023 06:30:22.704 GMT-0800,447.06300000000005,446.507,0.0012,0.0012
13.11.2023 06:30:24.025 GMT-0800,446.79400000000004,446.506,0.0012,0.0012
13.11.2023 06:30:24.076 GMT-0800,446.824,446.44599999999997,0.0012,0.0012
13.11.2023 06:30:24.127 GMT-0800,447.244,446.44599999999997,0.0012,0.0012
13.11.2023 06:30:24.177 GMT-0800,447.033,446.447,0.0012,0.0012
13.11.2023 06:30:29.389 GMT-0800,447.24300000000005,446.077,0.0012,0.0012
13.11.2023 06:30:29.440 GMT-0800,447.24300000000005,445.49699999999996,0.0012,0.0012
13.11.2023 06:30:29.544 GMT-0800,447.024,445.496,0.0012,0.0012
13.11.2023 06:30:31.357 GMT-0800,446.28400000000005,445.496,0.0012,0.0012
13.11.2023 06:30:32.378 GMT-0800,446.083,445.49699999999996,0.0012,0.0012
13.11.2023 06:30:32.429 GMT-0800,446.283,445.48699999999997,0.0012,0.0012
13.11.2023 06:30:32.789 GMT-0800,446.274,445.486,0.0012,0.0012
13.11.2023 06:30:33.802 GMT-0800,445.944,445.486,0.0012,0.0012
13.11.2023 06:30:33.924 GMT-0800,445.944,444.996,0.0012,0.0012
13.11.2023 06:30:34.502 GMT-0800,445.94300000000004,445.10699999999997,0.0012,0.0012
13.11.2023 06:30:34.552 GMT-0800,445.94300000000004,444.99699999999996,0.0012,0.0012
13.11.2023 06:30:34.715 GMT-0800,445.94300000000004,445.10699999999997,0.0012,0.0012
13.11.2023 06:30:36.384 GMT-0800,446.274,445.106,0.0012,0.0012
13.11.2023 06:30:36.435 GMT-0800,446.274,445.13599999999997,0.0012,0.0012
13.11.2023 06:30:36.485 GMT-0800,446.273,444.99699999999996,0.0012,0.0012
13.11.2023 06:30:46.258 GMT-0800,446.273,445.157,0.0012,0.0012
13.11.2023 06:30:52.274 GMT-0800,446.273,444.99699999999996,0.0012,0.0012
13.11.2023 06:30:56.040 GMT-0800,446.274,445.026,0.0012,0.0012
13.11.2023 06:30:58.349 GMT-0800,446.81300000000005,445.74699999999996,0.0012,0.0012
13.11.2023 06:30:58.400 GMT-0800,447.07300000000004,445.74699999999996,0.0012,0.0012
13.11.2023 06:30:58.454 GMT-0800,446.85400000000004,445.746,0.0012,0.0012
13.11.2023 06:31:02.359 GMT-0800,446.274,445.746,0.0012,0.0012
13.11.2023 06:31:02.501 GMT-0800,446.84400000000005,446.036,0.0012,0.0012
13.11.2023 06:31:02.557 GMT-0800,446.843,445.74699999999996,0.0012,0.0012
13.11.2023 06:31:02.685 GMT-0800,446.74300000000005,445.74699999999996,0.0012,0.0012
13.11.2023 06:31:03.414 GMT-0800,447.24300000000005,445.74699999999996,0.0012,0.0012
