Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:00.922 GMT-0800,254.74599999999998,253.44400000000002,0.0132,0.0132
13.11.2023 06:30:01.298 GMT-0800,256.51599999999996,253.44400000000002,0.0132,0.0132
13.11.2023 06:30:01.484 GMT-0800,256.506,253.44400000000002,0.0009,0.0132
13.11.2023 06:30:01.667 GMT-0800,256.51599999999996,253.44400000000002,0.0132,0.0132
13.11.2023 06:30:02.145 GMT-0800,255.376,253.44400000000002,0.0009,0.0112
13.11.2023 06:30:02.246 GMT-0800,255.376,253.44400000000002,0.0009,0.0112
13.11.2023 06:30:02.341 GMT-0800,255.376,253.44400000000002,0.0009,0.0112
13.11.2023 06:30:02.437 GMT-0800,254.706,253.44400000000002,0.0009,0.0112
13.11.2023 06:30:02.488 GMT-0800,255.046,253.44400000000002,0.0009,0.0112
13.11.2023 06:30:02.540 GMT-0800,255.176,253.44400000000002,0.0009,0.0112
13.11.2023 06:30:02.635 GMT-0800,255.176,253.44400000000002,0.0009,0.0112
13.11.2023 06:30:02.758 GMT-0800,255.096,254.24400000000003,0.0132,0.0132
13.11.2023 06:30:02.962 GMT-0800,255.096,254.27400000000003,0.0132,0.0009
13.11.2023 06:30:03.080 GMT-0800,256.056,254.27400000000003,0.009,0.0132
13.11.2023 06:30:03.699 GMT-0800,256.066,254.28400000000002,0.0132,0.0009
13.11.2023 06:30:03.800 GMT-0800,256.056,254.28400000000002,0.0009,0.0132
13.11.2023 06:30:04.163 GMT-0800,255.146,254.28400000000002,0.0009,0.0132
13.11.2023 06:30:05.247 GMT-0800,255.05599999999998,254.28400000000002,0.0009,0.0132
13.11.2023 06:30:05.355 GMT-0800,256.066,254.28400000000002,0.013,0.0132
13.11.2023 06:30:05.480 GMT-0800,256.066,254.28400000000002,0.0132,0.0132
13.11.2023 06:30:05.833 GMT-0800,256.056,254.28400000000002,0.0009,0.0132
13.11.2023 06:30:06.077 GMT-0800,256.066,254.28400000000002,0.0132,0.0132
13.11.2023 06:30:06.681 GMT-0800,256.056,254.28400000000002,0.0009,0.0132
13.11.2023 06:30:06.741 GMT-0800,256.066,254.28400000000002,0.0132,0.0132
13.11.2023 06:30:07.428 GMT-0800,256.056,254.28400000000002,0.0009,0.0132
13.11.2023 06:30:07.646 GMT-0800,256.066,254.28400000000002,0.0132,0.0132
13.11.2023 06:30:08.180 GMT-0800,256.056,254.28400000000002,0.0009,0.0132
13.11.2023 06:30:08.282 GMT-0800,256.066,254.28400000000002,0.0132,0.0132
13.11.2023 06:30:08.651 GMT-0800,256.066,254.28400000000002,0.0132,0.0112
13.11.2023 06:30:09.560 GMT-0800,256.056,254.43400000000003,0.0009,0.0132
13.11.2023 06:30:09.894 GMT-0800,256.066,254.43400000000003,0.0132,0.0132
13.11.2023 06:30:10.071 GMT-0800,256.066,254.43400000000003,0.0132,0.0112
13.11.2023 06:30:10.195 GMT-0800,255.546,254.41400000000002,0.013,0.0132
13.11.2023 06:30:10.246 GMT-0800,255.546,254.41400000000002,0.0132,0.0132
13.11.2023 06:30:10.365 GMT-0800,256.056,254.41400000000002,0.0132,0.0132
13.11.2023 06:30:10.466 GMT-0800,256.066,254.41400000000002,0.0132,0.0132
13.11.2023 06:30:10.735 GMT-0800,255.476,254.41400000000002,0.0009,0.0132
13.11.2023 06:30:11.537 GMT-0800,255.476,254.41400000000002,0.0132,0.0112
13.11.2023 06:30:12.392 GMT-0800,255.316,254.764,0.0009,0.0132
13.11.2023 06:30:15.159 GMT-0800,255.316,254.41400000000002,0.0132,0.0132
13.11.2023 06:30:17.273 GMT-0800,255.316,254.41400000000002,0.0132,0.0112
13.11.2023 06:30:25.959 GMT-0800,255.576,254.28400000000002,0.0132,0.0132
13.11.2023 06:30:26.010 GMT-0800,254.926,254.014,0.0132,0.0132
13.11.2023 06:30:26.123 GMT-0800,254.926,253.93400000000003,0.0132,0.0132
13.11.2023 06:30:26.225 GMT-0800,254.926,254.014,0.0132,0.0132
13.11.2023 06:30:26.362 GMT-0800,254.926,254.00400000000002,0.0132,0.0132
13.11.2023 06:30:26.817 GMT-0800,254.926,254.014,0.0132,0.0009
13.11.2023 06:30:26.918 GMT-0800,254.926,254.00400000000002,0.0132,0.0132
13.11.2023 06:30:28.222 GMT-0800,254.926,254.00400000000002,0.0132,0.0112
13.11.2023 06:30:41.243 GMT-0800,254.93599999999998,254.37400000000002,0.0132,0.0132
13.11.2023 06:30:41.944 GMT-0800,254.846,254.37400000000002,0.0009,0.0132
13.11.2023 06:30:42.096 GMT-0800,254.93599999999998,254.37400000000002,0.0132,0.0132
13.11.2023 06:30:42.864 GMT-0800,255.846,254.37400000000002,0.0132,0.0132
13.11.2023 06:30:44.589 GMT-0800,255.856,254.37400000000002,0.0132,0.0132
13.11.2023 06:30:45.308 GMT-0800,255.846,254.37400000000002,0.0009,0.0132
13.11.2023 06:30:45.409 GMT-0800,255.856,254.37400000000002,0.0132,0.0132
13.11.2023 06:30:46.085 GMT-0800,255.846,254.37400000000002,0.0009,0.0132
13.11.2023 06:30:46.187 GMT-0800,255.856,254.37400000000002,0.0132,0.0132
13.11.2023 06:30:46.676 GMT-0800,255.846,254.37400000000002,0.0009,0.0132
13.11.2023 06:30:46.845 GMT-0800,255.856,254.37400000000002,0.0132,0.0132
13.11.2023 06:30:47.264 GMT-0800,255.326,254.37400000000002,0.0132,0.0132
13.11.2023 06:30:47.671 GMT-0800,255.326,254.40400000000002,0.0132,0.0009
13.11.2023 06:30:47.784 GMT-0800,255.316,254.40400000000002,0.0009,0.0132
13.11.2023 06:30:47.885 GMT-0800,255.326,254.40400000000002,0.0132,0.0132
13.11.2023 06:30:48.256 GMT-0800,255.316,254.40400000000002,0.0009,0.0132
13.11.2023 06:30:48.658 GMT-0800,255.166,254.40400000000002,0.0009,0.0132
13.11.2023 06:30:49.113 GMT-0800,254.766,254.40400000000002,0.0009,0.009
13.11.2023 06:30:49.164 GMT-0800,254.83599999999998,254.22400000000002,0.0132,0.0132
13.11.2023 06:30:49.559 GMT-0800,255.016,254.22400000000002,0.0132,0.0132
13.11.2023 06:30:50.227 GMT-0800,255.096,254.22400000000002,0.0132,0.0132
13.11.2023 06:30:50.281 GMT-0800,255.08599999999998,254.22400000000002,0.0009,0.0132
13.11.2023 06:30:51.308 GMT-0800,255.016,254.22400000000002,0.0009,0.0132
13.11.2023 06:30:51.659 GMT-0800,255.08599999999998,254.22400000000002,0.0132,0.0132
13.11.2023 06:30:52.412 GMT-0800,255.326,254.22400000000002,0.0132,0.0132
13.11.2023 06:30:53.133 GMT-0800,255.27599999999998,254.22400000000002,0.0009,0.0132
13.11.2023 06:30:53.183 GMT-0800,255.326,254.22400000000002,0.0132,0.0132
13.11.2023 06:30:53.239 GMT-0800,255.316,254.22400000000002,0.0009,0.0132
13.11.2023 06:30:54.129 GMT-0800,255.046,254.22400000000002,0.0009,0.0132
13.11.2023 06:30:54.450 GMT-0800,255.326,254.22400000000002,0.0132,0.0132
13.11.2023 06:30:54.753 GMT-0800,255.326,254.234,0.0132,0.0009
13.11.2023 06:30:57.763 GMT-0800,255.326,254.28400000000002,0.0132,0.0009
13.11.2023 06:31:02.987 GMT-0800,255.05599999999998,254.28400000000002,0.0009,0.0132
13.11.2023 06:31:03.173 GMT-0800,255.05599999999998,254.28400000000002,0.0132,0.0112
13.11.2023 06:31:03.224 GMT-0800,255.05599999999998,254.28400000000002,0.0132,0.0132
13.11.2023 06:31:07.247 GMT-0800,255.046,254.28400000000002,0.0009,0.0132
13.11.2023 06:31:19.174 GMT-0800,255.326,254.28400000000002,0.0132,0.0132
13.11.2023 06:31:19.991 GMT-0800,255.05599999999998,254.28400000000002,0.0009,0.0132
13.11.2023 06:31:28.085 GMT-0800,255.05599999999998,254.30400000000003,0.0132,0.0009
13.11.2023 06:31:28.772 GMT-0800,255.006,254.30400000000003,0.0009,0.0132
13.11.2023 06:31:33.163 GMT-0800,255.326,254.30400000000003,0.013,0.0112
13.11.2023 06:31:33.214 GMT-0800,255.40599999999998,254.74400000000003,0.0132,0.0132
13.11.2023 06:31:33.294 GMT-0800,255.40599999999998,254.74400000000003,0.0132,0.0112
13.11.2023 06:31:33.647 GMT-0800,255.46599999999998,254.83400000000003,0.0132,0.0132
13.11.2023 06:31:35.351 GMT-0800,255.516,254.83400000000003,0.0132,0.0132
13.11.2023 06:31:35.646 GMT-0800,255.856,254.83400000000003,0.0132,0.0132
13.11.2023 06:31:35.697 GMT-0800,255.40599999999998,254.83400000000003,0.0009,0.0132
13.11.2023 06:31:35.851 GMT-0800,255.426,254.83400000000003,0.0132,0.0132
13.11.2023 06:31:36.545 GMT-0800,255.426,254.83400000000003,0.0132,0.0112
13.11.2023 06:31:36.596 GMT-0800,255.846,255.00400000000002,0.009,0.0132
13.11.2023 06:31:36.647 GMT-0800,255.856,254.80400000000003,0.0132,0.0132
13.11.2023 06:31:36.697 GMT-0800,255.856,255.014,0.0132,0.0132
13.11.2023 06:31:37.511 GMT-0800,255.846,255.014,0.0009,0.0132
13.11.2023 06:31:37.727 GMT-0800,255.856,255.014,0.0132,0.0132
13.11.2023 06:31:39.085 GMT-0800,255.846,255.014,0.0009,0.0132
13.11.2023 06:31:39.136 GMT-0800,255.856,255.014,0.0132,0.0132
13.11.2023 06:31:39.701 GMT-0800,255.846,255.014,0.0009,0.0132
13.11.2023 06:31:39.803 GMT-0800,255.856,255.014,0.0132,0.0132
13.11.2023 06:31:40.296 GMT-0800,255.846,255.014,0.0009,0.0132
13.11.2023 06:31:40.447 GMT-0800,255.856,255.014,0.0132,0.0132
13.11.2023 06:31:41.194 GMT-0800,255.846,255.014,0.0009,0.0132
13.11.2023 06:31:41.404 GMT-0800,255.856,255.014,0.0132,0.0132
13.11.2023 06:31:42.520 GMT-0800,255.856,254.96400000000003,0.0132,0.0132
13.11.2023 06:31:43.711 GMT-0800,255.846,254.96400000000003,0.0009,0.0132
13.11.2023 06:31:43.762 GMT-0800,255.856,254.96400000000003,0.0132,0.0132
