Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:16.850 GMT-0800,54.493,54.467,0.012,0.012
13.11.2023 06:30:17.476 GMT-0800,54.503,54.467,0.012,0.012
13.11.2023 06:30:21.179 GMT-0800,54.504,54.476000000000006,0.012,0.012
13.11.2023 06:30:22.975 GMT-0800,54.504,54.456,0.012,0.012
13.11.2023 06:30:23.121 GMT-0800,54.503,54.477,0.012,0.012
13.11.2023 06:30:29.197 GMT-0800,54.493,54.437,0.012,0.012
13.11.2023 06:30:29.248 GMT-0800,54.473000000000006,54.437,0.012,0.012
13.11.2023 06:30:29.400 GMT-0800,54.463,54.417,0.012,0.012
13.11.2023 06:30:29.633 GMT-0800,54.473000000000006,54.417,0.012,0.012
13.11.2023 06:30:29.941 GMT-0800,54.473000000000006,54.437,0.012,0.012
13.11.2023 06:30:29.991 GMT-0800,54.473000000000006,54.427,0.012,0.012
13.11.2023 06:30:30.222 GMT-0800,54.473000000000006,54.437,0.012,0.012
13.11.2023 06:30:30.617 GMT-0800,54.473000000000006,54.427,0.012,0.012
13.11.2023 06:30:30.717 GMT-0800,54.463,54.437,0.012,0.012
13.11.2023 06:30:30.768 GMT-0800,54.473000000000006,54.417,0.012,0.012
13.11.2023 06:30:32.269 GMT-0800,54.463,54.417,0.012,0.012
13.11.2023 06:30:32.320 GMT-0800,54.474,54.416000000000004,0.012,0.012
13.11.2023 06:30:32.371 GMT-0800,54.453,54.417,0.012,0.012
13.11.2023 06:30:33.267 GMT-0800,54.453,54.397,0.012,0.012
13.11.2023 06:30:34.919 GMT-0800,54.424,54.376000000000005,0.012,0.012
13.11.2023 06:30:34.970 GMT-0800,54.434,54.376000000000005,0.012,0.012
13.11.2023 06:30:35.044 GMT-0800,54.454,54.39600000000001,0.012,0.012
13.11.2023 06:30:35.226 GMT-0800,54.423,54.377,0.012,0.012
13.11.2023 06:30:35.327 GMT-0800,54.454,54.376000000000005,0.012,0.012
13.11.2023 06:30:35.492 GMT-0800,54.453,54.397,0.012,0.012
13.11.2023 06:30:35.634 GMT-0800,54.433,54.377,0.012,0.012
13.11.2023 06:30:35.855 GMT-0800,54.413999999999994,54.376000000000005,0.012,0.012
13.11.2023 06:30:35.905 GMT-0800,54.434,54.376000000000005,0.012,0.012
13.11.2023 06:30:35.961 GMT-0800,54.403000000000006,54.347,0.012,0.012
13.11.2023 06:30:36.011 GMT-0800,54.433,54.367,0.012,0.012
13.11.2023 06:30:36.071 GMT-0800,54.434,54.386,0.012,0.012
13.11.2023 06:30:36.122 GMT-0800,54.433,54.367,0.012,0.012
13.11.2023 06:30:36.172 GMT-0800,54.413000000000004,54.377,0.012,0.012
13.11.2023 06:30:36.223 GMT-0800,54.413000000000004,54.367,0.012,0.012
13.11.2023 06:30:36.274 GMT-0800,54.403000000000006,54.367,0.012,0.012
13.11.2023 06:30:36.324 GMT-0800,54.413999999999994,54.346000000000004,0.012,0.012
13.11.2023 06:30:37.941 GMT-0800,54.413000000000004,54.367,0.012,0.012
13.11.2023 06:30:37.991 GMT-0800,54.413999999999994,54.346000000000004,0.012,0.012
13.11.2023 06:30:39.946 GMT-0800,54.413999999999994,54.376000000000005,0.012,0.012
13.11.2023 06:30:40.059 GMT-0800,54.413000000000004,54.367,0.012,0.012
13.11.2023 06:30:40.896 GMT-0800,54.433,54.367,0.012,0.012
13.11.2023 06:30:40.997 GMT-0800,54.434,54.39600000000001,0.012,0.012
13.11.2023 06:30:41.173 GMT-0800,54.434,54.406000000000006,0.012,0.012
13.11.2023 06:30:41.555 GMT-0800,54.434,54.386,0.012,0.012
