Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:00.339 GMT-0800,124.204,123.796,0.0132,0.0132
13.11.2023 06:30:01.206 GMT-0800,124.20299999999999,123.79700000000001,0.0132,0.0112
13.11.2023 06:30:01.389 GMT-0800,124.054,123.83600000000001,0.0009,0.0132
13.11.2023 06:30:01.676 GMT-0800,123.954,123.83600000000001,0.0009,0.009
13.11.2023 06:30:01.773 GMT-0800,124.054,123.83600000000001,0.0132,0.009
13.11.2023 06:30:01.824 GMT-0800,124.053,123.69700000000002,0.0132,0.0132
13.11.2023 06:30:01.989 GMT-0800,124.04299999999999,123.69700000000002,0.0009,0.0112
13.11.2023 06:30:02.311 GMT-0800,124.024,123.706,0.0132,0.0132
13.11.2023 06:30:02.528 GMT-0800,124.003,123.70700000000001,0.0009,0.009
13.11.2023 06:30:02.579 GMT-0800,124.003,123.647,0.0132,0.0132
13.11.2023 06:30:02.922 GMT-0800,124.003,123.647,0.009,0.0112
13.11.2023 06:30:03.413 GMT-0800,124.044,123.72600000000001,0.0132,0.0132
13.11.2023 06:30:05.079 GMT-0800,123.864,123.72600000000001,0.0009,0.0132
13.11.2023 06:30:05.823 GMT-0800,123.864,123.566,0.0132,0.0132
13.11.2023 06:30:06.191 GMT-0800,123.864,123.566,0.009,0.0112
13.11.2023 06:30:06.241 GMT-0800,123.864,123.566,0.009,0.0132
13.11.2023 06:30:06.293 GMT-0800,124.044,123.566,0.0132,0.0132
13.11.2023 06:30:06.831 GMT-0800,124.024,123.566,0.0009,0.0132
13.11.2023 06:30:07.869 GMT-0800,123.964,123.566,0.0009,0.0132
13.11.2023 06:30:08.047 GMT-0800,123.954,123.566,0.0132,0.0132
13.11.2023 06:30:08.267 GMT-0800,123.974,123.566,0.0132,0.0132
13.11.2023 06:30:08.368 GMT-0800,124.044,123.566,0.0132,0.0132
13.11.2023 06:30:09.132 GMT-0800,123.854,123.566,0.0009,0.0132
13.11.2023 06:30:10.546 GMT-0800,123.834,123.566,0.0009,0.0132
13.11.2023 06:30:10.597 GMT-0800,123.834,123.546,0.0132,0.0132
13.11.2023 06:30:11.038 GMT-0800,123.834,123.52600000000001,0.0132,0.0132
13.11.2023 06:30:11.450 GMT-0800,123.79299999999999,123.52700000000002,0.0009,0.0132
13.11.2023 06:30:12.182 GMT-0800,123.79299999999999,123.52700000000002,0.0132,0.0112
13.11.2023 06:30:12.588 GMT-0800,123.833,123.54700000000001,0.0132,0.0132
13.11.2023 06:30:12.639 GMT-0800,123.773,123.54700000000001,0.0009,0.0132
13.11.2023 06:30:13.175 GMT-0800,123.68299999999999,123.54700000000001,0.0009,0.0132
13.11.2023 06:30:13.276 GMT-0800,123.673,123.54700000000001,0.0132,0.0132
13.11.2023 06:30:13.327 GMT-0800,123.684,123.546,0.0132,0.0132
13.11.2023 06:30:13.410 GMT-0800,123.673,123.54700000000001,0.0009,0.0132
13.11.2023 06:30:13.955 GMT-0800,123.68299999999999,123.54700000000001,0.0132,0.0132
13.11.2023 06:30:14.117 GMT-0800,123.673,123.54700000000001,0.0009,0.0132
13.11.2023 06:30:14.222 GMT-0800,123.68299999999999,123.54700000000001,0.0132,0.0132
13.11.2023 06:30:14.539 GMT-0800,123.604,123.546,0.0009,0.009
13.11.2023 06:30:14.590 GMT-0800,123.67399999999999,123.52600000000001,0.0132,0.0132
13.11.2023 06:30:17.311 GMT-0800,123.67399999999999,123.52600000000001,0.0132,0.0112
13.11.2023 06:30:17.423 GMT-0800,123.673,123.55700000000002,0.0132,0.0112
13.11.2023 06:30:17.588 GMT-0800,123.67399999999999,123.57600000000001,0.0132,0.0112
13.11.2023 06:30:18.009 GMT-0800,123.67399999999999,123.596,0.0132,0.0112
13.11.2023 06:30:18.637 GMT-0800,123.643,123.61200000000001,0.0009,0.009
13.11.2023 06:30:18.689 GMT-0800,123.673,123.51700000000001,0.0132,0.0132
13.11.2023 06:30:20.891 GMT-0800,123.673,123.51700000000001,0.0132,0.0112
13.11.2023 06:30:22.245 GMT-0800,123.654,123.52600000000001,0.0009,0.009
13.11.2023 06:30:22.296 GMT-0800,123.654,123.516,0.0132,0.0132
13.11.2023 06:30:22.624 GMT-0800,123.65299999999999,123.51700000000001,0.0132,0.0112
13.11.2023 06:30:23.296 GMT-0800,123.673,123.52700000000002,0.0132,0.0132
13.11.2023 06:30:23.858 GMT-0800,123.834,123.52600000000001,0.0132,0.0132
13.11.2023 06:30:24.512 GMT-0800,123.814,123.52600000000001,0.0009,0.0132
13.11.2023 06:30:24.563 GMT-0800,123.864,123.52600000000001,0.0132,0.0132
13.11.2023 06:30:24.615 GMT-0800,123.853,123.52700000000002,0.0009,0.0132
13.11.2023 06:30:24.782 GMT-0800,123.813,123.52700000000002,0.0009,0.0132
13.11.2023 06:30:25.268 GMT-0800,123.833,123.52700000000002,0.0132,0.0132
13.11.2023 06:30:25.319 GMT-0800,123.824,123.52600000000001,0.0132,0.0132
13.11.2023 06:30:25.420 GMT-0800,123.804,123.52600000000001,0.0132,0.0132
13.11.2023 06:30:26.419 GMT-0800,123.824,123.52600000000001,0.0132,0.0132
