Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:02.859 GMT-0800,213.033,212.417,0.0009,0.1
13.11.2023 06:30:03.840 GMT-0800,212.764,212.416,0.0009,0.09
13.11.2023 06:30:03.891 GMT-0800,213.03400000000002,212.416,0.0009,0.09
13.11.2023 06:30:04.991 GMT-0800,212.75400000000002,211.99599999999998,0.0009,0.12
13.11.2023 06:30:05.355 GMT-0800,212.753,211.997,0.0009,0.1
13.11.2023 06:30:05.862 GMT-0800,212.75400000000002,211.99599999999998,0.12,0.12
13.11.2023 06:30:06.092 GMT-0800,212.75400000000002,211.99599999999998,0.12,0.1
13.11.2023 06:30:06.143 GMT-0800,212.75400000000002,211.99599999999998,0.12,0.12
13.11.2023 06:30:06.741 GMT-0800,212.753,211.997,0.12,0.1
13.11.2023 06:30:06.896 GMT-0800,212.753,211.997,0.12,0.12
13.11.2023 06:30:06.997 GMT-0800,212.75400000000002,211.99599999999998,0.12,0.1
13.11.2023 06:30:07.667 GMT-0800,212.75400000000002,212.006,0.12,0.1
13.11.2023 06:30:07.897 GMT-0800,212.753,212.007,0.12,0.12
13.11.2023 06:30:08.355 GMT-0800,212.75400000000002,212.006,0.12,0.1
13.11.2023 06:30:08.456 GMT-0800,212.753,212.007,0.12,0.12
13.11.2023 06:30:08.644 GMT-0800,212.753,211.997,0.12,0.12
13.11.2023 06:30:09.163 GMT-0800,212.75400000000002,211.99599999999998,0.12,0.1
13.11.2023 06:30:09.874 GMT-0800,212.75400000000002,212.046,0.12,0.1
13.11.2023 06:30:09.975 GMT-0800,212.75400000000002,212.046,0.12,0.12
13.11.2023 06:30:10.034 GMT-0800,212.75400000000002,212.046,0.12,0.1
13.11.2023 06:30:11.058 GMT-0800,212.623,212.327,0.0009,0.12
13.11.2023 06:30:11.487 GMT-0800,213.104,212.416,0.12,0.12
13.11.2023 06:30:11.697 GMT-0800,213.19299999999998,212.417,0.12,0.12
13.11.2023 06:30:14.319 GMT-0800,213.044,212.416,0.0009,0.12
13.11.2023 06:30:16.400 GMT-0800,213.044,212.416,0.12,0.1
13.11.2023 06:30:19.104 GMT-0800,213.153,212.67700000000002,0.0009,0.09
13.11.2023 06:30:19.154 GMT-0800,213.153,212.64700000000002,0.12,0.12
13.11.2023 06:30:19.205 GMT-0800,213.014,212.646,0.0009,0.12
13.11.2023 06:30:19.462 GMT-0800,213.153,212.64700000000002,0.12,0.12
13.11.2023 06:30:19.529 GMT-0800,212.903,212.64700000000002,0.0009,0.09
13.11.2023 06:30:19.581 GMT-0800,212.88400000000001,212.27599999999998,0.12,0.12
13.11.2023 06:30:22.872 GMT-0800,213.15400000000002,212.27599999999998,0.12,0.12
13.11.2023 06:30:26.812 GMT-0800,212.843,212.27700000000002,0.0009,0.12
13.11.2023 06:30:26.863 GMT-0800,213.15400000000002,212.27599999999998,0.12,0.12
13.11.2023 06:30:45.357 GMT-0800,213.18400000000003,212.27599999999998,0.12,0.12
13.11.2023 06:30:47.424 GMT-0800,213.18400000000003,212.27599999999998,0.12,0.1
13.11.2023 06:31:13.897 GMT-0800,212.663,212.407,0.0009,0.12
13.11.2023 06:31:13.948 GMT-0800,213.174,212.40599999999998,0.12,0.12
13.11.2023 06:31:13.998 GMT-0800,212.65400000000002,212.40599999999998,0.12,0.12
13.11.2023 06:31:14.130 GMT-0800,212.53400000000002,212.27599999999998,0.12,0.12
13.11.2023 06:31:14.269 GMT-0800,212.595,212.27700000000002,0.09,0.1
13.11.2023 06:31:14.319 GMT-0800,213.16400000000002,212.40599999999998,0.12,0.12
13.11.2023 06:31:14.411 GMT-0800,212.704,212.40599999999998,0.0009,0.12
13.11.2023 06:31:15.654 GMT-0800,212.704,212.27599999999998,0.12,0.12
13.11.2023 06:31:41.708 GMT-0800,212.66400000000002,212.27599999999998,0.0009,0.12
13.11.2023 06:31:41.759 GMT-0800,212.703,212.27700000000002,0.12,0.12
13.11.2023 06:31:46.824 GMT-0800,212.703,212.27700000000002,0.12,0.1
13.11.2023 06:31:47.153 GMT-0800,212.703,212.42700000000002,0.09,0.1
13.11.2023 06:31:47.204 GMT-0800,212.893,212.42700000000002,0.12,0.12
13.11.2023 06:31:48.175 GMT-0800,212.86400000000003,212.426,0.0009,0.12
13.11.2023 06:31:51.552 GMT-0800,213.033,212.42700000000002,0.12,0.12
13.11.2023 06:32:08.051 GMT-0800,212.94400000000002,212.426,0.0009,0.12
13.11.2023 06:32:21.366 GMT-0800,212.783,212.42700000000002,0.0009,0.12
13.11.2023 06:32:21.417 GMT-0800,212.94299999999998,212.42700000000002,0.12,0.12
13.11.2023 06:32:24.037 GMT-0800,213.03400000000002,212.426,0.12,0.12
13.11.2023 06:32:24.201 GMT-0800,213.033,212.42700000000002,0.12,0.1
13.11.2023 06:32:24.810 GMT-0800,213.033,212.42700000000002,0.12,0.12
13.11.2023 06:32:25.036 GMT-0800,213.033,212.42700000000002,0.12,0.1
13.11.2023 06:32:27.285 GMT-0800,213.033,212.437,0.12,0.1
13.11.2023 06:32:27.390 GMT-0800,213.033,212.42700000000002,0.12,0.12
13.11.2023 06:32:27.441 GMT-0800,213.03400000000002,212.43599999999998,0.12,0.12
13.11.2023 06:32:27.592 GMT-0800,213.033,212.437,0.12,0.1
13.11.2023 06:32:27.757 GMT-0800,213.033,212.437,0.12,0.12
13.11.2023 06:32:32.643 GMT-0800,213.03400000000002,212.426,0.12,0.12
13.11.2023 06:32:32.745 GMT-0800,213.03400000000002,212.426,0.12,0.1
13.11.2023 06:32:32.994 GMT-0800,213.033,212.42700000000002,0.12,0.12
13.11.2023 06:32:33.622 GMT-0800,213.03400000000002,212.426,0.12,0.1
13.11.2023 06:32:39.807 GMT-0800,213.03400000000002,212.43599999999998,0.12,0.1
13.11.2023 06:32:42.869 GMT-0800,213.03400000000002,212.43599999999998,0.12,0.12
13.11.2023 06:32:44.716 GMT-0800,213.033,212.437,0.12,0.1
13.11.2023 06:32:47.148 GMT-0800,213.03400000000002,212.576,0.09,0.1
13.11.2023 06:32:47.199 GMT-0800,213.19299999999998,212.437,0.12,0.12
13.11.2023 06:32:56.506 GMT-0800,213.19299999999998,212.437,0.12,0.1
13.11.2023 06:32:59.450 GMT-0800,213.19400000000002,212.446,0.12,0.1
13.11.2023 06:33:05.953 GMT-0800,213.19400000000002,212.846,0.12,0.1
13.11.2023 06:33:06.161 GMT-0800,213.328,212.857,0.09,0.1
13.11.2023 06:33:09.799 GMT-0800,213.514,213.11599999999999,0.12,0.09
13.11.2023 06:33:21.078 GMT-0800,214.24400000000003,213.30599999999998,0.12,0.12
13.11.2023 06:33:22.296 GMT-0800,214.243,213.29700000000003,0.12,0.12
13.11.2023 06:33:22.447 GMT-0800,214.243,213.29700000000003,0.12,0.1
13.11.2023 06:33:22.886 GMT-0800,214.24400000000003,213.296,0.12,0.12
13.11.2023 06:33:26.762 GMT-0800,214.24400000000003,213.346,0.12,0.1
13.11.2023 06:33:26.813 GMT-0800,214.243,213.387,0.12,0.12
13.11.2023 06:33:29.702 GMT-0800,214.243,213.387,0.12,0.1
13.11.2023 06:33:29.970 GMT-0800,213.803,213.54700000000003,0.0009,0.12
13.11.2023 06:33:32.749 GMT-0800,213.803,213.377,0.12,0.12
13.11.2023 06:33:36.450 GMT-0800,213.74400000000003,213.37599999999998,0.0009,0.12
13.11.2023 06:33:37.876 GMT-0800,213.633,213.377,0.0009,0.12
13.11.2023 06:33:37.926 GMT-0800,213.74400000000003,213.37599999999998,0.09,0.12
13.11.2023 06:33:37.977 GMT-0800,213.80400000000003,213.37599999999998,0.12,0.12
13.11.2023 06:33:40.034 GMT-0800,213.683,213.377,0.0009,0.12
13.11.2023 06:33:41.246 GMT-0800,213.683,213.347,0.12,0.12
13.11.2023 06:33:42.895 GMT-0800,213.683,213.347,0.12,0.1
13.11.2023 06:33:50.957 GMT-0800,213.53400000000002,213.44,0.0009,0.09
13.11.2023 06:33:51.008 GMT-0800,213.63400000000001,213.076,0.12,0.12
13.11.2023 06:33:52.053 GMT-0800,213.633,213.02700000000002,0.12,0.12
13.11.2023 06:33:52.159 GMT-0800,213.58400000000003,213.02599999999998,0.0009,0.12
13.11.2023 06:33:53.060 GMT-0800,213.63400000000001,213.02599999999998,0.12,0.12
13.11.2023 06:33:53.161 GMT-0800,213.573,213.02700000000002,0.0009,0.12
13.11.2023 06:33:53.679 GMT-0800,213.63400000000001,213.02599999999998,0.12,0.12
13.11.2023 06:33:53.770 GMT-0800,213.56400000000002,213.02599999999998,0.0009,0.12
13.11.2023 06:33:54.099 GMT-0800,213.633,213.02700000000002,0.12,0.12
13.11.2023 06:33:54.195 GMT-0800,213.553,213.02700000000002,0.0009,0.12
13.11.2023 06:33:55.051 GMT-0800,213.543,213.02700000000002,0.0009,0.12
13.11.2023 06:33:55.153 GMT-0800,213.633,213.02700000000002,0.12,0.12
13.11.2023 06:33:55.213 GMT-0800,213.544,213.02599999999998,0.0009,0.12
13.11.2023 06:33:56.145 GMT-0800,213.63400000000001,213.02599999999998,0.12,0.12
13.11.2023 06:33:56.242 GMT-0800,213.53400000000002,213.02599999999998,0.0009,0.12
13.11.2023 06:33:58.563 GMT-0800,213.633,213.02700000000002,0.12,0.12
13.11.2023 06:34:02.199 GMT-0800,213.633,213.02700000000002,0.12,0.1
13.11.2023 06:34:02.707 GMT-0800,213.523,213.097,0.0009,0.12
13.11.2023 06:34:03.565 GMT-0800,213.514,213.096,0.0009,0.12
13.11.2023 06:34:03.616 GMT-0800,213.63400000000001,213.096,0.12,0.12
13.11.2023 06:34:04.129 GMT-0800,213.493,213.097,0.0009,0.12
13.11.2023 06:34:04.230 GMT-0800,213.633,213.097,0.12,0.12
13.11.2023 06:34:06.723 GMT-0800,213.44299999999998,213.097,0.0009,0.12
13.11.2023 06:34:07.062 GMT-0800,213.633,213.097,0.12,0.12
13.11.2023 06:34:07.726 GMT-0800,213.423,213.097,0.0009,0.12
13.11.2023 06:34:08.613 GMT-0800,213.413,213.097,0.0009,0.12
13.11.2023 06:34:08.664 GMT-0800,213.63400000000001,213.096,0.12,0.12
13.11.2023 06:34:08.738 GMT-0800,213.403,213.097,0.0009,0.12
13.11.2023 06:34:09.278 GMT-0800,213.633,213.097,0.12,0.12
13.11.2023 06:34:09.329 GMT-0800,213.40400000000002,213.096,0.12,0.12
13.11.2023 06:34:09.509 GMT-0800,213.27400000000003,213.096,0.0009,0.12
13.11.2023 06:34:10.987 GMT-0800,213.63400000000001,213.096,0.12,0.12
13.11.2023 06:34:15.658 GMT-0800,213.373,213.097,0.0009,0.09
13.11.2023 06:34:15.709 GMT-0800,213.37400000000002,213.02599999999998,0.12,0.12
13.11.2023 06:34:15.810 GMT-0800,213.63400000000001,213.02599999999998,0.12,0.12
13.11.2023 06:34:15.926 GMT-0800,213.353,213.02700000000002,0.0009,0.12
13.11.2023 06:34:16.732 GMT-0800,213.363,213.02700000000002,0.12,0.12
13.11.2023 06:34:16.845 GMT-0800,213.333,213.02700000000002,0.0009,0.12
13.11.2023 06:34:16.896 GMT-0800,213.36400000000003,213.02599999999998,0.12,0.12
13.11.2023 06:34:17.861 GMT-0800,213.28400000000002,213.02599999999998,0.12,0.12
13.11.2023 06:34:17.964 GMT-0800,213.363,213.02700000000002,0.12,0.12
13.11.2023 06:34:18.088 GMT-0800,213.28400000000002,213.02599999999998,0.0009,0.12
13.11.2023 06:34:18.228 GMT-0800,213.253,213.02700000000002,0.0009,0.12
13.11.2023 06:34:18.744 GMT-0800,213.283,213.02700000000002,0.12,0.12
13.11.2023 06:34:19.747 GMT-0800,213.363,213.02700000000002,0.12,0.12
13.11.2023 06:34:21.359 GMT-0800,213.204,213.01,0.0009,0.09
13.11.2023 06:34:21.409 GMT-0800,213.204,212.446,0.12,0.12
13.11.2023 06:34:21.772 GMT-0800,213.36400000000003,212.446,0.12,0.12
13.11.2023 06:34:24.561 GMT-0800,213.123,212.447,0.12,0.12
13.11.2023 06:34:25.409 GMT-0800,213.363,212.447,0.12,0.12
13.11.2023 06:34:25.524 GMT-0800,213.113,212.447,0.0009,0.12
13.11.2023 06:34:26.385 GMT-0800,213.103,212.447,0.0009,0.12
13.11.2023 06:34:26.779 GMT-0800,213.363,212.447,0.12,0.12
13.11.2023 06:34:26.830 GMT-0800,213.104,212.446,0.12,0.12
13.11.2023 06:34:27.377 GMT-0800,213.093,212.447,0.0009,0.12
13.11.2023 06:34:27.825 GMT-0800,213.36400000000003,212.446,0.12,0.12
13.11.2023 06:34:27.875 GMT-0800,213.09400000000002,212.446,0.12,0.12
13.11.2023 06:34:28.428 GMT-0800,213.36400000000003,212.446,0.12,0.12
13.11.2023 06:34:28.575 GMT-0800,213.083,212.447,0.0009,0.12
