Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:02.325 GMT-0800,53.38100000000001,53.229,0.0132,0.009
13.11.2023 06:30:02.574 GMT-0800,53.38100000000001,53.259,0.009,0.009
13.11.2023 06:30:43.832 GMT-0800,53.371,53.288999999999994,0.0009,0.0009
13.11.2023 06:30:43.883 GMT-0800,53.362,53.168000000000006,0.0132,0.0132
13.11.2023 06:30:47.413 GMT-0800,53.362,53.218,0.009,0.0009
13.11.2023 06:30:47.515 GMT-0800,53.372,53.238,0.0132,0.0132
13.11.2023 06:30:47.566 GMT-0800,53.372,53.218,0.0132,0.0132
13.11.2023 06:30:47.617 GMT-0800,53.391000000000005,53.239,0.0132,0.0132
13.11.2023 06:30:47.846 GMT-0800,53.401,53.259,0.009,0.0132
13.11.2023 06:30:47.897 GMT-0800,53.432,53.258,0.0132,0.0132
13.11.2023 06:30:48.400 GMT-0800,53.432,53.298,0.0132,0.0009
13.11.2023 06:30:48.556 GMT-0800,53.432,53.308,0.0132,0.0009
13.11.2023 06:30:48.972 GMT-0800,53.431000000000004,53.318999999999996,0.0132,0.0009
13.11.2023 06:30:50.225 GMT-0800,53.431000000000004,53.329,0.0132,0.0009
13.11.2023 06:30:51.279 GMT-0800,53.432,53.318000000000005,0.0132,0.0132
13.11.2023 06:30:52.221 GMT-0800,53.411,53.318999999999996,0.0009,0.009
13.11.2023 06:30:52.272 GMT-0800,53.391999999999996,53.278000000000006,0.0132,0.0132
13.11.2023 06:30:52.322 GMT-0800,53.331,53.288999999999994,0.0009,0.009
13.11.2023 06:30:52.373 GMT-0800,53.371,53.259,0.0132,0.0132
13.11.2023 06:30:52.424 GMT-0800,53.352,53.258,0.0132,0.0132
13.11.2023 06:30:52.545 GMT-0800,53.342,53.258,0.0132,0.0132
13.11.2023 06:30:52.646 GMT-0800,53.302,53.258,0.0132,0.0132
13.11.2023 06:30:52.822 GMT-0800,53.302,53.248000000000005,0.0132,0.0132
13.11.2023 06:30:52.987 GMT-0800,53.302,53.238,0.0132,0.0132
13.11.2023 06:30:56.071 GMT-0800,53.301,53.259,0.0132,0.0132
13.11.2023 06:30:56.122 GMT-0800,53.302,53.238,0.0132,0.0132
13.11.2023 06:30:57.433 GMT-0800,53.301,53.248999999999995,0.0132,0.0009
13.11.2023 06:30:57.708 GMT-0800,53.302,53.278000000000006,0.009,0.0009
