Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:02.917 GMT-0800,22.814,22.676,0.0132,0.0132
13.11.2023 06:30:03.006 GMT-0800,22.763,22.677,0.0009,0.0132
13.11.2023 06:30:06.383 GMT-0800,22.744,22.676,0.0009,0.0132
13.11.2023 06:30:06.434 GMT-0800,22.764000000000003,22.676,0.0132,0.0132
13.11.2023 06:30:06.903 GMT-0800,22.713,22.677,0.0009,0.009
13.11.2023 06:30:06.954 GMT-0800,22.763,22.677,0.0132,0.0112
13.11.2023 06:30:08.482 GMT-0800,22.764000000000003,22.695999999999998,0.009,0.0112
13.11.2023 06:30:08.532 GMT-0800,22.814,22.746,0.0132,0.0132
13.11.2023 06:30:09.012 GMT-0800,22.823000000000004,22.747,0.0132,0.0132
13.11.2023 06:30:11.782 GMT-0800,22.814,22.746,0.0009,0.009
13.11.2023 06:30:11.884 GMT-0800,22.783,22.717,0.0132,0.0132
13.11.2023 06:30:13.155 GMT-0800,22.863000000000003,22.727,0.0132,0.0132
13.11.2023 06:30:13.276 GMT-0800,22.863000000000003,22.717,0.0132,0.0132
13.11.2023 06:30:14.581 GMT-0800,22.863000000000003,22.717,0.0132,0.0112
13.11.2023 06:30:15.631 GMT-0800,22.863000000000003,22.767,0.0132,0.0112
13.11.2023 06:30:21.172 GMT-0800,22.863000000000003,22.767,0.0132,0.0132
13.11.2023 06:30:21.275 GMT-0800,22.863000000000003,22.767,0.0132,0.0112
13.11.2023 06:30:25.876 GMT-0800,22.863000000000003,22.817,0.0132,0.0112
13.11.2023 06:30:26.142 GMT-0800,22.853,22.845,0.0009,0.009
13.11.2023 06:30:26.193 GMT-0800,22.863000000000003,22.837,0.0132,0.0132
13.11.2023 06:30:28.647 GMT-0800,22.863000000000003,22.837,0.009,0.0112
13.11.2023 06:30:28.698 GMT-0800,22.893,22.846999999999998,0.0132,0.0132
13.11.2023 06:30:39.082 GMT-0800,22.873,22.846999999999998,0.0009,0.0132
13.11.2023 06:30:39.133 GMT-0800,22.894000000000002,22.716,0.0132,0.0132
13.11.2023 06:30:39.184 GMT-0800,22.894000000000002,22.736,0.0132,0.0132
13.11.2023 06:30:39.933 GMT-0800,22.893,22.737,0.0132,0.0112
13.11.2023 06:30:40.034 GMT-0800,22.854000000000003,22.736,0.0132,0.0132
13.11.2023 06:30:40.135 GMT-0800,22.893,22.737,0.0132,0.0132
13.11.2023 06:30:40.616 GMT-0800,22.874000000000002,22.736,0.0009,0.0112
13.11.2023 06:30:40.667 GMT-0800,22.893,22.747,0.0132,0.009
13.11.2023 06:30:41.903 GMT-0800,22.894000000000002,22.736,0.0132,0.0132
13.11.2023 06:30:42.484 GMT-0800,22.893,22.737,0.0132,0.0112
13.11.2023 06:30:42.721 GMT-0800,22.893,22.737,0.0132,0.0132
13.11.2023 06:30:43.864 GMT-0800,22.894000000000002,22.736,0.0132,0.0112
13.11.2023 06:30:43.972 GMT-0800,22.893,22.737,0.0132,0.0132
13.11.2023 06:30:47.013 GMT-0800,22.894000000000002,22.736,0.0132,0.0112
13.11.2023 06:30:47.114 GMT-0800,22.893,22.737,0.0132,0.0132
13.11.2023 06:30:50.664 GMT-0800,22.893,22.737,0.0132,0.0112
13.11.2023 06:30:50.920 GMT-0800,22.893,22.737,0.0132,0.0132
