Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:01.390 GMT-0800,172.303,169.067,0.0132,0.0132
13.11.2023 06:30:02.270 GMT-0800,171.91299999999998,169.067,0.0009,0.0132
13.11.2023 06:30:07.570 GMT-0800,172.303,169.067,0.0132,0.0132
13.11.2023 06:30:08.102 GMT-0800,171.803,169.067,0.0009,0.0132
13.11.2023 06:30:10.382 GMT-0800,171.103,169.067,0.0009,0.009
13.11.2023 06:30:10.433 GMT-0800,171.103,168.637,0.0132,0.0132
13.11.2023 06:30:10.484 GMT-0800,171.103,169.197,0.0132,0.0132
13.11.2023 06:30:13.300 GMT-0800,170.073,169.197,0.0009,0.0132
13.11.2023 06:30:16.147 GMT-0800,170.073,169.187,0.0132,0.0132
13.11.2023 06:30:27.649 GMT-0800,170.073,169.357,0.0132,0.0009
13.11.2023 06:30:42.095 GMT-0800,170.073,169.347,0.0132,0.0132
13.11.2023 06:30:52.824 GMT-0800,170.073,169.357,0.0132,0.0009
13.11.2023 06:30:57.153 GMT-0800,170.073,169.347,0.0132,0.0132
13.11.2023 06:31:44.276 GMT-0800,170.073,169.377,0.0132,0.0009
13.11.2023 06:32:37.077 GMT-0800,170.073,169.36700000000002,0.0132,0.0132
13.11.2023 06:32:39.351 GMT-0800,170.073,169.377,0.0132,0.0009
13.11.2023 06:32:40.230 GMT-0800,170.073,169.36700000000002,0.0132,0.0132
13.11.2023 06:32:40.339 GMT-0800,170.073,169.377,0.0132,0.0009
13.11.2023 06:32:40.586 GMT-0800,170.073,169.36700000000002,0.0132,0.0132
13.11.2023 06:32:45.120 GMT-0800,170.198,169.847,0.009,0.0009
13.11.2023 06:32:45.171 GMT-0800,170.953,169.36700000000002,0.0009,0.0132
13.11.2023 06:32:45.654 GMT-0800,170.953,169.51700000000002,0.0132,0.0009
13.11.2023 06:32:50.798 GMT-0800,170.953,169.507,0.0132,0.0132
13.11.2023 06:32:56.079 GMT-0800,170.953,170.33700000000002,0.009,0.0009
13.11.2023 06:32:56.129 GMT-0800,170.833,169.787,0.0132,0.0009
13.11.2023 06:32:56.298 GMT-0800,171.503,169.787,0.0132,0.0132
13.11.2023 06:32:56.535 GMT-0800,171.873,169.787,0.0132,0.0132
13.11.2023 06:32:56.586 GMT-0800,171.613,169.787,0.0009,0.0132
13.11.2023 06:32:56.748 GMT-0800,171.003,169.787,0.0009,0.0132
13.11.2023 06:32:58.225 GMT-0800,171.003,169.77700000000002,0.0132,0.0132
13.11.2023 06:33:01.156 GMT-0800,171.673,169.77700000000002,0.0132,0.0132
13.11.2023 06:33:07.589 GMT-0800,171.023,169.77700000000002,0.0009,0.0132
13.11.2023 06:33:12.054 GMT-0800,171.673,169.77700000000002,0.0132,0.0132
13.11.2023 06:33:12.213 GMT-0800,171.023,169.77700000000002,0.0132,0.0132
13.11.2023 06:33:20.133 GMT-0800,171.673,169.77700000000002,0.0132,0.0132
13.11.2023 06:33:20.183 GMT-0800,171.003,169.77700000000002,0.0009,0.0132
13.11.2023 06:33:21.634 GMT-0800,171.023,169.77700000000002,0.0132,0.0132
13.11.2023 06:33:51.540 GMT-0800,171.673,169.77700000000002,0.0132,0.0132
13.11.2023 06:34:07.280 GMT-0800,170.793,169.77700000000002,0.0009,0.0132
13.11.2023 06:34:07.331 GMT-0800,171.673,169.77700000000002,0.0132,0.0132
13.11.2023 06:34:07.382 GMT-0800,171.453,169.77700000000002,0.0009,0.0132
13.11.2023 06:34:11.025 GMT-0800,171.463,169.77700000000002,0.0132,0.0132
13.11.2023 06:35:10.287 GMT-0800,171.463,169.76700000000002,0.0132,0.0132
13.11.2023 06:35:26.996 GMT-0800,171.453,169.76700000000002,0.0009,0.0132
13.11.2023 06:35:31.136 GMT-0800,171.453,169.877,0.0132,0.0009
13.11.2023 06:35:31.452 GMT-0800,171.463,169.877,0.0132,0.0132
13.11.2023 06:35:34.581 GMT-0800,171.463,169.997,0.0132,0.0009
13.11.2023 06:35:48.696 GMT-0800,170.843,169.997,0.0009,0.0132
13.11.2023 06:36:05.947 GMT-0800,171.463,169.997,0.0132,0.0132
13.11.2023 06:36:05.998 GMT-0800,171.44299999999998,169.997,0.0009,0.0132
13.11.2023 06:36:07.366 GMT-0800,170.41,169.997,0.0009,0.009
13.11.2023 06:36:07.417 GMT-0800,170.323,169.877,0.0132,0.0132
13.11.2023 06:36:11.474 GMT-0800,170.123,169.877,0.0009,0.009
13.11.2023 06:36:11.525 GMT-0800,170.123,169.507,0.0132,0.0132
13.11.2023 06:36:11.576 GMT-0800,170.213,169.507,0.0132,0.0132
13.11.2023 06:36:11.712 GMT-0800,170.213,169.187,0.0132,0.0132
13.11.2023 06:36:12.044 GMT-0800,170.213,169.387,0.0132,0.0009
13.11.2023 06:36:12.146 GMT-0800,170.083,169.187,0.0132,0.0132
13.11.2023 06:36:27.754 GMT-0800,170.073,169.187,0.0009,0.0132
13.11.2023 06:36:32.896 GMT-0800,170.073,169.387,0.0132,0.0009
13.11.2023 06:36:46.388 GMT-0800,170.073,169.187,0.0132,0.0132
13.11.2023 06:37:02.886 GMT-0800,170.073,169.39700000000002,0.0132,0.0009
13.11.2023 06:37:18.309 GMT-0800,170.073,169.357,0.0132,0.0132
13.11.2023 06:37:18.786 GMT-0800,170.073,169.407,0.0132,0.0009
13.11.2023 06:37:31.821 GMT-0800,170.073,169.357,0.0132,0.0132
13.11.2023 06:38:25.233 GMT-0800,171.313,169.357,0.0132,0.0132
13.11.2023 06:38:25.284 GMT-0800,170.873,169.357,0.0132,0.0132
13.11.2023 06:38:27.758 GMT-0800,170.873,169.407,0.0132,0.0009
13.11.2023 06:38:30.368 GMT-0800,170.873,169.39700000000002,0.0132,0.0132
13.11.2023 06:38:40.221 GMT-0800,169.868,169.39700000000002,0.0009,0.009
13.11.2023 06:38:40.272 GMT-0800,170.873,169.39700000000002,0.012,0.009
13.11.2023 06:38:40.322 GMT-0800,169.383,168.817,0.0132,0.0132
13.11.2023 06:38:40.432 GMT-0800,169.383,168.42700000000002,0.0132,0.0132
13.11.2023 06:38:40.570 GMT-0800,169.373,168.977,0.0132,0.0132
13.11.2023 06:38:40.832 GMT-0800,169.373,168.317,0.0132,0.0132
13.11.2023 06:38:40.883 GMT-0800,169.373,168.327,0.0132,0.0132
13.11.2023 06:38:41.018 GMT-0800,169.383,168.327,0.0132,0.0132
13.11.2023 06:38:41.068 GMT-0800,169.373,168.327,0.0132,0.0132
13.11.2023 06:38:41.527 GMT-0800,169.373,168.667,0.009,0.0009
13.11.2023 06:38:41.578 GMT-0800,169.743,168.667,0.0132,0.0132
13.11.2023 06:38:41.629 GMT-0800,169.743,168.67700000000002,0.0132,0.0132
13.11.2023 06:38:41.770 GMT-0800,169.743,168.667,0.0132,0.0132
13.11.2023 06:38:45.670 GMT-0800,169.743,168.327,0.0132,0.0132
13.11.2023 06:38:46.011 GMT-0800,169.743,168.33700000000002,0.0132,0.0009
13.11.2023 06:38:46.172 GMT-0800,169.743,168.327,0.0132,0.0132
13.11.2023 06:38:46.834 GMT-0800,169.743,168.33700000000002,0.0132,0.0009
13.11.2023 06:38:47.020 GMT-0800,169.743,168.327,0.0132,0.0132
13.11.2023 06:38:50.265 GMT-0800,169.753,168.327,0.0132,0.0132
13.11.2023 06:38:52.803 GMT-0800,169.753,168.33700000000002,0.0132,0.0009
13.11.2023 06:38:53.017 GMT-0800,169.753,168.317,0.0132,0.0132
13.11.2023 06:38:56.086 GMT-0800,169.753,169.257,0.0132,0.0009
13.11.2023 06:38:56.137 GMT-0800,169.753,168.83700000000002,0.0132,0.0132
13.11.2023 06:38:57.807 GMT-0800,169.753,168.847,0.0132,0.0009
13.11.2023 06:38:57.974 GMT-0800,169.753,168.83700000000002,0.0132,0.0132
13.11.2023 06:38:58.662 GMT-0800,169.753,168.827,0.0132,0.0132
13.11.2023 06:38:58.721 GMT-0800,169.753,168.83700000000002,0.0132,0.0009
13.11.2023 06:38:58.872 GMT-0800,169.753,168.827,0.0132,0.0132
13.11.2023 06:39:15.053 GMT-0800,169.753,168.83700000000002,0.0132,0.0009
13.11.2023 06:39:15.284 GMT-0800,169.753,168.827,0.0132,0.0132
13.11.2023 06:39:27.410 GMT-0800,169.753,168.83700000000002,0.0132,0.0009
13.11.2023 06:39:27.511 GMT-0800,169.753,168.827,0.0132,0.0132
13.11.2023 06:39:29.115 GMT-0800,169.753,168.83700000000002,0.0132,0.0009
13.11.2023 06:39:29.319 GMT-0800,169.753,168.827,0.0132,0.0132
13.11.2023 06:39:38.186 GMT-0800,169.753,168.917,0.009,0.0009
13.11.2023 06:39:38.280 GMT-0800,169.853,168.917,0.0132,0.0132
13.11.2023 06:39:39.300 GMT-0800,169.853,168.92700000000002,0.0132,0.0009
13.11.2023 06:39:39.525 GMT-0800,169.853,168.917,0.0132,0.0132
13.11.2023 06:39:39.691 GMT-0800,169.853,168.907,0.0132,0.0132
13.11.2023 06:39:45.231 GMT-0800,169.853,168.917,0.0132,0.0009
13.11.2023 06:39:45.383 GMT-0800,169.853,168.907,0.0132,0.0132
13.11.2023 06:39:47.538 GMT-0800,169.853,168.917,0.0132,0.0009
13.11.2023 06:39:47.589 GMT-0800,169.853,168.907,0.0132,0.0132
13.11.2023 06:39:50.348 GMT-0800,170.733,169.107,0.0132,0.0132
13.11.2023 06:39:50.399 GMT-0800,170.673,169.107,0.0132,0.0132
13.11.2023 06:39:50.450 GMT-0800,170.673,169.097,0.0132,0.0132
13.11.2023 06:39:51.036 GMT-0800,170.353,169.23700000000002,0.0009,0.0009
13.11.2023 06:39:51.532 GMT-0800,170.733,169.23700000000002,0.0132,0.0132
13.11.2023 06:39:52.088 GMT-0800,170.22299999999998,169.23700000000002,0.0009,0.0132
13.11.2023 06:39:52.859 GMT-0800,170.733,169.23700000000002,0.0132,0.0132
13.11.2023 06:39:53.120 GMT-0800,170.573,169.23700000000002,0.0009,0.0132
13.11.2023 06:39:53.813 GMT-0800,170.733,169.23700000000002,0.0132,0.0132
13.11.2023 06:39:54.166 GMT-0800,170.373,169.23700000000002,0.0009,0.0132
13.11.2023 06:39:55.136 GMT-0800,170.733,169.23700000000002,0.0132,0.0132
13.11.2023 06:39:58.873 GMT-0800,170.733,169.097,0.0132,0.0132
13.11.2023 06:40:44.627 GMT-0800,170.733,169.167,0.0132,0.0009
13.11.2023 06:40:48.643 GMT-0800,170.733,169.227,0.0132,0.0009
13.11.2023 06:41:14.198 GMT-0800,169.733,169.227,0.0009,0.0132
13.11.2023 06:41:14.307 GMT-0800,169.513,168.827,0.0132,0.0132
13.11.2023 06:41:14.558 GMT-0800,169.513,168.357,0.0132,0.0132
13.11.2023 06:41:14.885 GMT-0800,169.513,168.86700000000002,0.0132,0.0009
13.11.2023 06:41:18.864 GMT-0800,169.513,168.877,0.0132,0.0009
13.11.2023 06:41:18.965 GMT-0800,169.513,168.86700000000002,0.0132,0.0132
13.11.2023 06:41:19.270 GMT-0800,169.513,168.357,0.0132,0.0132
13.11.2023 06:41:23.612 GMT-0800,169.513,169.047,0.0132,0.0009
13.11.2023 06:41:24.465 GMT-0800,170.733,168.967,0.0132,0.0132
13.11.2023 06:41:24.635 GMT-0800,170.503,169.14700000000002,0.0132,0.0009
