Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:02.113 GMT-0800,51.454,51.346000000000004,0.024,0.024
13.11.2023 06:30:02.164 GMT-0800,51.504,51.43600000000001,0.024,0.024
13.11.2023 06:30:02.214 GMT-0800,51.504,51.416000000000004,0.024,0.024
13.11.2023 06:30:02.265 GMT-0800,51.465,51.415,0.024,0.024
13.11.2023 06:30:02.366 GMT-0800,51.443999999999996,51.426,0.024,0.024
13.11.2023 06:30:02.416 GMT-0800,51.464,51.426,0.024,0.024
13.11.2023 06:30:02.627 GMT-0800,51.464,51.406000000000006,0.024,0.024
13.11.2023 06:30:02.859 GMT-0800,51.455,51.405,0.024,0.024
13.11.2023 06:30:02.960 GMT-0800,51.443999999999996,51.386,0.024,0.024
13.11.2023 06:30:03.012 GMT-0800,51.443999999999996,51.39600000000001,0.024,0.024
13.11.2023 06:30:03.113 GMT-0800,51.403999999999996,51.376000000000005,0.024,0.024
13.11.2023 06:30:03.214 GMT-0800,51.373999999999995,51.306000000000004,0.024,0.024
13.11.2023 06:30:03.264 GMT-0800,51.343999999999994,51.306000000000004,0.024,0.024
13.11.2023 06:30:03.505 GMT-0800,51.324,51.25600000000001,0.024,0.024
13.11.2023 06:30:03.556 GMT-0800,51.305,51.255,0.024,0.024
13.11.2023 06:30:03.638 GMT-0800,51.303999999999995,51.236000000000004,0.024,0.024
13.11.2023 06:30:03.689 GMT-0800,51.333999999999996,51.29600000000001,0.024,0.024
13.11.2023 06:30:04.095 GMT-0800,51.364,51.32600000000001,0.024,0.024
13.11.2023 06:30:04.196 GMT-0800,51.403999999999996,51.346000000000004,0.024,0.024
13.11.2023 06:30:04.349 GMT-0800,51.413999999999994,51.36600000000001,0.024,0.024
13.11.2023 06:30:04.680 GMT-0800,51.443999999999996,51.39600000000001,0.024,0.024
13.11.2023 06:30:04.789 GMT-0800,51.425000000000004,51.375,0.024,0.024
13.11.2023 06:30:05.053 GMT-0800,51.413999999999994,51.376000000000005,0.024,0.024
13.11.2023 06:30:05.103 GMT-0800,51.394,51.346000000000004,0.024,0.024
13.11.2023 06:30:05.182 GMT-0800,51.384,51.336000000000006,0.024,0.024
13.11.2023 06:30:05.291 GMT-0800,51.384,51.346000000000004,0.024,0.024
13.11.2023 06:30:05.341 GMT-0800,51.384,51.336000000000006,0.024,0.024
13.11.2023 06:30:05.497 GMT-0800,51.384,51.346000000000004,0.024,0.024
13.11.2023 06:30:05.547 GMT-0800,51.384,51.336000000000006,0.024,0.024
13.11.2023 06:30:05.973 GMT-0800,51.384,51.346000000000004,0.024,0.024
13.11.2023 06:30:06.035 GMT-0800,51.403999999999996,51.356,0.024,0.024
13.11.2023 06:30:06.184 GMT-0800,51.403999999999996,51.36600000000001,0.024,0.024
13.11.2023 06:30:06.285 GMT-0800,51.384,51.346000000000004,0.024,0.024
13.11.2023 06:30:06.336 GMT-0800,51.384,51.336000000000006,0.024,0.024
13.11.2023 06:30:06.785 GMT-0800,51.373999999999995,51.336000000000006,0.024,0.024
13.11.2023 06:30:07.095 GMT-0800,51.413999999999994,51.36600000000001,0.024,0.024
13.11.2023 06:30:07.148 GMT-0800,51.405,51.355000000000004,0.024,0.024
13.11.2023 06:30:07.670 GMT-0800,51.424,51.376000000000005,0.024,0.024
13.11.2023 06:30:07.795 GMT-0800,51.424,51.386,0.024,0.024
13.11.2023 06:30:07.846 GMT-0800,51.424,51.376000000000005,0.024,0.024
13.11.2023 06:30:07.947 GMT-0800,51.434,51.386,0.024,0.024
13.11.2023 06:30:08.015 GMT-0800,51.434,51.376000000000005,0.024,0.024
13.11.2023 06:30:08.154 GMT-0800,51.434,51.386,0.024,0.024
13.11.2023 06:30:08.205 GMT-0800,51.384,51.336000000000006,0.024,0.024
13.11.2023 06:30:09.058 GMT-0800,51.384,51.316,0.024,0.024
13.11.2023 06:30:09.387 GMT-0800,51.354,51.306000000000004,0.024,0.024
13.11.2023 06:30:09.437 GMT-0800,51.384,51.306000000000004,0.024,0.024
13.11.2023 06:30:09.638 GMT-0800,51.343999999999994,51.306000000000004,0.024,0.024
13.11.2023 06:30:09.789 GMT-0800,51.303999999999995,51.266000000000005,0.024,0.024
13.11.2023 06:30:10.669 GMT-0800,51.314,51.276,0.024,0.024
13.11.2023 06:30:10.919 GMT-0800,51.294,51.25600000000001,0.024,0.024
13.11.2023 06:30:11.486 GMT-0800,51.274,51.236000000000004,0.024,0.024
13.11.2023 06:30:11.636 GMT-0800,51.254,51.21600000000001,0.024,0.024
13.11.2023 06:30:11.771 GMT-0800,51.244,51.21600000000001,0.024,0.024
13.11.2023 06:30:11.846 GMT-0800,51.274,51.236000000000004,0.024,0.024
