Local time,Ask,Bid,AskVolume,BidVolume
13.11.2023 06:30:00.338 GMT-0800,62.118,61.211999999999996,0.024,0.009
13.11.2023 06:30:00.390 GMT-0800,62.118,61.202,0.024,0.024
13.11.2023 06:30:01.108 GMT-0800,62.118,61.202,0.024,0.022
13.11.2023 06:30:01.895 GMT-0800,62.119,61.45100000000001,0.024,0.009
13.11.2023 06:30:01.993 GMT-0800,62.118,61.442,0.024,0.024
13.11.2023 06:30:02.148 GMT-0800,62.118,61.442,0.024,0.022
13.11.2023 06:30:02.341 GMT-0800,62.118,61.632,0.022,0.009
13.11.2023 06:30:02.924 GMT-0800,62.048,61.632,0.009,0.009
13.11.2023 06:30:03.025 GMT-0800,62.048,61.442,0.024,0.024
13.11.2023 06:30:03.077 GMT-0800,62.048,61.452,0.024,0.024
13.11.2023 06:30:03.128 GMT-0800,62.049,61.441,0.024,0.024
13.11.2023 06:30:03.622 GMT-0800,62.048,61.452,0.024,0.009
13.11.2023 06:30:03.769 GMT-0800,62.048,61.442,0.024,0.024
13.11.2023 06:30:04.411 GMT-0800,62.048,61.452,0.024,0.009
13.11.2023 06:30:04.894 GMT-0800,62.048,61.442,0.024,0.024
13.11.2023 06:30:05.130 GMT-0800,62.038000000000004,61.442,0.009,0.022
13.11.2023 06:30:05.234 GMT-0800,62.038000000000004,61.482,0.009,0.009
13.11.2023 06:30:06.174 GMT-0800,62.048,61.482,0.024,0.024
13.11.2023 06:30:06.352 GMT-0800,61.98800000000001,61.482,0.009,0.024
13.11.2023 06:30:06.422 GMT-0800,62.018,61.482,0.009,0.024
13.11.2023 06:30:07.520 GMT-0800,61.998999999999995,61.481,0.009,0.024
13.11.2023 06:30:08.862 GMT-0800,62.059,61.481,0.024,0.024
13.11.2023 06:30:08.913 GMT-0800,61.98800000000001,61.482,0.009,0.024
13.11.2023 06:30:12.649 GMT-0800,61.98800000000001,61.482,0.024,0.022
13.11.2023 06:30:15.016 GMT-0800,62.048,61.582,0.022,0.022
13.11.2023 06:30:15.067 GMT-0800,62.048,61.702,0.024,0.024
13.11.2023 06:30:15.278 GMT-0800,62.049,61.70100000000001,0.009,0.022
13.11.2023 06:30:15.328 GMT-0800,62.058,61.762,0.024,0.024
13.11.2023 06:30:19.572 GMT-0800,62.049,61.761,0.009,0.024
13.11.2023 06:30:20.503 GMT-0800,62.058,61.762,0.024,0.024
13.11.2023 06:30:21.171 GMT-0800,62.048,61.762,0.009,0.024
13.11.2023 06:30:21.322 GMT-0800,62.058,61.762,0.024,0.024
13.11.2023 06:30:21.563 GMT-0800,62.048,61.762,0.009,0.024
13.11.2023 06:30:23.536 GMT-0800,61.928000000000004,61.762,0.009,0.024
13.11.2023 06:30:23.587 GMT-0800,62.048,61.762,0.024,0.024
13.11.2023 06:30:23.823 GMT-0800,62.048,61.492,0.024,0.024
13.11.2023 06:30:23.994 GMT-0800,62.059,61.49100000000001,0.024,0.024
13.11.2023 06:30:24.257 GMT-0800,62.048,61.492,0.009,0.024
13.11.2023 06:30:24.358 GMT-0800,62.058,61.492,0.024,0.024
13.11.2023 06:30:25.071 GMT-0800,62.048,61.492,0.024,0.024
13.11.2023 06:30:25.122 GMT-0800,62.058,61.492,0.024,0.024
13.11.2023 06:30:25.173 GMT-0800,62.048,61.492,0.009,0.024
13.11.2023 06:30:25.223 GMT-0800,62.058,61.492,0.024,0.024
13.11.2023 06:30:25.274 GMT-0800,62.049,61.49100000000001,0.024,0.024
13.11.2023 06:30:25.325 GMT-0800,62.059,61.49100000000001,0.024,0.024
13.11.2023 06:30:25.501 GMT-0800,62.048,61.492,0.009,0.024
13.11.2023 06:30:29.513 GMT-0800,62.048,61.482,0.024,0.024
13.11.2023 06:30:30.499 GMT-0800,62.049,61.49100000000001,0.024,0.009
13.11.2023 06:30:45.316 GMT-0800,62.048,61.482,0.024,0.024
13.11.2023 06:30:48.080 GMT-0800,62.008,61.482,0.009,0.024
13.11.2023 06:30:54.833 GMT-0800,62.058,61.482,0.024,0.024
