ASK,BID,QUANTITY
174.697,173.483,0
174.697,173.473,0
174.713,174.113,0
175.077,174.113,0
175.397,174.113,0
175.227,173.823,0
175.227,173.823,0
174.817,173.833,0
175.227,173.823,0
175.227,173.833,0
175.227,173.823,0
175.227,173.833,0
175.227,173.823,0
175.227,173.833,0
175.227,173.823,0
175.227,173.833,0
175.227,173.833,0
175.227,173.833,0
175.227,173.823,0
175.227,173.833,0
175.227,173.823,0
175.227,173.833,0
175.227,173.833,0
175.227,173.823,0
175.957,173.933,0
175.957,173.993,0
175.937,173.993,0
175.937,174.573,0
175.957,174.573,0
175.957,174.863,0
175.947,174.863,0
175.937,174.863,0
175.927,174.863,0
176.577,174.863,0
176.577,175.133,0
176.577,175.123,0
176.577,175.343,0
176.577,175.123,0
176.577,175.383,0
176.837,175.383,0
177.227,175.383,0
177.227,175.473,0
177.227,175.733,0
176.937,175.733,0
176.937,175.743,0
177.267,175.743,0
177.267,175.733,0
177.367,175.733,0
177.267,175.733,0
177.267,175.763,0
176.957,175.763,0
176.957,175.733,0
176.957,175.763,0
176.957,175.733,0
176.057,175.733,0
176.057,175.383,0
175.747,175.383,0
176.057,174.833,0
176.057,174.563,0
176.057,174.033,0
176.057,174.403,0
176.057,174.313,0
176.057,174.403,0
176.057,174.433,0
176.057,174.713,0
176.247,174.713,0
176.247,174.753,0
176.247,174.713,0
176.017,174.713,0
175.967,174.713,0
175.967,174.333,0
175.967,174.093,0
175.967,174.333,0
175.967,174.023,0
175.967,174.333,0
175.967,174.333,0
175.967,174.713,0
175.857,174.713,0
175.517,174.713,0
175.517,174.613,0
175.237,174.613,0
175.237,174.273,0
175.237,174.283,0
175.097,174.283,0
175.047,174.283,0
175.047,174.293,0
175.097,174.293,0
175.097,174.283,0
175.097,174.313,0
175.097,174.313,0
176.107,175.183,0
176.107,175.193,0
176.107,175.203,0
175.977,174.573,0
175.977,174.853,0
175.987,174.853,0
175.777,174.853,0
175.767,174.853,0
175.767,174.593,0
175.767,174.883,0
175.787,174.883,0
175.767,174.883,0
175.767,174.303,0
175.767,174.913,0
175.817,174.913,0
175.817,174.933,0
175.817,174.973,0
175.967,174.973,0
175.967,174.993,0
175.967,174.993,0
175.967,175.083,0
175.967,174.933,-0.00512401
175.967,175.153,0
175.967,174.933,-0.00512401
175.967,175.173,0
175.967,175.183,0
175.967,174.933,0
175.987,174.933,-0.00512401
175.877,174.933,-0.000349365
175.887,174.933,-0.00512401
175.877,175.143,-0.00349367
175.987,175.143,0
176.067,175.143,0
175.687,175.143,0
175.687,175.313,0
176.047,175.313,0
175.787,175.313,0
175.707,175.313,0
175.537,175.313,0
175.547,175.143,-0.00512405
175.547,174.933,-0.00512401
175.547,174.953,-0.0051241
175.707,174.953,-0.0051241
175.707,175.113,-0.00512407
175.707,175.303,0
175.707,174.953,0
176.117,174.953,0
176.117,175.323,0
176.287,175.323,0
176.427,175.323,0
175.917,175.103,0
175.917,175.023,0
175.917,175.113,-0.00512407
175.917,175.363,0
175.917,175.373,0
175.917,175.403,0
175.917,175.383,0
175.917,175.353,0
175.917,175.403,0
175.917,175.393,0
176.497,175.413,0
176.457,175.413,0
176.457,175.393,0
176.457,175.713,0
175.997,175.103,-0.00512403
175.997,175.293,-0.00512413
175.687,175.293,-0.000349372
176.157,175.293,-0.00512413
176.227,175.293,-0.00512413
176.157,175.293,0
176.157,175.293,0
176.227,175.293,0
176.467,175.293,0
176.337,175.293,0
176.467,175.293,0
176.087,175.293,-0.000349372
176.087,175.303,0
176.087,175.303,0
176.017,175.303,0
176.087,175.303,0
176.087,175.613,0.000349368
175.977,175.613,0.00512406
176.337,175.773,0.00512403
176.337,175.323,0.00512411
176.447,175.743,0.00512405
176.447,175.293,-0.00512413
176.447,175.303,-0.00512402
176.157,175.303,-0.000349365
176.227,175.303,-0.00512402
176.157,175.303,-0.000349365
176.157,175.023,-0.00512412
176.157,175.073,-0.00349366
176.167,175.073,-0.00512404
176.167,175.063,-0.005124
176.167,175.073,-0.00512404
176.087,175.073,0
176.097,175.073,-0.00512404
175.547,175.073,-0.000349366
175.857,174.813,-0.00409412
175.857,174.983,-0.00512409
175.747,174.983,-0.00034937
175.507,174.983,-0.00034937
175.507,174.813,-0.00409412
175.757,174.813,-0.00409412
175.757,175.073,0
175.757,174.813,-0.00409412
175.757,174.813,-0.00409412
175.737,174.813,0
175.757,174.813,0
175.757,175.073,0
175.697,175.073,0
175.697,174.813,-0.00409412
175.437,174.813,-0.000279145
175.437,175.093,0
175.697,175.073,-0.00512404
175.677,175.343,0
175.677,175.253,0
175.677,175.263,0
175.677,175.253,0
175.607,175.253,0
175.607,174.963,-0.005124
175.607,175.413,0
175.677,175.413,0
175.677,175.273,0
175.677,175.443,0
175.857,175.273,0
175.857,175.123,-0.00512411
175.857,175.383,-0.00512408
175.977,175.613,0
175.797,175.613,0
175.797,175.193,-0.00512413
175.797,175.383,0
176.137,175.273,-0.00512404
176.137,175.483,-0.00512408
176.137,175.273,-0.00512404
176.137,175.483,0
176.137,175.493,0
176.537,175.493,0.00512412
176.487,175.793,0.000349372
176.537,175.643,0.00512405
176.477,175.643,0.00512405
176.567,175.653,0.00512409
176.567,175.663,0.000349373
176.627,175.663,0
176.657,175.663,0.00512414
176.657,175.793,0.000349372
176.867,175.793,0.00512412
176.657,175.793,0.00512412
176.657,175.663,0.00512414
176.657,175.933,0.000349364
176.727,175.933,0.005124
176.727,175.973,0.000349366
176.727,175.983,0.000349369
176.677,175.983,0.00512407
176.677,176.023,0.000349371
176.687,176.023,0.0051241
176.677,176.023,0.0051241
176.687,176.023,0.0051241
176.637,176.023,0.0051241
176.367,176.023,0
176.367,175.773,-0.00512403
176.367,175.853,-0.00512409
176.367,175.863,-0.00512413
176.357,175.863,-0.000349373
176.367,175.863,-0.00512413
176.367,175.773,0
176.357,175.773,-0.000349366
176.357,175.253,-0.0051241
176.357,175.653,-0.00512409
176.267,175.653,-0.00034937
176.257,175.653,-0.00034937
176.257,175.193,-0.00512413
176.237,175.193,-0.00512413
176.237,175.193,-0.00512413
176.237,175.583,-0.00512408
175.937,175.583,-0.000349369
175.937,175.193,-0.00512413
175.997,175.193,-0.00512413
175.967,175.193,-0.000349372
175.967,175.193,-0.00512413
175.907,175.193,-0.000349372
175.967,175.193,0
175.967,175.213,0
175.997,175.213,0
175.997,175.193,0
175.997,175.223,0
175.767,175.223,0
175.997,175.223,0
175.997,175.193,-0.00512413
175.997,175.233,0
175.997,175.243,0
175.997,175.193,-0.00512413
175.997,175.243,0
175.847,175.243,0
175.847,174.953,-0.00423496
175.847,174.883,-0.00491812
175.737,174.933,-0.00443011
175.687,174.933,-0.000302053
175.697,174.933,-0.00443011
175.687,174.933,-0.000302053
175.697,174.933,0
175.507,174.933,-0.000302053
175.507,174.963,0
175.507,174.983,0
175.507,174.993,0
175.507,175.003,0
175.507,175.003,0
175.507,175.39,0
175.627,174.823,-0.00550404
175.627,175.253,0
175.847,175.253,0
175.847,175.293,0
175.847,175.303,-0.00512402
175.847,175.313,0
175.717,175.313,0
175.847,175.353,0
175.847,175.363,0
175.847,175.393,0
176.027,175.393,0
176.237,175.393,0
176.237,175.413,0
176.147,175.413,0
176.237,175.413,0
176.237,175.393,0
176.237,175.363,-0.00512399
176.097,175.463,0
176.147,175.463,0
176.097,175.463,0
176.097,175.473,0
176.107,175.473,0
176.107,175.493,0
176.107,175.473,0
176.107,175.463,0
176.107,175.503,0
175.847,175.503,0
