ASK,BID,QUANTITY
45.473,45.047,0
45.474,45.046,0
45.473,45.237,0
45.473,45.237,0
45.424,45.056,0
45.423,45.047,0
45.424,45.056,0
45.423,45.097,0
45.424,45.096,0
45.423,45.107,0
45.424,45.096,0
45.423,45.137,0
45.663,45.227,0
45.423,45.267,0
45.664,45.306,0
45.663,45.277,0
45.664,45.286,0
45.663,45.287,0
45.664,45.276,0
45.664,45.286,0
45.663,45.277,0
45.663,45.287,0
45.663,45.277,0
45.474,45.286,0
45.443,45.277,0
45.613,45.277,0
45.614,45.286,0
45.614,45.276,0
45.614,45.336,0
45.663,45.337,0
45.654,45.336,0
45.523,45.337,0
45.614,45.336,0
45.444,45.336,0
45.603,45.337,0
45.603,45.347,0
45.584,45.346,0
45.533,45.307,0
45.344,45.306,0
45.344,45.306,0
45.343,45.277,0
45.344,45.296,0
45.344,45.276,0
45.344,45.296,0
45.334,45.296,0
45.333,45.277,0
45.343,45.277,0
45.343,45.257,0
45.343,45.257,0
45.343,45.267,0
45.373,45.257,0
45.373,45.267,0
45.374,45.256,0
45.353,45.257,0.065516
45.373,45.257,0
45.303,45.177,0
45.373,45.047,0
45.373,45.057,-0.12
45.374,45.046,-0.12
45.324,45.046,-0.0009
45.273,45.047,-0.0009
45.274,45.186,0.000460737
45.274,45.236,0
45.274,45.216,0
45.324,45.216,0
45.323,45.237,0
45.324,45.256,0
45.324,45.266,0
45.323,45.217,0
45.33,45.317,0.000429249
45.463,45.327,0.057235
45.404,45.326,0.057233
45.384,45.326,0.057233
45.374,45.326,0.057233
45.404,45.326,0.057233
45.373,45.327,-0.000429262
45.403,45.327,0
45.384,45.326,0
45.403,45.327,0
45.463,45.327,0
45.394,45.326,-0.000429247
45.364,45.146,-0.0888062
45.364,45.136,-0.0956562
45.364,45.146,-0.0888062
45.463,45.137,-0.0949713
45.404,45.146,-0.000666047
45.464,45.146,0
45.453,45.147,0
45.384,45.146,0
45.364,45.296,0.000429266
45.373,45.297,0.0572348
45.353,45.057,-0.12
45.354,45.106,-0.116229
45.333,45.227,0
45.334,45.106,-0.116229
45.354,45.116,-0.109368
45.354,45.136,0
45.354,45.285,0
45.354,45.256,0
45.413,45.347,0
45.463,45.347,0
45.464,45.176,0
45.363,45.177,-0.000506913
45.354,45.176,-0.00051204
45.354,45.166,-0.0751129
45.354,45.176,-0.068272
45.354,45.166,-0.0751129
45.353,45.197,0
45.364,45.196,0
45.363,45.237,0
45.364,45.266,0
45.363,45.237,0
45.313,45.237,0
45.364,45.286,0
45.333,45.287,0
45.364,45.286,0
45.363,45.167,-0.0744289
45.363,45.177,-0.0675884
45.364,45.166,-0.0751129
45.273,45.177,-0.0675884
45.274,45.176,-0.068272
45.274,45.166,-0.0751129
45.274,45.216,0
45.364,45.176,0
45.364,45.186,0
45.363,45.177,0
45.364,45.276,0
45.364,45.176,-0.068272
45.364,45.176,0
45.303,45.177,-0.000506913
45.363,45.187,0
45.363,45.177,-0.0675884
45.364,45.176,0
45.364,45.216,0
45.364,45.176,-0.068272
45.334,45.176,-0.00051204
45.363,45.177,0
45.363,45.177,0.0675884
45.314,45.186,-0.000460737
45.314,45.176,-0.068272
45.313,45.237,0
45.293,45.237,0.0629812
45.293,45.257,0.000472367
45.313,45.257,0.0629823
45.313,45.237,0.0629812
45.294,45.236,0
45.453,45.237,0.0629812
45.433,45.237,0
45.308,45.236,0
45.303,45.267,0
45.304,45.176,-0.068272
45.303,45.267,0.000472351
45.303,45.197,0
45.303,45.207,0
45.304,45.196,0
45.293,45.197,0.0539138
45.303,45.197,-0.0539138
45.253,45.197,-0.000404353
45.304,45.196,-0.0545968
45.303,45.177,-0.0675884
45.263,45.177,-0.000506913
45.434,45.196,-0.0545968
45.434,45.176,-0.068272
45.433,45.197,0
45.433,45.187,0
45.424,45.176,-0.00051204
45.424,45.176,0
45.434,45.176,0
45.304,45.246,0.000472369
45.304,45.236,0.000472365
45.464,45.236,0.062982
45.463,45.247,0.000472363
45.463,45.177,0.0675884
45.463,45.277,0.000472355
45.464,45.176,0
45.464,45.186,0
45.463,45.297,0.000472363
45.464,45.176,0
45.463,45.177,0
45.464,45.186,0.000460737
45.464,45.176,0
45.463,45.177,0
45.464,45.176,0
45.334,45.296,0.000472368
45.464,45.326,0.000472361
45.464,45.326,0.0629814
45.464,45.306,0.0472353
45.463,45.347,0.000472363
45.464,45.296,0.0629825
45.464,45.336,0.0629819
45.464,45.296,0
45.373,45.297,0
45.374,45.306,0
45.355,45.307,0.0629822
45.463,45.307,0
45.464,45.186,0
45.463,45.177,0
45.314,45.276,0
45.464,45.186,0
45.464,45.176,0
45.358,45.307,0.0629822
45.463,45.307,0.0629822
45.364,45.306,0.0629804
45.364,45.346,0.000472368
45.364,45.336,0.0629819
45.374,45.336,0.0629819
45.374,45.346,0.000472368
45.394,45.346,0.0629824
45.464,45.336,0
45.434,45.336,0.0629819
45.383,45.337,0.0629812
45.383,45.357,0.000472367
45.434,45.336,0
45.433,45.347,0.000472363
45.433,45.337,0.0629812
45.403,45.337,0.0629812
45.434,45.336,0
45.464,45.336,0.0629819
45.464,45.336,0
45.464,45.336,0
45.464,45.386,0.000472364
45.463,45.337,0.0629812
45.463,45.387,0.000472359
45.443,45.387,0.0629812
45.434,45.386,0.0629819
45.464,45.386,0
45.464,45.346,0.0629824
45.463,45.377,0
45.463,45.357,0
45.464,45.366,0
45.444,45.366,0
45.463,45.367,0.0629801
45.453,45.367,0
45.463,45.367,0.0629801
45.464,45.386,0.000472364
45.433,45.387,0.0629812
45.463,45.387,0.0629812
45.413,45.387,0.0629812
45.464,45.386,0.0629819
45.464,45.366,0
45.413,45.367,0
45.414,45.306,0
45.463,45.357,0
45.463,45.327,0
45.463,45.337,0
45.404,45.326,0
45.404,45.316,0.0629809
45.403,45.327,0
45.414,45.206,0
45.463,45.217,0
45.463,45.207,0
45.463,45.217,-0.0571268
45.413,45.217,-0.000428451
45.464,45.206,0
45.404,45.206,-0.000484815
45.454,45.356,0
45.404,45.366,0
45.393,45.367,0
45.394,45.376,0
45.403,45.377,0
45.393,45.377,0
45.394,45.366,-0.0629809
45.394,45.376,0
45.404,45.376,0
45.393,45.377,-0.000472355
45.393,45.367,-0.0629801
45.403,45.387,0
45.403,45.377,0
45.404,45.386,0
45.414,45.386,0
45.403,45.387,0
45.415,45.397,0
45.463,45.397,0
45.423,45.397,0
45.413,45.397,0
45.414,45.386,-0.0629819
45.413,45.397,-0.0472363
45.434,45.406,0
45.424,45.406,0
45.423,45.397,0
45.424,45.396,0
45.414,45.396,-0.000472368
45.414,45.386,-0.0629819
45.413,45.397,-0.0472363
45.423,45.407,0
45.433,45.407,0
45.423,45.397,0
45.423,45.387,0
45.423,45.397,0
45.414,45.386,-0.0629819
45.414,45.406,-0.0472353
45.423,45.407,0
45.423,45.397,0
45.423,45.407,0
45.434,45.406,0
45.434,45.416,0
45.464,45.406,-0.0629803
45.454,45.426,0
45.444,45.426,0.047236
45.443,45.417,0.0629801
45.433,45.417,0.0472351
45.443,45.407,0.0629822
45.434,45.396,0
45.433,45.397,0
45.433,45.407,0
45.423,45.397,-0.000472363
45.434,45.396,0
45.433,45.407,0.000472367
45.443,45.417,0.0629801
45.443,45.407,0.0629822
45.444,45.416,0.000472356
45.443,45.407,0.0629822
45.443,45.417,0.000472351
45.434,45.416,0
45.444,45.406,0
45.444,45.416,0
45.464,45.426,0.0629814
45.464,45.436,0.000472364
45.463,45.427,0.0629807
45.464,45.436,0.0629819
45.464,45.426,0.0629814
45.453,45.437,0.0472359
45.453,45.427,0
45.464,45.426,0
45.454,45.426,0
45.463,45.427,0.0629807
45.464,45.436,0
45.454,45.426,0
45.464,45.426,0
45.464,45.436,0.000472364
