ASK,BID,QUANTITY
662.99,658.32,0
665.57,658.32,0
662.89,658.32,0
662.88,658.32,0
663.13,658.32,0
662.88,658.32,0
663.13,658.31,0
664.66,658.31,0
664.66,658.64,0
664.66,658.63,0
664.66,659.15,0
663.13,659.14,0
664.66,659.14,0
664.66,659.22,0
663.14,659.22,0
662.88,659.22,0
663.14,659.22,0
662.89,659.22,0
663.14,659.22,0
662.88,659.22,0
663.14,659.22,0
663.14,659.21,0
664.66,659.21,0
664.66,659.22,0
664.66,659.22,0
663.14,659.22,0
664.66,659.22,0
664.66,659.21,0
664.66,659.22,0
662.89,659.22,0
662.89,659.21,0
662.89,659.95,0
662.89,659.22,0
662.9,659.21,0
662.9,660.02,0
662.88,660.02,0
662.9,660.02,0
662.89,660.02,0
662.89,660.02,0
662.88,660.02,0
662.9,660.02,0
662.89,660.02,0
662.9,660.02,0
662.89,659.14,0
662.89,659.14,0
662.89,658.63,0
662.9,658.63,0
662.9,658.63,0
662.88,658.63,0
662.89,658.63,0
662.9,658.63,0
662.89,658.63,0
662.9,658.63,0
662.87,658.63,0
662.9,658.63,0
662.88,658.63,0
662.9,658.63,0
662.87,658.63,0
662.9,658.63,0
662.9,658.63,0
662.9,658.63,0
662.9,658.63,0
662.88,658.63,0
662.88,658.98,0
662.88,658.63,0
662.88,658.99,0
662.88,658.63,0
662.88,660.2,0
660.73,658.63,0
661.17,658.34,0
661.17,658.31,0
661.18,658.31,0
660.35,658.31,0
661.12,658.31,0
660.51,658.31,0
659.96,658.26,0
660.51,658.26,0
661.12,657.86,0
660.01,657.81,0
660.01,657.97,0
660.01,657.98,0
660.01,657.97,0
660.01,658.04,0.0009
660.01,658.35,0.000784345
659.74,658.35,0.0115037
659.74,657.96,-0.0132
659.74,657.97,-0.0132
659.74,657.97,-0.0132
659.74,658.17,-0.0130822
659.74,658.79,0
659.74,658.62,0.00913741
659.74,659.28,0.000229184
661.01,659.28,0.00336136
661.01,658.9,0.00668542
661.12,658.9,0.00668542
661.12,658.9,0.00668542
660.81,658.9,0
661.01,658.9,0
661.11,658.9,0.00668542
661.12,658.9,0
661.11,658.9,0
661.12,658.9,0.00668542
661.1,658.9,0.00668542
661.1,658.91,0.000449887
661.11,659.48,0.00639546
661.11,658.92,0.00651074
661.11,659.95,0.000436049
661.11,659.21,0.00397346
661.11,659.55,0.000436032
661.11,659.76,0.000436037
661.11,659.55,0.00639513
661.11,659.56,0
661.11,659.57,0.000436025
661.11,659.74,0.000436044
661.11,659.75,0
661.11,660.69,0.000436031
661.39,660.69,0.00639512
661.39,660.31,0
661.39,660.74,0.00639541
661.39,660.31,0.0063953
661.39,660.39,0
661.1,660.39,0
661.39,660.39,0.00639546
660.79,660.03,0
661.38,660.03,0
661.38,660.03,0
661.39,660.03,0
660.59,660.03,0
661.39,660.03,0.00639501
660.93,660.23,0.00629825
660.93,660.23,0.00639514
661.38,660.23,0.00639514
660.535,660.03,0
661.38,660.03,0
661.39,660.03,0
