ASK,BID,QUANTITY
145.634,145.426,0
145.643,145.567,0
145.644,145.566,0
145.674,145.566,0
145.614,145.526,0
145.594,145.526,0
145.593,145.517,0
145.604,145.516,0
145.593,145.517,0
145.603,145.517,0
145.614,145.516,0
145.644,145.516,0
145.884,145.656,0
145.894,145.716,0
145.75,145.717,0
145.743,145.657,0
145.744,145.666,0
145.753,145.667,0
145.884,145.666,0
145.933,145.727,0
145.933,145.727,0
145.923,145.727,0
145.933,145.787,0
145.934,145.746,0
145.923,145.747,0
145.923,145.727,0
145.923,145.767,0
145.844,145.726,0
145.793,145.727,0
145.844,145.726,0
145.804,145.726,0
145.844,145.726,0
145.863,145.727,0
145.813,145.727,0
145.863,145.727,0
145.864,145.736,0
145.864,145.746,0
145.863,145.727,0
145.794,145.716,0
145.794,145.736,0
145.803,145.747,0
145.804,145.746,0
145.794,145.746,0
145.793,145.737,0
145.804,145.746,0
145.803,145.737,0
145.793,145.737,0
145.793,145.737,0
145.794,145.726,0
145.763,145.697,0
145.753,145.697,0
145.764,145.706,0
145.764,145.706,0
145.764,145.696,0
145.763,145.707,0
145.764,145.696,0
145.763,145.667,0
145.843,145.687,0
145.843,145.687,0
145.874,145.686,0
145.863,145.687,0
145.863,145.767,0
145.863,145.757,0
145.813,145.757,0
145.814,145.746,0
145.864,145.746,0
145.864,145.726,0
145.863,145.757,0
145.804,145.756,0
145.823,145.727,0
145.843,145.727,0
145.863,145.777,0
145.863,145.777,0
145.863,145.787,0
145.864,145.776,0
145.884,145.766,0
145.894,145.796,0
146.084,145.816,0
145.895,145.816,0
146.083,145.867,0
146.084,145.816,0
145.914,145.816,0
145.914,145.806,0
145.914,145.796,0
145.894,145.796,0
145.884,145.796,0
145.894,145.796,0
145.953,145.857,0
145.903,145.837,0
145.903,145.857,0
145.894,145.856,0
145.903,145.847,0
145.903,145.847,0
145.893,145.847,0
145.903,145.857,0
145.903,145.847,0
145.894,145.846,0
145.903,145.837,0
145.894,145.836,0
145.903,145.837,0
145.964,145.846,0
145.893,145.827,0
145.913,145.827,0
145.893,145.837,0
145.934,145.836,0
145.934,145.826,0
145.934,145.836,0
145.933,145.827,0
145.934,145.836,0
145.893,145.827,0
145.893,145.837,0
145.893,145.827,0
145.893,145.837,0
145.894,145.836,0
145.874,145.776,0
145.873,145.787,0
145.873,145.777,0
145.874,145.786,0
145.873,145.777,0
145.873,145.787,0
145.853,145.787,0
145.853,145.777,0
145.863,145.787,0
145.864,145.786,0
145.853,145.787,0
145.864,145.786,0
145.854,145.786,0
145.853,145.777,0
145.853,145.787,0
145.854,145.776,0
145.763,145.747,0
145.724,145.626,0
145.724,145.616,0
145.724,145.626,0
