ASK,BID,QUANTITY
171.913,169.067,0
172.303,169.067,0
171.803,169.067,0
171.103,169.067,0
171.103,168.637,0
171.103,169.197,0
170.073,169.197,0
170.073,169.187,0
170.073,169.357,0
170.073,169.347,0
170.073,169.357,0
170.073,169.347,0
170.073,169.377,0
170.073,169.377,0
170.073,169.367,0
170.073,169.367,0
170.198,169.847,0
170.953,169.367,0
170.953,169.517,0
170.953,169.507,0
170.833,169.787,0
171.873,169.787,0
171.613,169.787,0
171.003,169.787,0
171.003,169.777,0
171.673,169.777,0
171.673,169.777,0
171.023,169.777,0
171.673,169.777,0
171.003,169.777,0
171.023,169.777,0
171.673,169.777,0
170.793,169.777,0
171.673,169.777,0
171.453,169.777,0.00696984
171.463,169.777,0.00696984
171.453,169.767,0
171.453,169.877,0.000475203
171.463,169.997,0.000475213
170.843,169.997,0.00696979
171.463,169.997,0.00696979
171.443,169.997,0.00696979
170.41,169.997,0.00475213
170.323,169.877,0
170.123,169.877,0
170.123,169.507,0
170.213,169.507,0
170.213,169.187,0
170.213,169.387,0
170.083,169.187,0
170.073,169.187,0
170.073,169.387,0
170.073,169.187,0
170.073,169.397,0.000337167
170.073,169.357,0.00576357
170.073,169.357,0.00576357
171.313,169.357,0
170.873,169.357,0.00576357
170.873,169.397,0.00494511
169.868,169.397,0.00337167
170.873,169.397,0.00337167
169.383,168.817,0
169.373,168.977,0
169.373,168.317,0
169.383,168.327,0
169.743,168.677,0
169.743,168.667,0
169.743,168.337,0
169.743,168.327,0.0132
169.743,168.337,0.0009
169.743,168.327,0
169.753,168.327,0
169.753,168.337,0.0009
169.753,168.317,0
169.753,168.837,0.0112437
169.753,168.847,0
169.753,168.837,0
169.753,168.827,0.0113976
169.753,168.837,0
169.753,168.827,0
169.753,168.827,0
169.753,168.837,0
169.753,168.827,0
169.753,168.837,0
169.753,168.827,0
169.753,168.917,0.000682788
169.853,168.917,0
169.853,168.907,0.010168
169.853,168.917,0
169.853,168.907,0.010168
170.733,169.107,0.00709913
170.673,169.107,0.00709913
170.673,169.097,0.00725232
170.353,169.237,0.000348283
170.733,169.237,0.00510815
170.223,169.237,0.00510815
170.733,169.237,0.00510815
170.573,169.237,0.00510815
170.733,169.237,0.00510815
170.373,169.237,0
170.733,169.237,0.00510815
170.733,169.097,0
170.733,169.227,0
169.733,169.227,0
169.513,168.827,0
169.513,168.357,-0.0132
169.513,168.867,-0.0107826
169.513,168.877,-0.0106289
169.513,168.867,-0.0107826
169.513,168.357,-0.0132
169.513,169.047,0
170.733,168.967,0
170.503,169.147,0
169.943,169.147,0.00648609
169.943,168.547,0
169.943,169.227,0.000358712
170.733,169.127,0.00679258
170.603,169.127,0
170.603,169.377,0.00573476
170.603,168.757,0.0124744
170.603,168.767,-0.0123206
170.603,168.757,0
170.603,168.767,0
170.603,168.757,0
170.603,168.767,0
170.603,168.757,-0.0124744
