ASK,BID,QUANTITY
62.118,61.212,0
62.118,61.202,0
62.118,61.202,0
62.119,61.451,0
62.118,61.442,0
62.118,61.442,0
62.118,61.632,0
62.048,61.452,0
62.049,61.441,0
62.048,61.452,0
62.048,61.452,0
62.048,61.442,0
62.038,61.442,0
62.048,61.482,0
61.988,61.482,0
62.018,61.482,0
62.059,61.481,0
61.988,61.482,0
62.058,61.762,0
62.058,61.762,0
62.048,61.762,0
62.058,61.762,0
61.928,61.762,0
62.048,61.762,0
62.059,61.491,0
62.048,61.492,0
62.058,61.492,0
62.048,61.492,0
62.058,61.492,0
62.048,61.492,0
62.058,61.492,0
62.049,61.491,0
62.059,61.491,0
62.048,61.492,0
62.048,61.482,0
62.049,61.491,0
62.048,61.482,0
62.008,61.482,0
62.058,61.482,0
62.058,61.492,0
62.018,61.492,0
62.058,61.492,0
62.038,61.492,0
62.019,61.491,0
61.868,61.492,0
61.949,61.501,0
61.948,61.502,0
62.059,61.501,0
62.058,61.492,0
62.058,61.492,0
62.058,61.602,0
62.059,61.591,0
62.059,61.591,0
62.058,61.592,0
62.058,61.592,0
62.058,61.732,0
62.058,61.722,0
62.058,61.592,0
62.058,61.592,0
62.059,61.651,0
62.059,61.661,0
62.058,61.692,0
62.058,61.712,0
62.059,61.701,0
62.058,61.742,0
62.059,61.781,0
62.059,61.821,0
61.979,61.821,0
61.999,61.821,0
61.998,61.702,0
62.059,61.701,0
62.058,61.682,0
62.058,61.642,0
62.038,61.642,0
62.039,61.651,0
62.059,61.651,0
62.058,61.672,0
62.058,61.682,0
62.058,61.672,0
62.059,61.661,0
62.058,61.682,0
62.058,61.672,0
62.058,61.692,0
62.059,61.701,0
62.059,61.691,0
62.058,61.692,0
62.059,61.701,0
62.058,61.702,0
62.008,61.702,0
62.009,61.641,0
61.918,61.642,0
62.008,61.642,0
61.938,61.642,0
61.949,61.591,0
61.928,61.592,0
61.928,61.542,0
61.929,61.541,0
61.929,61.541,0
61.939,61.551,0
61.948,61.552,0
61.928,61.552,0
61.928,61.542,0
61.928,61.582,0
61.939,61.581,0
61.939,61.581,0
61.928,61.582,0
61.948,61.582,0
61.948,61.582,0
61.949,61.541,0
61.868,61.522,0
61.848,61.522,0
61.918,61.522,0
61.918,61.532,0
61.858,61.532,0
61.888,61.532,0
61.818,61.532,0
61.818,61.582,0
61.788,61.582,0
61.818,61.582,0
61.788,61.582,0
61.748,61.582,0
61.748,61.482,0
61.728,61.482,0
61.728,61.452,0
61.698,61.452,0
61.719,61.441,0
61.658,61.442,0
61.708,61.442,0
61.708,61.442,0
61.709,61.561,0
61.729,61.441,0
61.729,61.451,0
61.728,61.442,0
61.719,61.441,0
61.688,61.442,0
61.648,61.442,0
61.729,61.441,0
61.698,61.442,0
61.678,61.442,0
61.728,61.442,0
61.689,61.441,0
61.658,61.442,0
61.738,61.442,0
61.599,61.441,0
61.739,61.341,0
61.619,61.411,0
61.619,61.401,0
61.618,61.312,0
61.618,61.322,0
61.618,61.352,0
61.619,61.341,0
61.618,61.352,0
61.618,61.342,0
61.608,61.412,0
61.619,61.411,0
61.599,61.411,0
61.678,61.342,0
61.638,61.342,0
61.639,61.421,0
61.659,61.421,0
61.658,61.412,0
61.678,61.412,0
61.678,61.412,0
61.689,61.481,0
61.688,61.412,0
61.689,61.441,0
61.738,61.482,0
61.748,61.482,0
61.669,61.481,0
61.708,61.482,0
61.708,61.492,0
61.708,61.422,0
61.708,61.422,0
61.708,61.452,0
61.688,61.482,0
61.688,61.422,0
61.688,61.422,0
61.688,61.472,0
61.689,61.481,0
61.688,61.422,0
61.688,61.442,0
61.688,61.422,0
61.689,61.441,0
61.689,61.421,0
61.699,61.441,0
61.699,61.441,0
61.838,61.592,0.0156078
61.778,61.592,0.0156078
61.779,61.441,0.021973
61.708,61.442,0.0218615
61.839,61.441,0.021973
61.798,61.442,0
61.728,61.442,-0.00819807
