ASK,BID,QUANTITY
254.746,253.444,0
256.516,253.444,0
256.506,253.444,0
256.516,253.444,0
255.376,253.444,0
255.376,253.444,0
255.376,253.444,0
254.706,253.444,0
255.046,253.444,0
255.176,253.444,0
255.176,253.444,0
255.096,254.244,0
255.096,254.274,0
256.056,254.274,0
256.066,254.284,0
256.056,254.284,0
255.146,254.284,0
255.056,254.284,0
256.066,254.284,0
256.066,254.284,0
256.056,254.284,0
256.066,254.284,0
256.056,254.284,0
256.066,254.284,0
256.056,254.284,0
256.066,254.284,0
256.056,254.284,0
256.066,254.284,0
256.066,254.284,0
256.056,254.434,0
256.066,254.434,0
256.066,254.434,0
255.546,254.414,0
255.546,254.414,0
256.056,254.414,0
256.066,254.414,0
255.476,254.414,0
255.476,254.414,0
255.316,254.764,0
255.316,254.414,0
255.316,254.414,0
255.576,254.284,0
254.926,254.014,0
254.926,253.934,0
254.926,254.014,0
254.926,254.004,0
254.926,254.014,0
254.926,254.004,0
254.926,254.004,0
254.936,254.374,0
254.846,254.374,0
254.936,254.374,0
255.846,254.374,0
255.856,254.374,0
255.846,254.374,0
255.856,254.374,0
255.846,254.374,0
255.856,254.374,0
255.846,254.374,0
255.856,254.374,0
255.326,254.374,0
255.326,254.404,0
255.316,254.404,0
255.326,254.404,0
255.316,254.404,0
255.166,254.404,0
254.766,254.404,0
254.836,254.224,0
255.016,254.224,0
255.096,254.224,0
255.086,254.224,0
255.016,254.224,0
255.086,254.224,0
255.326,254.224,0
255.276,254.224,0
255.326,254.224,0
255.316,254.224,0
255.046,254.224,0
255.326,254.224,0
255.326,254.234,0
255.326,254.284,0
255.056,254.284,0
255.056,254.284,0
255.056,254.284,0
255.046,254.284,0
255.326,254.284,0
255.056,254.284,0
255.056,254.304,0
255.006,254.304,0
255.326,254.304,0
255.406,254.744,0
255.406,254.744,0
255.466,254.834,0
255.516,254.834,0
255.856,254.834,0
255.406,254.834,0
255.426,254.834,0
255.426,254.834,0
255.846,255.004,0
255.856,254.804,0
255.856,255.014,0
255.846,255.014,0
255.856,255.014,0
255.846,255.014,0
255.856,255.014,0
255.846,255.014,0
255.856,255.014,0
255.846,255.014,0
255.856,255.014,0
255.846,255.014,0
255.856,255.014,0
255.856,254.964,0
255.846,254.964,0
255.856,254.964,0
255.846,254.964,0
255.856,254.964,0
255.846,254.964,0
255.856,254.964,0
255.846,254.964,0
255.856,254.964,0
255.846,255.264,0
255.856,255.264,0
256.066,255.264,0
256.056,255.264,0
256.066,255.264,0
256.056,255.264,0
256.066,255.264,0
256.056,255.264,0
256.066,255.264,0
255.916,255.264,0
255.916,255.274,0
255.916,255.274,0
256.056,255.364,0
256.046,255.364,0
