ASK,BID,QUANTITY
447.343,446.637,0
447.344,446.456,0
447.343,445.857,0
447.343,446.077,0
447.384,446.076,0
446.853,446.077,0
446.854,446.106,0
446.853,446.077,0
447.404,446.076,0
446.454,446.076,0
446.473,446.077,0
447.394,446.076,0
447.244,446.076,0
447.103,446.077,0
446.554,446.076,0
447.244,446.306,0
447.243,446.077,0
447.244,446.256,0
446.783,446.257,0
447.243,446.507,0
447.063,446.507,0
447.054,446.506,0
447.063,446.507,0
446.794,446.506,0
446.824,446.446,0
447.244,446.446,0
447.033,446.447,0
447.243,446.077,0
447.243,445.497,0
447.024,445.496,0
446.284,445.496,0
446.083,445.497,0
446.283,445.487,0
446.274,445.486,0
445.944,445.486,0
445.944,444.996,0
445.943,445.107,0
445.943,444.997,0
445.943,445.107,0
446.274,445.106,0
446.274,445.136,0
446.273,444.997,0
446.273,445.157,0
446.273,444.997,0
446.274,445.026,0
446.813,445.747,0
447.073,445.747,0
446.854,445.746,0
446.274,445.746,0
446.844,446.036,0
446.843,445.747,0
446.743,445.747,0
447.243,445.747,0
446.733,445.747,0
446.733,445.997,0
446.724,445.996,0
446.713,445.997,0
446.703,445.997,0
446.693,445.997,0
446.344,445.996,0
446.334,445.996,0
446.714,446.156,0
446.713,445.997,0
446.663,445.997,0
446.664,446.146,0
446.664,445.996,0
446.673,445.997,0
446.653,445.997,0
446.664,445.996,0
446.734,445.996,0
447.243,446.367,0
446.663,445.997,0
446.633,445.997,0
446.624,445.996,0
446.613,445.997,0
446.603,445.997,0
446.583,445.997,0
446.573,445.997,0
447.243,445.997,0
446.774,445.996,0
446.664,445.996,0
446.653,445.997,0
446.643,445.997,0
446.634,445.996,0
446.623,445.997,0
446.583,445.997,0
446.563,445.997,0
446.553,445.997,0
446.544,445.996,0
446.534,445.996,0
447.144,446.366,0
447.144,446.176,0
447.244,446.506,0
447.243,446.177,0
446.834,446.176,0
446.824,446.176,0
446.814,446.176,0
446.804,446.176,0
446.793,446.177,0
446.813,446.477,0
446.913,446.177,0
447.033,446.197,0
447.033,446.187,0
446.993,446.487,0
447.003,446.487,0
446.993,446.487,0
447.003,446.487,0
446.994,446.486,0
446.983,446.487,0
446.924,446.486,0
446.923,446.587,0
446.924,446.486,0
447.223,446.697,0
447.223,446.487,0
446.984,446.486,0
447.223,446.487,0
446.984,446.486,0
447.224,446.486,0
447.243,446.487,0
447.134,446.486,0
447.244,446.506,0
446.903,446.507,0
447.243,446.507,0
446.893,446.487,0
446.894,446.176,0
446.894,446.496,0
447.244,446.496,0
447.243,446.507,0
447.244,446.526,0
447.064,446.526,0
447.153,446.787,0
447.243,446.787,0
447.243,446.537,0
447.244,446.546,0
447.244,446.536,0
447.244,446.686,0
447.033,446.697,0
447.024,446.696,0
447.014,446.696,0
446.973,446.697,0
446.733,446.507,0
446.734,446.486,0
446.814,446.606,0
446.813,446.487,0
446.813,446.497,0
446.814,446.486,0
446.813,446.497,0
447.044,446.496,0
447.044,446.486,0
447.044,446.506,0
446.854,446.506,0
446.853,446.497,0
446.854,446.486,0
446.854,446.526,0
446.853,446.717,0
447.243,446.537,0
447.243,446.547,0
446.774,446.496,0
447.003,446.267,0
447.004,446.176,0
446.993,446.177,0
446.433,446.207,0
446.414,446.206,0
446.394,446.206,0
447.003,446.287,0
446.973,446.177,0
446.943,446.177,0
446.974,446.176,0
446.894,446.176,0
446.713,446.177,0
446.713,446.187,0
446.713,446.177,0
446.714,446.196,0
446.973,446.397,0
446.973,446.177,0
446.964,446.176,0
446.903,446.177,0
446.844,446.206,0
446.604,446.206,0
446.594,446.226,0
446.593,446.207,0
446.263,445.747,0
446.364,445.776,0
446.364,445.786,0
446.364,445.776,0
446.363,445.817,0
446.333,445.817,0
446.634,446.066,0
446.634,445.746,0
446.534,445.896,0
446.523,445.897,0
446.534,445.896,0
446.373,445.897,0
446.283,445.897,0
446.353,445.897,0
446.344,445.896,0
446.353,445.897,0
446.353,445.747,0
446.353,445.947,0
446.703,446.097,0
446.703,445.747,0
446.704,445.996,0
446.513,445.997,0
446.503,445.997,0
446.704,446.176,0
446.703,446.247,0
446.973,446.467,0
447.013,446.237,0
447.004,446.236,0
446.804,446.236,0
446.864,446.236,0
446.863,446.267,0
446.663,446.267,0
447.243,446.457,0
447.244,446.266,0
447.243,446.177,0
447.244,446.196,0
447.234,446.256,0
447.134,446.476,0
447.403,446.777,0
447.624,446.946,0
447.404,446.496,0
447.404,446.366,0
447.403,446.947,0
447.624,447.196,0
447.623,446.917,0
447.503,446.917,0
447.504,446.906,0
447.503,446.927,0
447.444,446.936,0
447.443,446.907,0
447.443,446.937,0
447.443,446.927,0
447.444,446.936,0
447.443,446.987,0
447.383,446.987,0
447.384,446.936,0
447.383,446.987,0
447.384,446.936,0
447.503,447.197,0
447.454,446.936,0
447.444,446.936,0
447.413,446.937,0
447.443,446.937,0
447.384,446.936,0
447.254,446.936,0
447.383,446.937,0
447.383,446.917,0
447.113,446.877,0
