ASK,BID,QUANTITY
172.303,169.067,0
171.913,169.067,0
172.303,169.067,0
171.803,169.067,0
171.103,169.067,0
171.103,168.637,0
171.103,169.197,0
170.073,169.197,0
170.073,169.187,0
170.073,169.357,0
170.073,169.347,0
170.073,169.357,0
170.073,169.347,0
170.073,169.377,0
170.073,169.367,0
170.073,169.377,0
170.073,169.367,0
170.073,169.377,0
170.073,169.367,0
170.198,169.847,0
170.953,169.367,0
170.953,169.517,0
170.953,169.507,0
170.953,170.337,0
170.833,169.787,0
171.503,169.787,0
171.873,169.787,0
171.613,169.787,0
171.003,169.787,0
171.003,169.777,0
171.673,169.777,0
171.023,169.777,0
171.673,169.777,0
171.023,169.777,0
171.673,169.777,0
171.003,169.777,0
171.023,169.777,0
171.673,169.777,0
170.793,169.777,0
171.673,169.777,0
171.453,169.777,0
171.463,169.777,0
171.463,169.767,0
171.453,169.767,0
171.453,169.877,0
171.463,169.877,0
171.463,169.997,0
170.843,169.997,0
171.463,169.997,0
171.443,169.997,0
170.41,169.997,0
170.323,169.877,0
170.123,169.877,0
170.123,169.507,0
170.213,169.507,0
170.213,169.187,0
170.213,169.387,0
170.083,169.187,0
170.073,169.187,0
170.073,169.387,0
170.073,169.187,0
170.073,169.397,0
170.073,169.357,0
170.073,169.407,0
170.073,169.357,0
171.313,169.357,0
170.873,169.357,0
170.873,169.407,0
170.873,169.397,0
169.868,169.397,0
170.873,169.397,0
169.383,168.817,0
169.383,168.427,0
169.373,168.977,0
169.373,168.317,0
169.373,168.327,0
169.383,168.327,0
169.373,168.327,0
169.373,168.667,0
169.743,168.667,0
169.743,168.677,0
169.743,168.667,0
169.743,168.327,0
169.743,168.337,0
169.743,168.327,0
169.743,168.337,0
169.743,168.327,0
169.753,168.327,0
169.753,168.337,0
169.753,168.317,0
169.753,169.257,0
169.753,168.837,0
169.753,168.847,0
169.753,168.837,0
169.753,168.827,0
169.753,168.837,0
169.753,168.827,0
169.753,168.837,0
169.753,168.827,0
169.753,168.837,0
169.753,168.827,0
169.753,168.837,0
169.753,168.827,0
169.753,168.917,0
169.853,168.917,0
169.853,168.927,0
169.853,168.917,0
169.853,168.907,0
169.853,168.917,0
169.853,168.907,0
169.853,168.917,0
169.853,168.907,0
170.733,169.107,0
170.673,169.107,0
170.673,169.097,0
170.353,169.237,0
170.733,169.237,0
170.223,169.237,0
170.733,169.237,0
170.573,169.237,0
170.733,169.237,0
170.373,169.237,0
170.733,169.237,0
170.733,169.097,0
170.733,169.167,0.0009
170.733,169.227,0
169.733,169.227,0
169.513,168.827,0
169.513,168.357,-0.0132
169.513,168.867,-0.0132
169.513,168.877,-0.0132
169.513,168.867,-0.0132
169.513,168.357,-0.0132
169.513,169.047,0
170.733,168.967,0
170.503,169.147,0
169.943,169.147,-0.0009
169.943,168.547,-0.0132
169.943,169.227,0.0009
170.733,169.127,0.0132
170.603,169.127,0
170.603,169.377,0
170.603,168.757,0
170.603,168.767,-0.0132
170.603,168.757,-0.0132
170.603,168.767,-0.0132
170.603,168.757,-0.0132
170.603,168.767,0
170.603,168.757,-0.0132
170.603,168.767,-0.0132
170.603,168.757,-0.0132
170.603,168.767,-0.0132
170.603,168.757,0
170.603,168.767,0
170.603,168.757,0
170.603,168.767,0
170.603,168.757,0
170.613,168.747,0
170.603,168.827,0
170.603,168.747,-0.0132
170.603,168.787,0
170.603,168.797,0
170.603,168.787,0
170.603,169.717,0
170.613,169.717,0
170.613,169.867,0
170.613,168.807,0
170.613,169.417,0
170.613,168.747,-0.0132
170.613,169.377,0
170.573,169.377,0
170.523,169.377,0
170.473,169.377,0
170.473,168.747,-0.0132
170.473,169.337,-0.0102806
170.053,169.657,-0.000455068
170.053,169.097,0.0132
170.053,169.907,0.000455046
170.583,169.907,0.00667401
170.583,169.177,0
170.393,169.177,0
170.583,169.167,0
170.203,169.167,0
170.203,169.557,0.000242405
170.583,169.557,0.00355527
170.533,169.447,0
169.873,169.447,0.00691577
169.873,169.237,0
169.873,169.087,0
169.873,169.267,0.000847118
169.873,169.087,0
169.873,169.327,0.000721844
169.623,169.327,0.00721844
169.623,168.747,0
169.623,169.217,0
169.623,168.757,0
169.623,168.747,0
169.623,169.227,0
169.623,169.237,0.0009
169.623,169.227,0
169.623,168.747,0
169.623,169.247,0
169.793,168.757,0
169.793,168.747,0.0132
169.743,169.247,0.000888906
169.813,168.757,0.0132
169.813,168.807,0.0132
169.813,169.457,0.000450699
170.423,169.467,0.00630478
170.583,169.467,0.00630478
170.583,169.247,0.0130373
170.193,169.247,0.0130373
170.573,169.627,0.00685838
170.583,169.627,0.00685838
169.963,168.957,0
169.963,168.947,0.0132
169.963,169.617,0.000467631
169.963,168.947,0
169.963,169.397,0
169.963,169.617,0.000467631
169.97,169.767,0.000467639
170.533,169.637,0.00685864
170.533,169.697,0.000467644
170.583,169.697,0.00685878
170.483,169.697,0.00685878
170.513,169.697,0
170.473,169.697,0.00685878
170.413,169.697,0.00685878
170.443,169.697,0
170.503,169.697,0
170.523,169.697,-0.00685878
170.513,169.697,0
170.533,169.697,0
170.503,169.697,-0.000467644
170.493,169.747,0
170.493,169.757,0
170.453,169.747,0
170.453,169.807,0
170.553,169.807,0
170.583,169.807,0
170.583,169.867,0
170.583,169.897,0
170.323,169.897,0
170.323,169.867,0
170.323,169.877,0
170.583,169.877,0
170.583,169.917,0
170.273,169.917,0
170.263,169.747,-0.00685866
170.353,169.747,-0.00685866
170.263,169.747,-0.000467636
170.343,169.747,-0.00685866
170.343,169.847,-0.00685843
170.343,169.857,-0.00685868
170.343,169.847,-0.00685843
170.393,169.847,-0.00685843
170.423,169.847,-0.00685843
170.473,169.847,-0.00685843
170.313,169.847,0
170.283,169.847,0
170.283,169.907,0
170.283,169.917,0
170.283,169.927,0
170.283,170.087,0
170.583,170.077,0
170.583,170.017,0
170.583,170.027,0
170.583,170.017,0
170.583,170.027,0
170.583,170.017,0
170.583,170.027,0
170.583,170.017,0
