ASK,BID,QUANTITY
174.697,173.483,0
174.713,174.113,0
175.077,174.113,0
175.397,174.113,0
175.227,173.823,0
174.817,173.833,0
175.227,173.823,0
175.227,173.833,0
175.227,173.823,0
175.227,173.833,0
175.227,173.823,0
175.227,173.823,0
175.227,173.833,0
175.227,173.833,0
175.227,173.823,0
175.227,173.833,0
175.227,173.823,0
175.227,173.833,0
175.957,173.933,0
175.957,173.993,0
175.937,174.573,0
175.927,174.863,0
176.577,174.863,0
176.577,175.123,0
176.577,175.383,0
176.837,175.383,0
177.227,175.383,0
177.227,175.733,0
176.937,175.733,0
177.267,175.743,0
177.267,175.733,0
177.367,175.733,0
177.267,175.733,0
177.267,175.763,0
176.957,175.763,0
176.957,175.733,0
176.957,175.763,0
176.957,175.733,0
176.057,175.733,0
175.747,175.383,0
176.057,174.833,0
176.057,174.563,0
176.057,174.033,0
176.057,174.403,0
176.057,174.313,0
176.057,174.433,0
176.057,174.713,0
176.247,174.753,0
176.247,174.713,0
176.017,174.713,0
175.967,174.713,0
175.967,174.333,0
175.967,174.333,0
175.967,174.023,0
175.967,174.333,0
175.967,174.713,0
175.857,174.713,0
175.517,174.613,0
175.237,174.613,0
175.237,174.273,0
175.237,174.283,0
175.097,174.283,0
175.047,174.283,0
175.047,174.293,0
175.097,174.293,0
175.097,174.283,0
175.097,174.313,0
176.107,175.193,0
175.777,174.853,0
175.767,174.593,0
175.787,174.883,0
175.767,174.883,0
175.767,174.303,0
175.767,174.913,0
175.817,174.933,0
175.817,174.973,0
175.967,174.973,0
175.967,174.993,-0.00702857
175.967,174.993,0
175.967,174.933,0
175.967,175.153,0
175.967,174.933,0
175.967,175.173,0
175.967,175.183,0
175.967,174.933,0
175.887,174.933,-0.00702866
176.067,175.143,0
175.687,175.313,0
175.787,175.313,0
175.707,175.313,0
175.537,175.313,0.00479223
175.547,174.933,0
175.707,174.953,0
175.707,175.113,0
175.707,175.303,0.000479217
175.707,174.953,0
176.427,175.323,0.00702868
175.917,175.103,0
175.917,175.113,-0.00702869
175.917,175.373,0
175.917,175.403,0
175.917,175.393,0.000479228
176.457,175.413,0
176.457,175.713,0
175.997,175.103,-0.00702861
175.997,175.293,0
176.157,175.293,-0.00702873
176.227,175.293,0
176.157,175.293,0
176.467,175.293,-0.00702873
176.467,175.293,-0.00702873
176.087,175.293,-0.000479231
176.087,175.303,-0.00702851
176.087,175.303,-0.00702851
176.017,175.303,0
176.087,175.303,0
176.087,175.613,0
175.977,175.613,0
176.337,175.773,0
176.337,175.323,0
176.447,175.743,0
176.447,175.293,0
