ASK,BID,QUANTITY
45.474,45.056,0
45.473,45.237,0
45.423,45.047,0
45.424,45.056,0
45.424,45.096,0
45.423,45.107,0
45.424,45.096,0
45.423,45.137,0
45.423,45.267,0
45.664,45.286,0
45.663,45.287,0
45.664,45.276,0
45.664,45.286,0
45.663,45.287,0
45.474,45.286,0
45.443,45.277,0
45.613,45.277,0
45.614,45.286,0
45.614,45.276,0
45.614,45.336,0
45.663,45.337,0
45.654,45.336,0
45.523,45.337,0
45.614,45.336,0
45.444,45.336,0
45.603,45.337,0
45.603,45.337,0
45.603,45.347,0
45.584,45.346,0
45.533,45.307,0
45.344,45.306,0
45.344,45.306,0
45.343,45.277,0
45.344,45.296,0
45.344,45.296,0
45.333,45.277,0
45.343,45.277,0
45.373,45.267,0
45.353,45.257,0
45.373,45.257,0
45.303,45.177,0
45.324,45.046,0
45.273,45.047,0
45.274,45.236,0
45.274,45.216,0
45.324,45.256,0
45.324,45.266,0
45.323,45.217,0
45.404,45.326,0
45.384,45.326,0
45.374,45.326,0
45.404,45.326,0
45.373,45.327,0
45.403,45.327,0
45.403,45.327,0
45.463,45.327,0
45.394,45.326,0
45.364,45.136,0
45.364,45.146,0
45.464,45.146,0
45.384,45.146,0
45.364,45.296,0
45.373,45.297,0
45.353,45.057,0
45.354,45.106,0
45.334,45.106,0
45.354,45.116,0
45.354,45.136,0
45.354,45.285,0
45.354,45.256,0
45.413,45.347,0
45.463,45.347,0
45.363,45.177,0
45.354,45.176,0
45.354,45.166,0
45.354,45.176,0
45.354,45.166,0
45.364,45.196,0
45.363,45.237,0
45.364,45.266,0
45.363,45.237,0
45.313,45.237,0
45.363,45.167,0
45.363,45.177,0
45.364,45.166,0
45.273,45.177,0
45.364,45.186,0
45.364,45.276,0
45.364,45.176,0
45.363,45.187,0
45.364,45.176,0
45.334,45.176,0
45.363,45.177,0
45.314,45.186,0
45.314,45.176,0
45.313,45.237,0
45.293,45.237,0
45.293,45.257,0
45.313,45.257,0
45.294,45.236,0
45.453,45.237,0
45.433,45.237,0
45.308,45.236,0
45.303,45.267,0
45.304,45.176,0
45.303,45.267,0
45.303,45.197,0
45.303,45.207,0
45.304,45.196,0
45.293,45.197,0
45.253,45.197,0
45.304,45.196,0
45.303,45.177,0
45.263,45.177,0
45.434,45.196,0
45.434,45.176,0
45.433,45.197,0
45.433,45.187,0
45.424,45.176,0
45.424,45.176,0
45.304,45.246,0
45.304,45.236,0
45.464,45.236,0
45.463,45.247,0
45.463,45.177,0
45.463,45.277,0
45.464,45.186,0
45.353,45.177,0
45.463,45.177,0
45.464,45.176,0
45.334,45.296,0
45.463,45.347,0
45.464,45.296,0
45.464,45.336,0
45.373,45.297,0
45.355,45.307,0
45.463,45.307,0
45.464,45.186,0
45.463,45.177,0
45.464,45.176,0
45.364,45.306,0
45.364,45.346,0
45.364,45.336,0
45.374,45.336,0
45.374,45.346,0
45.394,45.346,0
45.433,45.347,0.000459786
45.464,45.336,0.0613039
45.434,45.386,0.0613033
45.464,45.386,0.0613033
45.463,45.357,0.0613021
45.453,45.367,0.0613037
45.463,45.367,0.0613037
45.433,45.387,0.0613026
45.463,45.387,0.0613026
45.464,45.386,0.0613033
45.413,45.367,0.0613037
