ASK,BID,QUANTITY
662.99,658.32,0
663.13,658.32,0
663.13,658.31,0
664.66,658.64,0
664.66,659.15,0
663.13,659.14,0
664.66,659.14,0
664.66,659.22,0
662.88,659.22,0
663.14,659.22,0
662.88,659.22,0
663.14,659.22,0
663.14,659.21,0
664.66,659.21,0
664.66,659.22,0
664.66,659.22,0
664.66,659.21,0
664.66,659.22,0
662.89,659.95,0
662.88,660.02,0
662.89,660.02,0
662.88,660.02,0
662.9,660.02,0
662.9,660.02,0
662.89,658.63,0
662.9,658.63,0
662.9,658.63,0
662.88,658.63,0
662.89,658.63,0
662.9,658.63,0
662.89,658.63,0
662.88,658.63,0
662.9,658.63,0
662.87,658.63,0
662.9,658.63,0
662.9,658.63,0
662.9,658.63,0
662.88,658.63,0
662.88,658.98,0
662.88,658.99,0
662.88,658.63,0
662.88,660.2,0
661.18,660.2,0
661.17,658.34,0
661.17,658.31,0
661.18,658.31,0
660.35,658.31,0
661.12,658.31,0
660.51,658.31,0
661.12,657.86,0
660.01,657.98,0
660.01,657.97,0
659.74,658.35,0
659.74,657.96,0
659.74,657.97,0
659.74,657.96,0
659.74,657.97,0
659.74,658.17,0
659.74,658.79,0
659.74,658.62,0
659.74,659.28,0
661.01,659.28,0
661.01,658.9,0
661.12,658.9,0
661.01,658.9,0
661.11,658.9,0
661.12,658.9,0
661.11,658.9,0
661.12,658.9,0
661.1,658.9,0
661.1,658.91,0
661.11,659.48,0
661.11,658.92,0
661.11,659.95,0
661.11,659.21,0
661.11,659.55,0
661.11,659.56,0
661.11,659.57,0
661.11,659.74,0
661.11,659.75,0
661.39,660.31,0
661.39,660.74,0
661.39,660.31,0
660.79,660.03,0
661.38,660.03,0
661.39,660.03,0
660.59,660.03,0
661.39,660.03,0
660.93,660.23,0
660.93,660.23,0
661.38,660.23,-0.00562923
661.38,660.03,-0.00562903
661.39,660.03,-0.00562903
661.39,659.72,-0.00562922
661.39,659.78,-0.00562901
660.22,659.63,-0.00344554
660.65,659.4,0
660.07,658.24,-0.0009
660.07,658.44,-0.009
660.57,658.44,-0.0132
660,658.45,-0.0009
660.57,659.25,-0.00907701
660.57,658.64,-0.0132
660.09,658.64,-0.0009
660.57,658.63,-0.0132
660.57,658.32,-0.0132
660.57,658.44,-0.0132
660.57,658.43,0.0132
660.57,658.32,0
660.57,658.33,-0.0132
660.57,658.31,-0.0132
660.57,658.34,-0.0132
660.45,658.34,-0.0009
660.45,658.39,-0.0132
660.44,658.42,-0.0132
660.45,658.42,0
660.42,658.42,-0.0009
660.41,658.46,0
660.41,658.76,0
660.39,658.78,0
660.39,658.79,0
660.39,658.8,0
659.84,658.8,0
660.38,658.8,0
660.38,658.79,0
660.39,658.81,0
660.38,658.82,0
660.39,658.82,0
660.39,659.1,0
660.39,658.82,0
660.39,658.81,0
660.39,658.84,0
660.38,658.84,0
660.38,658.85,0
660.39,658.85,0
660.38,658.86,0
660.855,660.15,0
661.65,660.15,0
661.8,659.64,0
661.65,660.17,0
661.52,660.15,0
661.08,660.16,0
661.07,660.16,0
660.94,659.49,0
661.58,659.49,0
661.06,659.49,0
661.06,659.47,-0.00581637
661.06,659.48,-0.00566805
661.99,659.48,0
661.47,660.41,0.00038383
661.99,660.41,0.0056295
661.99,659.99,0
662.48,659.99,0
662.62,659.99,0.00562918
662.47,659.99,0.00562918
662.62,659.99,0.00562918
662.48,659.99,0.00562918
662.48,660,0.000383805
661.99,660,0.00562914
661.22,660,0
661.98,659.99,0
661.99,659.79,0
661.99,659.99,0
661.99,660,0.000383805
661.99,660,0.00562914
661.99,660.01,0.000383803
661.99,660.01,0.0056291
661.99,660.02,0.0003838
661.99,660.02,0.0003838
661.99,660.04,0.000383795
661.99,660.03,0.00562903
661.99,660.35,0.000383782
661.99,660.47,0.000383815
661.99,660.48,0.000383813
660.9,660.27,0.0055438
661.23,659.1,0
660.91,659.1,0
660.91,659.34,0
661.23,659.34,0
661.23,659.1,0
660.44,659.1,-0.000770597
661.23,659.1,0
660.84,659.1,0
660.84,659.07,0
660.83,659.06,0
660.83,659.51,0.000356121
660.83,659.52,0.0050748
661.23,659.52,0.0050748
661.23,659.33,0
661.23,659.06,0
661.22,659.55,0.000315737
661.23,659.55,0.00463081
661.62,660.48,0.00562925
661.62,660.09,0.000383783
661.62,660.49,0.00038381
662.05,660.49,0.00562922
662.16,660.49,0.00562922
662.16,660.52,0.000383803
662.2,660.13,0
662.24,660.54,0
662.24,660.58,0
662.63,660.97,0
662.57,660.2,-0.00562934
662.57,660.19,0
662.61,660.2,-0.00562934
662.49,660.2,-0.00562934
662.43,660.18,-0.000383823
662.37,660.21,-0.000383816
662.37,660.21,0
662.25,660.6,0.00562883
662.25,660.94,0
662.24,660.59,-0.000383786
662.24,660.41,0
662.24,660.46,0
662.2,660.41,0
661.79,660.41,0
661.79,660.85,0
660.9,659.05,-0.0132
661.13,659.19,-0.0120735
661.13,659.05,-0.0132
661.13,659.31,-0.0102938
661.13,659.2,-0.011925
661.13,659.31,-0.0102938
661.13,659.2,-0.011925
661.61,660.51,0
661.5,660.41,0
661.5,659.39,-0.00910744
661.5,659.28,0.0107382
661.5,659.4,0.000610844
661.5,659.4,0.00895905
661.5,659.29,0
661.5,659.4,0.000610844
661.5,659.41,0.000600788
661.49,659.41,0.00881156
661.49,659.59,-0.00614317
661.87,659.34,-0.00984856
661.51,659.32,0
661.49,659.22,0
661.49,659.32,-0.0101454
661.49,659.31,0
661.49,659.22,0
661.49,659.31,0
661.49,659.22,-0.011629
661.49,659.22,0
661.49,659.31,-0.0102938
661.49,659.3,-0.0104423
661.49,659.32,-0.0101454
661.49,659.3,0.0104423
661.49,659.33,0
661.49,659.3,-0.0104423
661.49,659.33,0
661.49,659.3,-0.0104423
661.49,659.33,0.000681612
661.49,659.33,0.000681612
661.49,659.3,0
661.49,659.34,0.000671493
661.49,659.35,0
661.49,659.39,0
661.49,659.3,-0.0104423
661.49,659.32,0
661.49,659.3,-0.0104423
661.49,659.37,0
661.49,659.3,-0.0104423
661.49,659.3,-0.0104423
661.49,659.33,0
661.49,659.3,-0.0104423
661.49,659.3,-0.0104423
661.49,659.38,0
661.49,659.3,0
661.49,659.41,0.000600788
661.49,659.3,0
661.49,659.61,0.000398692
661.49,659.82,0.000383787
661.49,659.61,0.00584748
661.49,660.33,0.00562888
661.49,660.37,0.000383839
661.49,660.38,0.000383837
661.48,660.37,0.00562964
661.48,660.87,0.00562968
661.83,660.37,0.00562964
661.48,660.37,0.00562964
661.84,660.37,0.00562964
661.48,660.5,0.000383808
661.84,660.5,0.00562918
661.85,660.5,0.00562918
661.84,660.5,0.00562918
661.84,660.37,0
661.85,660.37,0.00562964
661.74,660.37,0
660.74,659.83,0
661.37,659.83,0
661.38,659.83,0
661.38,659.83,0
661.36,659.83,0
661.36,659.83,0
661.02,659.83,0
661.78,659.97,0
661.85,659.97,0
661.85,659.97,0
661.78,659.97,0.00562925
661.77,659.97,0.00562925
661.77,660.07,0.00562889
661.76,660.07,0.00562889
661.77,660.07,0.00562889
661.79,660.07,0.00562889
661.75,660.07,0.00562889
661.76,660.46,0.000383817
661.3,660.07,0.00562889
661.3,660.3,0.000383794
661.3,660.21,0.000383816
661.3,660.12,0.00562962
661.3,660.11,0.00562965
661.3,660.33,0.00562888
661.3,660.33,0.00562888
661.21,660.33,0.00562888
661.3,660.33,0.00562888
661.3,660.33,0
661.19,660.33,0.00562888
660.79,659.41,0
660.79,659.54,0
660.79,659.47,0
660.79,659.44,0
660.79,659.64,0
660.79,659.65,0
661.65,659.62,0
661.75,659.62,0
661.65,659.74,0
661.85,659.75,0
661.57,659.75,0.0037736
661.58,659.41,0
661.58,659.61,0.000398692
661.58,659.41,0
661.58,659.41,0
661.2,659.69,0.00466217
661.55,659.69,0.00466217
660.75,659.71,0.000297658
660.75,659.58,0
660.75,659.48,0
661.55,659.48,0
661.55,659.41,0
661.55,659.58,0
661.55,659.55,0.00673642
661.55,659.41,0
660.73,659.41,0
661.55,659.41,0
661.55,659.58,0
661.55,659.58,0.00629148
661.55,659.69,0.000317875
661.55,659.41,0
661.55,659.7,0.000307767
661.55,659.72,0.00421831
661.55,659.72,0.000287612
661.58,659.41,0.00881156
661.58,659.41,0.00881156
661.58,659.79,0.000383794
661.58,659.41,0
661.58,659.65,0.00525433
661.58,659.41,0
661.25,659.41,0
660.66,659.41,0
660.44,659.41,0
660.36,659.41,0
660.8,659.41,0
660.76,659.41,0
660.76,659.41,0
660.75,659.41,0
660.75,659.41,0
660.75,659.41,0
660.77,659.41,0
660.75,659.41,0.00881156
660.77,659.41,0.00881156
660.42,659.41,0.00881156
660.42,659.81,0.000383789
660.94,659.81,0.00562891
660.94,659.47,0.00792224
660.94,659.41,0.00881156
660.94,659.59,0.000418853
660.94,659.41,0.00881156
660.94,659.55,0.00673642
660.94,660.07,0.000383788
660.94,659.41,0.00881156
660.94,659.41,0.00881156
660.94,660.28,0.000383799
660.94,659.72,0
660.94,659.62,0.00569918
660.94,659.73,0.00407007
660.94,659.41,0
660.94,659.66,0.000348202
660.94,659.41,0
660.94,659.78,0
660.94,659.77,0.00347714
660.94,659.41,0
660.94,660.06,0
660.58,660.06,0.00562893
660.58,660.02,0.00562907
661.04,660.08,0.00562886
661.04,660.2,0.000383818
661.04,660.08,0.00562886
661.04,660.56,0.000383793
661.05,660.08,0.00562886
661.04,659.47,0
661.04,659.47,0.00792224
660.88,659.47,0
660.98,659.47,0
660.63,659.47,0
660.26,659.47,0
660.26,659.62,0
660.26,659.63,0
660.26,659.93,0
660.99,659.63,0
660.99,659.63,0.0055509
660.82,659.63,0.0055509
660.7,659.63,0.0055509
660.99,659.63,0.0055509
660.99,659.62,0.00569918
660.69,659.63,0.0055509
660.99,659.63,0.0055509
660.66,659.63,0.0055509
660.99,659.63,0
660.63,659.63,0
660.99,659.63,0
660.62,659.63,0
660.7,659.63,0
660.7,659.64,0.00036836
660.73,659.64,0.00540261
660.99,659.64,0
660.71,659.64,0
660.99,659.64,0
660.63,659.64,0
660.99,659.64,0
660.7,659.64,0.00540261
660.99,659.64,0
660.64,659.64,0
660.96,659.64,0
660.99,659.64,0
660.62,659.64,-0.00036836
660.94,659.64,0
660.95,659.64,-0.00540261
660.74,659.64,0
660.68,659.64,-0.00036836
660.95,659.64,0
660.71,659.64,-0.00036836
660.95,659.64,0
660.95,659.64,-0.00540261
660.78,659.64,-0.00036836
660.86,659.64,0
660.95,659.64,0
660.95,659.64,0
660.75,659.64,0
660.95,659.64,0
660.95,659.64,0
660.95,659.64,0
660.95,659.64,0
660.61,659.64,-0.00036836
660.66,659.64,-0.00036836
660.95,659.64,0.00540261
660.93,659.63,0
660.95,659.63,0
660.95,659.73,0.00407007
660.95,659.73,0.00407007
660.63,659.74,0.00392183
660.63,659.73,0.00407007
660.63,659.63,0
660.64,659.73,0.00407007
660.64,659.63,-0.0055509
660.6,659.63,0
660.6,659.73,0.00407007
660.6,659.63,0
660.6,659.73,0
660.6,659.73,0
660.56,659.73,0
660.56,659.76,0.000247184
660.95,659.73,0.0040084
660.74,659.73,0.00407007
660.95,659.73,0.00407007
660.74,659.73,0.00407007
660.86,659.73,0.00407007
660.95,659.73,0.00407007
660.74,659.73,0.00407007
660.74,659.63,0
660.74,659.75,0.000257291
660.74,659.76,0.000247184
661.48,659.76,0.00362537
661.48,659.77,0.000237078
661.33,659.77,0.00347714
