ASK,BID,QUANTITY
118.624,117.086,0
118.283,117.087,0
118.114,117.086,0
118.114,117.086,0
118.113,117.087,0
118.083,117.417,0
118.044,117.416,0
118.044,117.416,0
118.044,117.416,0
118.124,117.416,0
118.123,117.417,0
118.124,117.416,0
118.123,117.417,0
118.123,117.417,0
118.124,117.416,0
118.124,117.416,0
118.124,117.416,0
118.124,117.626,0
118.124,117.666,0
118.624,117.746,0
118.173,117.747,0
118.173,117.747,0
118.623,117.797,0
118.354,117.796,0
118.364,117.796,0
118.404,117.796,0
118.623,117.797,0
118.614,117.926,0
118.643,117.927,0
118.644,117.916,0
118.584,117.916,0
118.834,118.116,0
118.834,118.116,0
118.834,118.226,0
118.733,118.227,0
118.734,118.126,0
118.733,118.127,0
118.733,118.267,0
118.613,118.267,0
118.573,118.267,0
118.503,118.247,0
118.363,118.247,0
118.364,118.116,0
118.484,118.116,0
118.473,118.117,0
118.473,117.947,0
118.423,117.837,0
118.164,117.836,0
118.423,117.837,0
118.144,117.836,0
118.433,117.977,0
118.433,117.797,0
118.403,117.797,0
118.373,117.797,0
118.373,117.837,0
118.374,117.836,0
118.364,117.836,0
118.374,118.116,0
118.373,118.117,0
118.614,118.126,0
118.613,118.197,0
118.644,118.196,0
118.733,118.197,0
118.493,118.117,0
118.494,118.116,0
118.603,118.117,0
118.603,118.117,0
118.804,118.426,0
118.863,118.427,0
118.864,118.426,0
118.854,118.426,0
118.864,118.426,0
118.853,118.427,0
118.864,118.426,0
118.863,118.567,0
118.723,118.437,0
118.713,118.437,0
118.714,118.426,0
118.723,118.427,0
118.664,118.396,0
118.664,118.116,0
118.663,118.117,0
118.663,118.117,0
118.543,118.117,0
118.444,118.116,0
118.363,118.117,0
118.363,118.117,0
118.333,117.947,0
118.334,117.946,0
118.334,117.946,0
118.334,117.946,0
118.203,117.947,0
118.204,117.946,0
118.203,118.077,0
118.173,117.947,0
118.164,117.936,0
118.133,117.747,0
118.044,117.746,0
117.914,117.746,0
118.153,117.747,0
118.153,117.747,0
118.213,117.757,0
118.214,117.806,0
118.213,117.847,0
118.584,117.876,0
118.584,117.876,0
118.424,118.066,0.00543233
118.573,118.067,0
118.574,118.056,0.00640213
118.574,118.056,0.00640213
118.574,118.056,0.00543211
118.814,118.316,0.00607224
118.964,118.346,0.00715663
118.854,118.346,0.00607229
118.853,118.357,0.00607244
118.853,118.357,0.0071568
119.084,118.356,0.00715683
119.083,118.357,0.00607244
118.744,118.376,0.0071567
118.744,118.376,0.00607235
118.843,118.507,0.00715662
118.853,118.507,0.00715662
118.903,118.507,0.00715662
118.914,118.626,0.00715694
118.894,118.626,0.00715694
119.004,118.626,0.00715694
118.964,118.646,0.00607244
119.243,118.877,0.00715661
119.244,118.846,0.00715658
119.124,118.786,0.00715696
119.123,118.787,0.00607254
119.104,118.786,0.00715696
119.044,118.736,0.00715702
118.894,118.736,0.00487978
119.104,118.776,0.00715676
119.103,118.877,0.00715661
119.103,118.877,0.00607228
