ASK,BID,QUANTITY
326.384,326.096,0
326.383,326.107,0
326.704,326.406,0
326.694,326.406,0
326.694,326.476,0
326.693,326.477,0
326.704,326.586,0
326.704,326.576,0
326.703,326.587,0
326.794,326.586,0
326.713,326.577,0
326.674,326.476,0
326.993,326.767,0
326.834,326.496,0
327.003,326.767,0
327.453,326.947,0
327.354,326.906,0
327.443,326.907,0
327.064,326.856,0
326.904,326.746,0
326.953,326.747,0
326.954,326.736,0
326.944,326.736,0
326.953,326.837,0
327.054,326.846,0
327.053,326.907,0
326.974,326.816,0
326.954,326.736,0
326.983,326.737,0
326.974,326.736,0
327.343,326.807,0
327.154,326.916,0
327.153,326.937,0
327.214,327.016,0
327.214,326.976,0
327.214,327.016,0
327.454,327.146,0
327.403,327.147,0
327.283,327.107,0
327.283,327.127,0
327.293,327.127,0
327.314,327.026,0
327.394,327.096,0
327.393,327.157,0
327.394,327.116,0
327.394,327.146,0
327.394,327.156,0
327.294,327.046,0
327.294,327.046,0
327.294,327.086,0
327.373,327.137,0
327.373,327.137,0
327.263,327.127,0
327.244,327.066,0
327.234,327.026,0
327.244,327.016,0
327.264,327.016,0
327.094,326.906,0
327.004,326.746,0
327.004,326.606,0
327.003,326.577,0
327.004,326.546,0
327.004,326.766,0
327.004,326.646,0
326.924,326.646,0
326.923,326.647,0
327.003,326.647,0
326.923,326.647,0
326.863,326.647,0
327.004,326.736,0
327.004,326.746,0
327.004,326.736,0
327.003,326.747,0
327.003,326.777,0
326.913,326.717,0
327.004,326.696,0
327.004,326.756,0
327.194,326.836,0
327.153,326.857,0
327.263,326.887,0
327.163,326.867,0
327.073,326.777,0
327.073,326.757,0
326.953,326.687,0
326.944,326.686,0
326.953,326.697,0
326.954,326.786,0
326.953,326.697,0
326.954,326.776,0
326.943,326.777,0
326.954,326.776,0
326.934,326.756,0
326.884,326.686,0
326.883,326.697,0
326.893,326.697,0
326.893,326.717,0
326.894,326.716,0
326.893,326.707,0
326.893,326.717,0
326.893,326.707,0
326.893,326.717,0
326.894,326.716,0
326.893,326.707,0
326.894,326.716,0
326.894,326.706,0
326.904,326.706,0
326.903,326.757,0
326.904,326.766,0
326.884,326.766,0
326.984,326.866,0
327.073,326.917,0
327.083,326.927,0
327.203,326.967,0
327.184,326.976,0
327.184,326.946,0
327.164,326.926,0
327.053,326.917,0
327.063,326.917,0
327.053,326.917,0
327.063,326.917,0
327.053,326.867,0
327.064,326.866,0
327.054,326.866,0
327.063,326.867,0
327.054,326.866,0
327.074,326.956,0
327.073,326.897,0
327.084,326.896,0
327.083,326.897,0
327.084,326.896,0
327.074,326.896,0
327.084,326.866,0
327.083,326.897,0
327.044,326.896,0
327.044,326.916,0
327.053,326.927,0
327.153,326.927,0
327.063,326.917,0
326.964,326.916,0
327.114,326.886,0
327.074,326.916,0
326.944,326.866,0
326.913,326.787,0
326.874,326.756,0
326.884,326.756,0
326.973,326.777,0
326.974,326.766,0
326.974,326.866,0
326.974,326.866,0
326.964,326.866,0
326.964,326.766,0
326.974,326.866,0
327.073,326.867,0
327.103,326.977,0
327.114,326.976,0
327.164,326.976,0
327.203,327.067,0
327.203,327.037,0
327.263,327.167,0
327.273,327.167,0
327.283,327.197,0
327.363,327.277,0
327.373,327.277,0
327.374,327.236,0
327.354,327.226,0
327.363,327.227,0
327.354,327.226,0
327.364,327.226,0
327.353,327.227,0
327.263,327.087,0
327.254,327.056,0
327.173,326.917,0
327.183,326.997,0
327.194,327.006,0
327.184,327.006,0
327.184,327.056,0
327.194,327.056,0
327.234,327.016,0
327.264,327.016,0
327.223,327.007,0
327.194,326.986,0
327.343,327.097,0
327.184,327.096,0
327.144,327.076,0
327.124,327.036,0
327.254,327.036,0
327.114,326.976,0
327.143,326.997,0
327.073,326.987,0
327.103,326.987,0
327.154,326.986,0
327.083,327.027,0
327.073,326.917,0
327.074,326.916,0
327.114,326.916,0
326.984,326.916,0
327.134,326.956,0
327.174,326.986,0
327.274,327.116,0
327.333,327.117,0
327.343,327.127,0
327.333,327.127,0
327.344,327.126,0
327.254,327.206,0
327.333,327.207,0
327.323,327.207,0
327.334,327.206,0
327.334,327.216,0
327.333,327.217,0
327.354,327.216,0
327.364,327.216,0
327.354,327.206,0
327.354,327.206,0
327.443,327.317,0
327.443,327.227,0
327.453,327.317,0
327.393,327.227,0
327.353,327.257,0
327.453,327.257,0
327.453,327.267,0
327.393,327.267,0
327.364,327.266,0
327.374,327.266,0
327.363,327.267,0
327.373,327.267,0
327.454,327.266,0
327.454,327.216,0
327.454,327.336,0
327.504,327.376,0
327.543,327.447,0
327.544,327.456,0
327.544,327.446,0
327.603,327.527,0
327.693,327.607,0
327.643,327.607,0
327.694,327.606,0
327.644,327.606,0
327.763,327.597,0
327.754,327.606,0
327.764,327.636,0
327.763,327.687,0
327.764,327.696,0
327.803,327.707,0
327.783,327.707,0
327.804,327.706,0
327.804,327.736,0
327.803,327.777,0
327.903,327.787,0
327.903,327.767,0
327.854,327.766,0
327.794,327.766,0
327.853,327.777,0
327.903,327.767,0
327.954,327.766,0
327.934,327.766,0
327.933,327.767,0
327.944,327.786,0
328.003,327.857,0
328.004,327.886,0
328.003,327.957,0
328.003,327.887,0
328.003,327.857,0
328.004,327.856,0
327.993,327.857,0
328.384,328.296,0
328.384,328.286,0
328.344,328.166,0
328.373,328.167,0
328.244,328.036,0
328.234,328.026,0
328.184,328.006,0
328.084,328.006,0
328.243,328.007,0
328.234,328.006,0
328.163,328.007,0
328.134,328.026,0
328.233,328.027,0
328.234,328.016,0
328.234,328.016,0
328.264,328.116,0
328.264,328.056,0
328.264,328.116,0
328.264,328.056,0
328.143,328.007,0
328.113,327.857,0
327.954,327.846,0
327.923,327.847,0
327.884,327.626,0
327.883,327.607,0
327.883,327.627,0
327.963,327.657,0
327.963,327.647,0
327.964,327.646,0
328.153,327.827,0
328.063,327.827,0
328.153,327.827,0
328.033,327.827,0
327.924,327.826,0
328.024,327.826,0
327.923,327.827,0
328.024,327.826,0
328.034,327.826,0
328.023,327.827,0
328.023,327.827,0
327.713,327.517,0
327.704,327.516,0
327.604,327.466,0
327.523,327.377,0
327.523,327.367,0
327.613,327.377,0
327.613,327.397,0
327.613,327.417,0
327.613,327.437,0
327.604,327.396,0
327.624,327.416,0
327.623,327.517,0
327.634,327.516,0
327.734,327.516,0
327.723,327.517,0
327.733,327.517,0
327.724,327.516,0
327.794,327.626,0
327.643,327.497,0
327.713,327.497,0
