ASK,BID,QUANTITY
447.343,446.637,0
447.344,446.456,0
447.343,445.857,0
447.384,446.076,0
446.853,446.077,0
446.853,446.077,0
446.473,446.077,0
447.103,446.077,0
446.554,446.076,0
447.244,446.306,0
446.783,446.257,0
447.063,446.507,0
447.244,446.446,0
447.033,446.447,0
447.243,445.497,0
447.024,445.496,0
446.284,445.496,0
446.274,445.486,0
445.944,445.486,0
445.943,445.107,0
445.943,445.107,0
446.273,444.997,0
446.274,445.026,0
446.743,445.747,0
447.243,445.747,0
446.733,445.747,0
446.733,445.997,0
446.724,445.996,0
446.713,445.997,0
446.693,445.997,0
446.344,445.996,0
446.334,445.996,0
446.714,446.156,0
446.713,445.997,0
446.663,445.997,0
446.664,445.996,0
446.633,445.997,0
446.613,445.997,0
446.603,445.997,0
446.774,445.996,0
446.664,445.996,0
446.643,445.997,0
446.634,445.996,0
446.623,445.997,0
446.583,445.997,0
446.563,445.997,0
446.534,445.996,0
446.834,446.176,0
446.814,446.176,0
446.804,446.176,0
446.793,446.177,0
446.913,446.177,0
447.033,446.187,0
447.003,446.487,0
446.993,446.487,0
447.003,446.487,0
446.994,446.486,0
446.983,446.487,0
446.923,446.587,0
446.924,446.486,0
447.223,446.697,0
447.223,446.487,0
447.223,446.487,0
447.244,446.506,0
446.894,446.176,0
447.244,446.526,0
447.064,446.526,0
447.153,446.787,0
447.244,446.546,0
447.244,446.536,0
446.973,446.697,0
446.814,446.606,0
446.813,446.497,0
447.044,446.486,0
446.854,446.506,0
446.853,446.497,0
446.854,446.486,0
446.854,446.526,0
446.774,446.496,0
447.003,446.267,0
447.004,446.176,0
446.993,446.177,0
446.414,446.206,0
446.973,446.177,0
446.943,446.177,0
446.974,446.176,0
446.973,446.397,0
446.973,446.177,0
446.903,446.177,0
446.844,446.206,0
446.604,446.206,0
446.593,446.207,0
446.263,445.747,0
446.364,445.776,0
446.364,445.776,0
446.534,445.896,0
446.283,445.897,0
446.353,445.897,0
446.344,445.896,0
446.703,446.097,0
446.864,446.236,0
446.663,446.267,0
447.243,446.457,0
447.244,446.266,0
447.134,446.476,0
447.403,446.777,0
447.624,446.946,0
447.404,446.496,0
447.404,446.366,0
447.624,447.196,0
447.503,446.917,0
447.504,446.906,0
447.503,446.927,0
447.443,446.927,0
447.383,446.987,0
447.384,446.936,0
447.383,446.987,0
447.384,446.936,0
447.454,446.936,0
447.384,446.936,0
447.254,446.936,0
447.383,446.937,0
446.813,446.327,0
447.044,446.186,0
447.044,446.376,0
446.983,446.377,0
446.864,446.376,0
447.084,446.366,0
446.484,446.326,0
446.854,446.156,0
446.783,446.097,0
446.723,445.997,0
446.664,445.996,0
446.753,445.997,0
446.693,445.997,0
446.514,445.996,0
446.513,446.007,0
446.754,446.236,0
447.203,446.527,0
447.203,446.517,0
447.204,446.746,0
447.203,446.377,0
447.064,446.626,0
447.063,446.377,0
447.194,446.546,0
446.794,446.546,0
446.664,446.376,0
446.483,446.187,0
446.404,446.186,0
446.594,446.186,0
446.314,446.036,0
446.163,445.877,0
446.853,445.887,0
446.863,445.887,0
446.863,445.887,0
446.384,446.126,0
446.384,445.986,0
446.213,445.987,0
446.103,445.987,0
446.773,446.007,0
446.773,445.927,0
446.773,445.877,0
446.433,446.047,0
446.433,445.907,0
446.433,445.877,0
446.684,446.006,0
446.684,445.876,0
446.763,446.047,0
446.693,446.227,0
446.353,445.997,0
446.473,445.997,0
446.364,446.176,0
446.364,446.096,0
446.113,445.817,0
446.214,445.976,0
446.283,445.747,0
446.193,445.747,0
446.173,445.747,0
446.173,445.767,0
446.143,445.767,0
446.114,445.866,0
446.563,445.877,0
446.564,445.876,0
446.483,445.877,0
446.484,445.746,0
446.483,446.067,0
446.364,445.806,0
446.403,446.227,0
446.403,446.077,0
446.194,445.816,0
446.554,446.076,0
446.563,445.917,0
446.563,445.947,0
446.504,445.916,0
446.503,445.997,0
446.164,445.776,0
446.124,445.676,0
446.124,445.716,0
446.123,445.767,0
446.123,445.797,0
446.064,445.796,0
446.043,445.797,0
446.173,445.797,0
446.173,445.787,0
445.983,445.717,0
445.913,445.557,0
445.903,445.557,0
445.773,445.557,0
445.404,445.116,0
445.713,445.117,0
445.323,445.117,0
445.404,445.116,0
445.873,445.117,0
446.044,445.116,0
445.943,445.117,0
445.493,445.117,0
445.604,445.376,0
445.604,445.376,0
445.534,445.386,0
446.263,445.317,0
446.504,445.876,0
446.054,445.316,0
446.224,445.316,0
446.224,445.426,0
446.224,445.646,0
446.224,445.616,0
446.474,445.626,0
446.474,445.656,0
446.473,445.847,0
446.473,445.847,0
445.993,445.657,0
446.004,445.656,0
445.873,445.657,0
445.984,445.656,0
445.873,445.657,0
446.474,445.756,0
446.473,445.887,0
446.504,446.036,0
446.503,445.657,0
446.984,446.466,0
446.734,446.466,0
446.984,446.326,0
446.983,446.457,0
446.784,446.456,0
447.024,446.726,0
447.054,446.326,0
446.503,446.187,0
446.554,446.186,0
446.363,446.187,0
