ASK,BID,QUANTITY
483.603,483.497,0
483.663,483.357,0
483.973,483.297,0
483.973,483.607,0
483.974,483.306,0
483.913,483.377,0
483.973,483.307,0
483.973,483.307,0
483.974,483.296,0
483.944,483.626,0
483.953,483.157,0
483.954,483.216,0
483.953,483.197,0
483.953,483.167,0
483.954,483.156,0
483.964,483.156,0
484.024,483.366,0
484.053,483.677,0
484.054,483.496,0
484.053,483.497,0
484.043,483.497,0
484.014,483.496,0
483.994,483.496,0
484.124,483.496,0
484.133,483.817,0
484.124,483.496,0
484.133,483.497,0
484.243,483.497,0
484.234,483.496,0
484.243,483.497,0
484.244,483.496,0
484.244,483.496,0
484.073,483.497,0
484.084,483.496,0
484.243,483.497,0
484.434,483.496,0
484.164,483.526,0
484.164,483.526,0
484.164,483.576,0
484.164,483.576,0
484.173,483.577,0
484.163,483.577,0
484.173,483.717,0
483.973,483.717,0
484.173,483.717,0
484.174,483.896,0
484.173,483.717,0
484.064,483.716,0
484.174,483.716,0
484.054,483.716,0
483.973,483.657,0
483.964,483.146,0
483.894,483.146,0
483.893,483.347,0
483.864,483.346,0
483.963,483.347,0
483.814,483.346,0
483.573,483.147,0
483.233,483.037,0
483.344,482.896,0
483.343,482.897,0
483.353,482.947,0
483.153,482.887,0
483.093,482.837,0
483.163,482.797,0
483.033,482.657,0
481.954,481.746,0
482.023,481.727,0
482.023,481.777,0
481.913,481.777,0
481.953,481.727,0
481.863,481.477,0
481.834,481.486,0
481.863,481.457,0
481.853,481.297,0
481.853,481.497,0
481.783,481.267,0
481.783,481.297,0
481.734,481.296,0
481.643,481.277,0
481.644,481.286,0
481.643,481.297,0
481.734,481.286,0
481.734,481.186,0
481.573,481.187,0
481.503,481.187,0
481.503,481.247,0
481.563,481.397,0
481.784,481.416,0
481.853,481.567,0
481.954,481.566,0
481.954,481.336,0
481.964,481.406,0
481.964,481.396,0
481.963,481.397,0
481.944,481.406,0
481.964,481.406,0
481.863,481.397,0
481.764,481.246,0
481.893,481.597,0
481.883,481.407,0
481.904,481.396,0
481.814,481.406,0
481.814,481.406,0
481.854,481.406,0
481.884,481.506,0
482.313,481.507,0
482.303,481.587,0
482.303,481.667,0
481.963,481.637,0
482.053,481.507,0
482.034,481.506,0
482.033,481.607,0
482.043,481.607,0
482.084,481.506,0
482.083,481.817,0
482.313,481.897,0
482.303,481.897,0
482.114,481.896,0
482.134,481.906,0
482.154,481.906,0
482.123,481.907,0
482.133,481.937,0
482.664,482.286,0
482.663,482.297,0
482.473,482.217,0
482.283,481.807,0
482.294,482.186,0
482.253,481.727,0
482.264,481.726,0
482.293,481.727,0
482.254,481.726,0
482.254,481.816,0
482.293,481.817,0
482.294,482.096,0
482.334,481.816,0
482.293,481.727,0
482.293,481.847,0
482.253,481.857,0
482.334,482.036,0
482.663,482.227,0
482.673,482.197,0
482.673,482.197,0
482.684,482.196,0
482.683,482.187,0
482.783,482.197,0
482.783,481.897,0
482.644,482.176,0
482.264,482.036,0
482.234,481.886,0
482.264,481.886,0
482.234,481.906,0
