ASK,BID,QUANTITY
113.544,112.896,0
113.514,112.816,0
113.684,112.826,0
113.683,112.817,0
113.244,112.816,0
113.134,112.816,0
113.123,113.007,0
113.113,112.957,0
113.133,112.997,0
113.103,112.997,0
113.133,112.997,0
113.234,112.996,0
113.233,113.037,0
113.254,113.076,0
113.244,112.996,0
113.224,112.996,0
113.254,113.016,0
113.114,113.066,0
113.063,112.997,0
113.114,112.866,0
113.033,112.867,0
113.054,112.816,0
113.053,112.817,0
113.154,112.896,0
113.153,112.957,0
113.143,112.957,0
113.163,112.997,0
113.153,112.997,0
113.154,112.916,0
113.164,112.916,0
113.164,112.976,0
113.163,113.037,0
113.164,113.036,0
113.154,113.036,0
113.073,113.037,0
113.044,112.956,0
113.073,112.887,0
112.983,112.817,0
113.013,112.817,0
113.014,112.756,0
112.883,112.697,0
112.933,112.727,0
113.024,112.816,0
113.103,112.907,0
113.094,112.906,0
113.093,112.907,0
113.094,112.906,0
112.964,112.906,0
113.003,112.827,0
112.973,112.817,0
113.023,112.817,0
113.144,112.936,0
113.144,112.936,0
113.144,113.006,0
113.144,113.006,0
113.203,113.007,0
113.173,113.007,0
113.174,113.056,0
113.174,113.056,0
113.244,113.116,0
113.243,113.117,0
113.234,113.116,0
113.153,113.067,0
113.153,113.057,0
113.153,113.057,0
113.173,113.057,0
113.174,113.056,0
113.254,113.066,0
113.253,113.057,0
113.254,113.086,0
113.303,113.197,0
113.254,113.21,0
113.304,113.136,0
113.303,113.137,0
113.303,113.197,0
113.354,113.236,0
113.354,113.236,0
113.323,113.247,0
113.293,113.237,0
113.234,113.196,0
113.274,113.196,0
113.243,113.197,0
113.243,113.067,0
113.243,113.087,0
113.244,113.106,0
113.184,113.036,0
113.213,113.037,0
113.184,113.036,0
113.184,113.036,0
113.183,113.087,0
113.184,113.086,0
113.194,113.086,0
113.193,113.087,0
113.193,113.087,0
113.194,113.086,0
113.193,113.087,0
113.193,113.087,0
113.193,113.087,0
113.173,113.087,0
113.213,113.087,0
113.174,113.086,0
113.193,113.087,0
113.194,113.086,0
113.163,113.127,0
113.163,113.117,0
113.164,113.116,0
113.214,113.116,0
113.214,113.116,0
113.213,113.117,0
113.213,113.117,0
113.214,113.126,0
113.214,113.116,0
113.244,113.146,0
113.244,113.146,0
113.244,113.146,0
113.243,113.147,0
113.244,113.156,0
113.204,113.156,0
113.244,113.146,0
113.213,113.147,0
113.173,112.977,0
113.123,112.977,0
113.093,112.977,0
113.044,112.976,0
113.114,112.976,0
113.124,112.976,0
113.123,112.977,0
113.004,112.976,0
113.043,112.857,0
113.013,112.857,0
112.994,112.916,0
113.013,112.917,0
113.023,112.917,0
113.023,112.917,0
113.114,112.976,0
113.114,112.916,0
113.063,112.917,0
113.134,112.976,0
113.134,112.996,0
113.133,113.067,0
113.123,113.067,0
113.134,113.066,0
113.074,112.916,0
113.073,112.927,0
113.104,112.966,0
113.104,112.966,0
113.104,113.046,0
113.153,113.107,0
113.153,113.067,0
113.153,113.057,0
113.243,113.117,0
113.213,113.177,0
113.244,113.176,0
113.203,113.157,0
113.243,113.157,0
113.284,113.216,0
113.284,113.216,0
113.283,113.217,0
113.283,113.217,0
113.284,113.216,0
113.283,113.217,0
113.284,113.216,0
113.294,113.216,0
113.243,113.217,0
113.284,113.076,0
113.273,113.077,0
113.173,113.027,0
113.254,113.136,0
113.294,113.136,0
113.293,113.177,0
113.214,113.186,0
113.283,113.057,0
113.203,113.057,0
113.204,113.056,0
113.203,113.067,0
113.254,113.166,0
113.234,113.166,0
113.244,113.096,0
113.233,113.097,0
113.234,113.096,0
113.294,113.106,0
113.254,113.106,0
113.254,113.106,0
113.294,113.156,0
113.293,113.207,0
113.294,113.186,0
113.294,113.156,0
113.293,113.157,0
113.233,113.157,0
113.233,113.157,0
113.313,113.227,0
113.344,113.226,0
113.333,113.227,0
113.293,113.097,0
113.303,113.197,0
113.303,113.197,0
113.383,113.257,0
113.383,113.257,0
113.404,113.316,0
113.474,113.236,0
113.474,113.316,0
113.523,113.317,0
113.524,113.316,0
113.524,113.316,0
113.534,113.316,0
113.484,113.326,0
113.483,113.317,0
113.483,113.347,0
113.443,113.247,0
113.444,113.246,0
113.423,113.267,0
113.443,113.267,0
113.444,113.286,0
113.453,113.357,0
113.353,113.227,0
113.333,113.227,0
113.334,113.206,0
113.433,113.287,0
113.454,113.286,0
113.453,113.287,0
113.514,113.346,0
113.494,113.346,0
113.484,113.346,0
113.453,113.347,0
113.413,113.407,0
113.443,113.327,0
113.443,113.327,0
113.363,113.227,0
113.364,113.206,0
113.363,113.207,0
113.454,113.286,0
113.453,113.257,0
113.453,113.267,0
113.453,113.277,0
113.454,113.286,0
113.443,113.287,0
113.454,113.286,0
113.443,113.287,0
113.454,113.286,0
113.444,113.286,0
113.453,113.287,0
113.454,113.366,0
113.443,113.367,0
113.453,113.367,0
113.404,113.196,0
113.403,113.207,0
113.404,113.196,0
113.323,113.197,0
113.404,113.286,0
113.343,113.287,0
113.414,113.286,0
113.324,113.256,-0.00650016
113.313,113.257,-0.000443191
113.294,113.146,-0.00650002
113.394,113.186,-0.00650052
113.374,113.186,-0.000443217
113.324,113.166,-0.00650027
113.273,113.167,-0.00650024
113.313,113.137,-0.00650028
113.313,113.157,-0.00650052
113.273,113.137,-0.00650028
113.263,113.197,-0.000443196
113.263,113.137,-0.00650028
113.234,113.136,-0.000443203
113.244,113.136,-0.00650031
113.264,113.136,-0.000443203
113.263,113.137,-0.00650028
113.363,113.177,0
113.373,113.177,0
113.303,113.177,0
113.303,113.177,0
113.304,113.176,-0.00649999
113.314,113.196,0
113.313,113.197,0
113.314,113.206,0
113.263,113.177,0
113.264,113.176,0
113.203,113.177,-0.000443179
113.184,113.056,-0.0117912
113.223,113.057,-0.00796688
113.264,113.046,-0.0128566
113.254,113.046,-0.000876586
113.253,113.047,-0.0127501
113.253,113.147,-0.0065
113.253,113.137,-0.00650028
113.184,113.126,-0.00434035
113.264,113.166,-0.00650027
113.263,113.097,-0.00742596
113.264,113.096,0
113.224,113.196,0
113.253,113.147,0
113.213,113.147,0
113.214,113.146,0
113.223,113.037,-0.0132
113.154,113.036,-0.0009
113.143,112.997,-0.0132
113.153,113.017,-0.0132
113.153,113.017,-0.0132
113.184,113.15,0
113.203,113.037,-0.0132
113.203,113.037,-0.0132
113.154,113.116,-0.000368484
113.134,112.996,-0.0132
113.133,112.997,-0.0132
113.123,113.057,0
113.123,113.057,0
113.124,112.996,-0.0132
113.134,112.996,-0.0132
113.134,112.996,-0.0009
113.123,112.997,-0.0132
113.034,112.996,-0.0009
113.034,112.916,-0.0132
112.993,112.917,-0.0009
112.974,112.806,-0.0132
112.963,112.847,-0.0009
112.963,112.847,-0.0132
112.944,112.826,-0.0132
112.944,112.826,-0.0132
112.944,112.806,0
112.924,112.786,0
112.924,112.786,0
112.984,112.856,0
112.984,112.856,0
112.984,112.906,0.0132
112.983,112.877,0.0132
112.943,112.877,0.0112
113.004,112.906,0.0132
113.063,112.907,0.0132
113.073,112.937,0.0132
113.043,112.937,0.0112
113.043,112.997,0.0132
113.174,112.996,0.0132
113.154,112.996,0.0132
113.134,112.996,0.0132
113.104,112.996,0.0112
113.103,113.047,0.0127501
113.164,113.106,0.00646788
113.223,113.167,0.00650024
113.224,113.146,0.00650002
113.224,113.146,0.00650002
113.213,113.147,0.0065
113.223,113.147,0.00551515
113.213,113.147,0.0065
113.164,113.026,0.0132
113.193,113.087,0.00849058
113.274,113.146,0.00650002
113.234,113.126,0.00434035
113.264,113.116,0
113.304,113.116,0
113.253,113.137,0
113.303,113.137,0
113.313,113.217,0.00650045
113.314,113.216,0.00551556
113.328,113.247,0.0055155
113.444,113.276,0.0065004
113.373,113.247,0.00650041
113.374,113.246,0.00551553
113.373,113.247,0.00650041
113.374,113.246,0.00650044
113.373,113.247,0.0055155
113.373,113.287,0.00650009
113.364,113.286,0.00650012
113.374,113.286,0.00650012
113.374,113.286,0.00650012
113.363,113.287,0.00650009
113.343,113.297,0.00443169
113.324,113.236,0
113.324,113.226,0
113.373,113.317,0.00650006
113.363,113.317,0.00650006
113.373,113.247,0
113.374,113.296,0.00649984
113.344,113.156,0
113.314,113.156,0
113.273,113.157,0
113.293,113.157,0
113.283,113.157,0
113.284,113.176,0
113.284,113.156,0
113.284,113.226,0
113.283,113.237,0
113.304,113.226,0
113.334,113.226,0.0065002
113.273,113.227,0.00443193
113.273,113.157,0
113.283,113.147,0
113.273,113.147,0
113.283,113.147,0
113.283,113.147,0
113.284,113.166,0
113.283,113.167,0
113.283,113.147,0
113.264,113.146,0
113.233,113.157,0
113.233,113.087,0
113.244,113.106,0
113.234,113.106,0
113.243,113.107,-0.00636153
113.233,113.107,-0.00043374
113.244,113.106,0
113.244,113.086,-0.00859697
113.213,113.087,-0.000578903
