ASK,BID,QUANTITY
213.034,212.416,0
212.753,211.997,0
212.754,211.996,0
212.754,211.996,0
212.753,211.997,0
212.753,211.997,0
212.754,211.996,0
212.754,212.046,0
212.754,212.046,0
212.623,212.327,0
213.193,212.417,0
213.044,212.416,0
213.044,212.416,0
213.153,212.647,0
213.154,212.276,0
213.154,212.276,0
213.184,212.276,0
212.654,212.406,0
212.534,212.276,0
212.704,212.406,0
212.664,212.276,0
212.703,212.277,0
213.033,212.427,0
212.944,212.426,0
212.783,212.427,0
213.034,212.426,0
213.033,212.427,0
213.033,212.427,0
213.033,212.427,0
213.033,212.437,0
213.033,212.437,0
213.034,212.426,0
213.033,212.427,0
213.034,212.426,0
213.034,212.436,0
213.193,212.437,0
213.514,213.116,0
214.243,213.297,0
214.243,213.297,0
214.244,213.296,0
214.244,213.346,0
214.243,213.387,0
214.243,213.387,0
213.803,213.547,0
213.803,213.377,0
213.744,213.376,0
213.633,213.377,0
213.744,213.376,0
213.683,213.347,0
213.683,213.347,0
213.633,213.027,0
213.634,213.026,0
213.564,213.026,0
213.543,213.027,0
213.633,213.027,0
213.634,213.026,0
213.523,213.097,0
213.514,213.096,0
213.634,213.096,0
213.493,213.097,0
213.633,213.097,0
213.443,213.097,0
213.423,213.097,0
213.413,213.097,0
213.634,213.096,0
213.403,213.097,0
213.633,213.097,0
213.404,213.096,0
213.634,213.096,0
213.373,213.097,0
213.374,213.026,0
213.634,213.026,0
213.353,213.027,0
213.363,213.027,0
213.333,213.027,0
213.363,213.027,0
213.284,213.026,0
213.283,213.027,0
213.363,213.027,0
213.204,213.01,0
213.204,212.446,0
213.364,212.446,0
213.123,212.447,0
213.363,212.447,0
213.104,212.446,0
213.093,212.447,0
213.364,212.446,0
213.094,212.446,0
213.364,212.446,0
213.363,212.447,0
213.073,212.447,0
213.063,212.447,0
213.363,212.447,0
213.064,212.446,0
213.053,212.447,0
213.364,212.446,0
213.364,212.446,0
213.643,212.917,0
213.474,212.716,0
213.473,213.097,0
213.554,213.186,0
213.564,213.186,0
213.313,213.097,0
213.213,213.097,0
213.334,213.026,0
213.304,213.026,0
213.304,212.706,0
