ASK,BID,QUANTITY
171.103,169.067,0
171.103,168.637,0
171.103,169.197,0
170.073,169.187,0
170.073,169.357,0
170.073,169.347,0
170.073,169.347,0
170.073,169.377,0
170.073,169.367,0
170.953,169.517,0
170.953,169.507,0
170.833,169.787,0
171.873,169.787,0
171.613,169.787,0
171.003,169.787,0
171.003,169.777,0
171.673,169.777,0
171.023,169.777,0
171.673,169.777,0
171.003,169.777,0
171.673,169.777,0
170.793,169.777,0
171.673,169.777,0
171.453,169.777,0
171.463,169.777,0
171.463,169.997,0
170.843,169.997,0
171.463,169.997,0
171.443,169.997,0
170.41,169.997,0
170.323,169.877,0
170.123,169.877,0
170.123,169.507,0
170.213,169.507,0
170.213,169.187,0
170.213,169.387,0
170.083,169.187,0
170.073,169.187,0
170.073,169.387,0
170.073,169.397,0
170.073,169.357,0
171.313,169.357,0
170.873,169.357,0
170.873,169.397,0
169.868,169.397,0
170.873,169.397,0
169.383,168.817,0
169.373,168.977,0
169.373,168.317,0
169.383,168.327,0
169.743,168.337,0
169.743,168.327,0
169.743,168.337,0
169.743,168.327,0
169.753,168.327,0
169.753,168.837,0
169.753,168.847,0
169.753,168.837,0
169.753,168.827,0
169.753,168.837,0
169.753,168.827,0
169.753,168.837,0
169.753,168.917,0
169.853,168.917,0
169.853,168.907,0
169.853,168.917,0
169.853,168.907,0
170.733,169.107,0
170.353,169.237,0
170.733,169.237,0
170.223,169.237,0
170.733,169.237,0
170.733,169.237,0
170.373,169.237,0
170.733,169.237,0
170.733,169.097,0
170.733,169.227,0
169.513,168.827,-0.0132
169.513,168.357,-0.0132
169.513,168.867,-0.0132
169.513,168.877,-0.0132
169.513,168.357,-0.0132
170.733,168.967,-0.0132
170.503,169.147,-0.00973141
169.943,169.147,-0.000663505
169.943,168.547,-0.0132
170.733,169.127,-0.0103501
170.603,169.127,0
170.603,169.377,0
170.603,168.757,-0.0132
170.603,168.767,-0.0132
170.603,168.757,0
170.603,168.757,-0.0132
170.603,168.767,-0.0132
170.603,168.757,-0.0132
170.603,168.757,0
170.603,168.767,-0.0132
170.603,168.757,-0.0132
170.603,168.787,-0.0132
170.603,168.797,0
170.613,169.867,0.000467912
