ASK,BID,QUANTITY
215.604,215.506,0
215.643,215.507,0
215.624,215.546,0
215.614,215.496,0
215.643,215.497,0
215.704,215.606,0
215.713,215.607,0
215.793,215.507,0
215.794,215.636,0
215.793,215.657,0
215.733,215.627,0
215.774,215.606,0
215.663,215.587,0
215.593,215.507,0
215.593,215.407,0
215.593,215.427,0
215.623,215.537,0
215.623,215.577,0
215.644,215.426,0
215.724,215.646,0
215.763,215.707,0
215.803,215.737,0
215.804,215.696,0
215.864,215.736,0
215.924,215.866,0
215.924,215.856,0
215.924,215.826,0
215.964,215.856,0
216.063,216.017,0
216.054,215.846,0
216.034,215.736,0
216.073,215.797,0
215.984,215.736,0
215.994,215.876,0
216.084,215.916,0
216.073,215.917,0
216.083,215.917,0
216.073,215.917,0
216.123,215.917,0
216.144,215.916,0
216.114,215.916,0
216.023,215.897,0
216.023,215.907,0
216.024,215.896,0
216.023,215.727,0
215.894,215.796,0
215.893,215.777,0
215.873,215.807,0
215.873,215.797,0
215.863,215.787,0
215.873,215.787,0
215.873,215.777,0
215.873,215.767,0
215.873,215.687,0
215.833,215.757,0
215.833,215.737,0
215.833,215.717,0
215.894,215.776,0
215.863,215.807,0
215.863,215.797,0
215.893,215.827,0
215.963,215.847,0
215.934,215.816,0
215.974,215.816,0
215.944,215.716,0
215.994,215.836,0
216.033,215.897,0
216.023,215.897,0
216.003,215.917,0
216.013,215.937,0
216.004,215.956,0
216.244,216.046,0
216.223,216.047,0
216.213,216.027,0
216.193,216.027,0
216.134,216.006,0
216.134,215.986,0
216.114,215.966,0
216.054,215.956,0
215.964,215.856,0
215.964,215.856,0
215.963,215.877,0
215.963,215.857,0
215.964,215.846,0
215.993,215.837,0
215.984,215.836,0
216.013,215.927,0
216.083,215.937,0
215.993,215.897,0
216.003,215.937,0
215.984,215.916,0
215.994,215.916,0
215.973,215.907,0
215.983,215.907,0
215.994,215.946,0
215.913,215.847,0
215.913,215.837,0
215.924,215.866,0
215.894,215.796,0
215.854,215.726,0
215.833,215.727,0
215.854,215.766,0
215.823,215.777,0
215.854,215.796,0
215.854,215.786,0
215.893,215.827,0
215.884,215.816,0
215.883,215.787,0
215.863,215.707,0
215.764,215.626,0
215.824,215.726,0
215.823,215.747,0
215.773,215.707,0
215.774,215.686,0
215.773,215.697,0
215.724,215.636,0
215.723,215.627,0
215.784,215.686,0
215.784,215.706,0
215.764,215.686,0
215.774,215.686,0
215.773,215.707,0
215.774,215.716,0
215.763,215.707,0
215.764,215.706,0
215.764,215.696,0
215.763,215.677,0
215.763,215.677,0
215.754,215.666,0
215.744,215.706,0
215.773,215.707,0
215.833,215.757,0
215.864,215.766,0
215.863,215.777,0
215.823,215.727,0
215.833,215.757,0
215.963,215.787,0
215.993,215.827,0
216.024,215.856,0
216.053,215.867,0
216.044,215.866,0
216.043,215.897,0
216.134,215.966,0
216.053,215.947,0
216.024,215.916,0
216.083,215.987,0
216.114,216.046,0
216.084,216.006,0
216.064,216.006,0
216.084,216.006,0
216.074,216.006,0
216.064,215.996,0
216.073,215.997,0
216.083,215.997,0
216.063,215.997,0
215.974,215.866,0
215.904,215.816,0
215.944,215.796,0
215.924,215.796,0
215.924,215.806,0
215.924,215.816,0
216.074,215.996,0
216.074,215.986,0
216.074,215.996,0
216.044,215.976,0
216.084,216.016,0
216.044,215.986,0
216.083,215.977,0
216.063,215.977,0
215.993,215.907,0
215.983,215.907,0
215.924,215.796,0
215.933,215.797,0
215.983,215.837,0
215.964,215.806,0
215.963,215.817,0
215.964,215.796,0
215.963,215.807,0
215.994,215.856,0
216.003,215.857,0
216.004,215.896,0
215.994,215.856,0
215.994,215.876,0
216.104,216.016,0
216.033,215.917,0
216.103,215.977,0
216.064,215.976,0
216.063,215.967,0
216.083,216.027,0
216.103,215.997,0
216.103,215.987,0
216.103,216.007,0
216.103,215.987,0
216.083,215.947,0
216.003,215.937,0
215.983,215.927,0
216.053,215.887,0
216.043,215.917,0
216.043,215.927,0
216.023,215.927,0
216.034,215.936,0
216.044,215.926,0
216.043,215.937,0
216.034,215.936,0
216.023,215.937,0
216.064,215.986,0
216.063,215.977,0
216.144,216.046,0
216.163,215.987,0
216.164,215.996,0
216.114,216.016,0
216.124,215.996,0
216.134,215.996,0
216.113,215.997,0
216.123,216.017,0
216.144,216.026,0
216.164,216.086,0
216.163,216.097,0
216.164,216.106,0
216.204,216.156,0
216.383,216.237,0
216.373,216.237,0
216.323,216.237,0
216.344,216.236,0
216.344,216.276,0
216.353,216.257,0
216.313,216.237,0
216.334,216.236,0
216.353,216.257,0
216.354,216.236,0
216.333,216.257,0
216.343,216.237,0
216.344,216.236,0
216.313,216.257,0
216.353,216.307,0
216.383,216.317,0
216.454,216.396,0
216.453,216.407,0
216.444,216.366,0
216.464,216.366,0
216.454,216.366,0
216.523,216.437,0
216.584,216.366,0
216.594,216.526,0
216.583,216.417,0
216.584,216.506,0
216.593,216.507,0
216.553,216.497,0
216.543,216.457,0
216.573,216.457,0
216.564,216.456,0
216.563,216.487,0
216.603,216.487,0
216.604,216.506,0
216.603,216.527,0
216.673,216.587,0
216.753,216.587,0
216.703,216.517,0
216.704,216.526,0
216.734,216.536,0
216.724,216.566,0
216.724,216.586,0
216.733,216.587,0
216.733,216.667,0
216.704,216.566,0
216.703,216.617,0
216.713,216.627,0
216.803,216.727,0
216.804,216.696,0
216.764,216.696,0
216.783,216.697,0
216.773,216.697,0
216.763,216.697,0
216.834,216.706,0
216.844,216.706,0
216.883,216.727,0
216.943,216.877,0
216.983,216.787,0
216.963,216.787,0
216.954,216.786,0
216.963,216.787,0
216.893,216.787,0
216.893,216.767,0
216.913,216.727,0
216.913,216.747,0
216.934,216.766,0
217.074,216.926,0
217.073,216.937,0
217.133,216.957,0
217.163,217.057,0
217.174,217.076,0
217.173,217.047,0
217.123,217.037,0
217.143,217.047,0
217.154,217.076,0
217.163,217.097,0
217.114,217.026,0
217.174,217.076,0
217.163,217.077,0
217.153,217.047,0
217.124,216.966,0
217.173,217.047,0
217.194,217.066,0
217.193,217.057,0
217.194,217.036,0
217.194,217.026,0
217.193,217.057,0
217.194,217.026,0
217.193,217.007,0
217.103,217.037,0
217.104,217.016,0
217.123,216.987,0
217.174,217.046,0
217.193,217.047,0
217.194,217.056,0
217.073,216.987,0
217.134,217.046,0
217.194,217.116,0
217.223,217.107,0
217.223,217.057,0
217.214,217.126,0
217.214,217.066,0
217.234,217.076,0
217.234,217.166,0
217.304,217.166,0
217.324,217.166,0
217.334,217.166,0
217.364,217.206,0
217.403,217.267,0
217.344,217.226,0
217.333,217.207,0
217.334,217.186,0
217.283,217.177,0
217.343,217.197,0
217.444,217.316,0
217.443,217.337,0
217.374,217.306,0
217.393,217.317,0
217.373,217.307,0
217.394,217.316,0
217.393,217.327,0
217.394,217.346,0
217.434,217.336,0
217.444,217.336,0
217.444,217.356,0
217.443,217.347,0
217.404,217.296,0
217.384,217.316,0
217.403,217.327,0
217.404,217.316,0
217.404,217.326,0
217.444,217.376,0
217.443,217.367,0
217.443,217.387,0
217.444,217.376,0
217.443,217.377,0
217.443,217.367,0
217.434,217.336,0
217.444,217.356,0
217.393,217.327,0
217.294,217.206,0
217.214,217.126,0
217.223,217.127,0
217.224,217.136,0
217.223,217.117,0
217.163,217.087,0
217.173,217.097,0
217.143,217.087,0
217.164,217.086,0
217.113,217.047,0
217.103,217.057,0
217.043,216.957,0
217.074,216.926,0
217.094,216.926,0
217.103,216.967,0
217.124,217.026,0
217.123,217.017,0
217.153,217.037,0
216.984,216.916,0
216.994,216.916,0
216.993,216.947,0
217.004,216.886,0
217.004,216.866,0
217.003,216.897,0
216.983,216.727,0
216.994,216.796,0
216.854,216.736,0
216.834,216.726,0
216.754,216.636,0
216.753,216.647,0
216.714,216.636,0
216.673,216.577,0
216.773,216.607,0
216.713,216.587,0
216.703,216.587,0
216.714,216.586,0
216.714,216.566,0
216.683,216.557,0
216.634,216.556,0
216.564,216.496,0
216.573,216.497,0
216.573,216.517,0
216.584,216.526,0
216.593,216.527,0
216.594,216.496,0
216.584,216.496,0
216.553,216.507,0
216.573,216.507,0
216.594,216.506,0
216.783,216.697,0
216.814,216.736,0
216.853,216.667,0
216.794,216.656,0
216.883,216.657,0
216.843,216.647,0
216.843,216.687,0
216.804,216.696,0
216.883,216.717,0
216.824,216.736,0
216.874,216.736,0
216.754,216.676,0
216.784,216.686,0
216.783,216.667,0
216.693,216.607,0
216.704,216.536,0
216.634,216.516,0
216.684,216.586,0
216.744,216.596,0
216.744,216.616,0
216.774,216.626,0
216.744,216.596,0
216.674,216.526,0
216.624,216.526,0
216.613,216.527,0
216.663,216.527,0
216.643,216.597,0
216.623,216.547,0
216.633,216.547,0
216.673,216.587,0
216.684,216.606,0
216.673,216.577,0
216.604,216.516,0
216.553,216.497,0
216.573,216.497,0
216.603,216.527,0
216.594,216.506,0
216.564,216.496,0
216.554,216.496,0
216.563,216.497,0
216.573,216.497,0
216.593,216.497,0
216.574,216.496,0
216.553,216.497,0
216.604,216.496,0
216.644,216.536,0
216.643,216.547,0
216.663,216.557,0
216.643,216.547,0
216.623,216.517,0
216.604,216.516,0
216.574,216.496,0
216.504,216.476,0
216.554,216.476,0
216.564,216.476,0
216.564,216.456,0
216.553,216.457,0
216.344,216.246,0
216.283,216.217,0
216.284,216.206,0
216.274,216.226,0
216.293,216.167,0
216.264,216.136,0
216.264,216.146,0
216.253,216.157,0
216.143,216.017,0
216.153,216.037,0
216.164,216.036,0
216.173,216.037,0
216.204,216.056,0
216.143,216.057,0
216.144,216.036,0
216.144,216.006,0
216.144,216.076,0
216.134,216.076,0
216.204,216.106,0
216.264,216.166,0
216.254,216.116,0
216.213,216.117,0
216.213,216.117,0
216.183,216.107,0
216.104,216.036,0
216.094,215.996,0
216.074,215.986,0
216.093,215.997,0
216.084,215.996,0
216.064,215.986,0
216.154,216.066,0
216.143,216.067,0
216.143,216.087,0
216.073,215.997,0
216.024,215.936,0
216.003,215.907,0
216.023,215.947,0
216.123,216.017,0
216.103,216.017,0
216.104,216.016,0
216.084,216.016,0
216.104,216.016,0
216.213,216.087,0
216.233,216.087,0
216.283,216.157,0
216.114,215.956,0
216.093,215.957,0
215.993,215.917,0
216.023,215.927,0
216.014,215.936,0
215.994,215.916,0
215.974,215.876,0
215.904,215.816,0
215.913,215.827,0
215.913,215.847,0
215.943,215.837,0
216.043,215.907,0
215.974,215.836,0
215.963,215.837,0
215.814,215.726,0
215.793,215.697,0
215.713,215.647,0
215.723,215.667,0
215.743,215.687,0
215.773,215.667,0
215.743,215.667,0
215.644,215.546,0
215.644,215.536,0
215.683,215.547,0
215.663,215.547,0
215.653,215.547,0
215.724,215.606,0
215.723,215.567,0
215.744,215.586,0
215.734,215.586,0
215.733,215.587,0
215.794,215.666,0
215.793,215.647,0
215.754,215.626,0
215.753,215.587,0
215.734,215.606,0
215.783,215.647,0
215.784,215.626,0
215.754,215.626,0
215.743,215.607,0
215.733,215.607,0
215.704,215.596,0
215.704,215.586,0
215.693,215.587,0
215.704,215.606,0
215.734,215.626,0
215.764,215.666,0
215.774,215.666,0
215.754,215.646,0
215.773,215.677,0
215.864,215.796,0
215.864,215.796,0
215.904,215.806,0
215.883,215.827,0
215.884,215.816,0
215.873,215.807,0
215.843,215.737,0
215.844,215.756,0
215.854,215.796,0
215.844,215.776,0
215.854,215.786,0
215.853,215.777,0
215.863,215.817,0
215.873,215.817,0
215.863,215.817,0
215.883,215.817,0
215.904,215.816,0
215.893,215.817,0
215.864,215.776,0
215.803,215.767,0
215.803,215.707,0
215.813,215.707,0
215.913,215.817,0
215.754,215.666,0
215.734,215.676,0
215.733,215.617,0
215.734,215.626,0
215.774,215.666,0
215.703,215.627,0
215.703,215.617,0
215.673,215.597,0
215.684,215.596,0
215.714,215.616,0
215.673,215.577,0
215.693,215.577,0
215.674,215.576,0
215.674,215.646,0
215.664,215.586,0
215.693,215.607,0
215.894,215.616,0
215.894,215.786,0
215.874,215.786,0
215.904,215.786,0
215.834,215.726,0
215.854,215.776,0
215.853,215.767,0
215.834,215.736,0
215.793,215.717,0
215.733,215.647,0
215.704,215.626,0
215.604,215.546,0
215.603,215.537,0
215.604,215.516,0
215.474,215.366,0
215.444,215.356,0
215.504,215.416,0
215.504,215.346,0
215.454,215.336,0
215.454,215.306,0
215.414,215.336,0
215.433,215.357,0
215.434,215.346,0
215.473,215.397,0
215.473,215.357,0
215.454,215.356,0
215.484,215.426,0
215.484,215.416,0
215.514,215.426,0
215.524,215.426,0
215.543,215.447,0
215.543,215.467,0
215.513,215.427,0
215.503,215.427,0
215.434,215.366,0
215.413,215.337,0
215.393,215.337,0
215.384,215.316,0
215.404,215.316,0
215.393,215.317,0
215.384,215.316,0
215.493,215.377,0
215.463,215.397,0
215.433,215.377,0
215.423,215.337,0
215.424,215.356,0
215.424,215.336,0
215.404,215.326,0
215.404,215.316,0
215.444,215.376,0
215.454,215.386,0
215.443,215.377,0
215.423,215.327,0
215.424,215.356,0
215.413,215.337,0
215.394,215.316,0
215.384,215.306,0
215.383,215.317,0
215.413,215.337,0
215.403,215.317,0
215.404,215.326,0
215.414,215.346,0
215.444,215.376,0
215.494,215.406,0
215.504,215.406,0
215.664,215.546,0
215.764,215.606,0
215.693,215.617,0
215.663,215.597,0
215.694,215.606,0
215.694,215.596,0
215.693,215.517,0
215.613,215.517,0
215.614,215.536,0
215.593,215.537,0
215.793,215.587,0
215.783,215.587,0
215.794,215.616,0
215.664,215.536,0
215.663,215.497,0
215.623,215.507,0
215.633,215.527,0
215.624,215.516,0
215.634,215.516,0
215.633,215.527,0
215.624,215.486,0
215.523,215.447,0
215.453,215.307,0
215.434,215.376,0
215.543,215.357,0
215.454,215.336,0
215.443,215.317,0
215.423,215.317,0
215.443,215.317,0
215.393,215.287,0
215.404,215.286,0
215.424,215.326,0
215.413,215.307,0
215.413,215.307,0
215.383,215.287,0
215.363,215.287,0
215.353,215.287,0
215.354,215.306,0
215.353,215.257,0
215.354,215.266,0
215.353,215.257,0
215.354,215.256,0
215.354,215.276,0
215.413,215.297,0
215.384,215.316,0
215.383,215.317,0
215.384,215.296,0
215.334,215.156,0
215.284,215.186,0
215.284,215.196,0
215.353,215.237,0
215.384,215.226,0
215.334,215.246,0
215.354,215.256,0
215.193,215.117,0
215.024,214.846,0
214.974,214.856,0
215.073,214.957,0
215.134,215.036,0
215.123,215.057,0
215.084,214.976,0
215.003,214.917,0
214.983,214.917,0
215.003,214.917,0
215.024,214.916,0
214.983,214.917,0
215.023,214.917,0
215.003,214.917,0
215.024,214.916,0
215.124,214.956,0
215.103,214.957,0
215.044,214.956,0
215.023,214.937,0
215.053,214.977,0
215.054,214.956,0
215.053,214.957,0
215.044,214.956,0
214.994,214.906,0
214.954,214.856,0
214.953,214.867,0
214.964,214.866,0
214.974,214.876,0
214.974,214.886,0
214.973,214.877,0
214.904,214.836,0
214.894,214.806,0
214.884,214.796,0
214.813,214.717,0
214.804,214.706,0
214.713,214.657,0
214.683,214.637,0
214.663,214.607,0
214.754,214.586,0
214.723,214.587,0
214.714,214.586,0
214.734,214.596,0
214.714,214.596,0
214.703,214.597,0
214.693,214.597,0
214.714,214.596,0
214.733,214.627,0
214.753,214.627,0
214.744,214.636,0
214.694,214.596,0
214.694,214.616,0
214.694,214.606,0
214.663,214.607,0
214.664,214.616,0
214.673,214.617,0
214.623,214.537,0
214.653,214.557,0
214.633,214.557,0
214.634,214.536,0
214.634,214.526,0
214.463,214.407,0
214.444,214.376,0
214.443,214.357,0
214.433,214.377,0
214.444,214.366,0
214.543,214.407,0
214.533,214.407,0
214.464,214.406,0
214.424,214.356,0
214.394,214.356,0
214.383,214.267,0
214.293,214.247,0
214.293,214.197,0
214.324,214.246,0
214.344,214.276,0
214.363,214.287,0
214.374,214.286,0
214.434,214.306,0
214.433,214.317,0
214.383,214.327,0
214.344,214.276,0
214.333,214.247,0
214.444,214.316,0
214.444,214.386,0
214.414,214.256,0
214.404,214.256,0
214.394,214.286,0
214.284,214.166,0
214.263,214.187,0
214.243,214.147,0
214.194,214.146,0
214.214,214.146,0
214.343,214.227,0
214.333,214.257,0
214.324,214.256,0
214.303,214.257,0
214.414,214.266,0
214.383,214.267,0
214.354,214.266,0
214.363,214.267,0
214.384,214.266,0
214.384,214.286,0
214.444,214.366,0
214.433,214.357,0
214.414,214.356,0
214.443,214.357,0
214.463,214.377,0
214.493,214.397,0
214.493,214.417,0
214.454,214.396,0
214.623,214.417,0
214.623,214.517,0
214.654,214.526,0
214.653,214.507,0
214.554,214.476,0
214.553,214.477,0
214.553,214.497,0
214.554,214.476,0
214.553,214.487,0
214.614,214.526,0
214.624,214.526,0
214.614,214.526,0
214.684,214.526,0
214.663,214.527,0
214.583,214.527,0
214.564,214.516,0
214.553,214.497,0
214.594,214.496,0
214.744,214.586,0
214.674,214.586,0
214.703,214.607,0
214.673,214.607,0
214.684,214.606,0
214.724,214.676,0
214.794,214.746,0
214.743,214.697,0
214.753,214.717,0
214.734,214.696,0
214.734,214.686,0
214.764,214.716,0
214.763,214.727,0
214.903,214.817,0
214.903,214.827,0
214.903,214.777,0
214.904,214.786,0
214.904,214.766,0
214.904,214.756,0
214.903,214.587,0
214.774,214.716,0
214.903,214.797,0
214.783,214.727,0
214.834,214.756,0
214.834,214.766,0
214.834,214.786,0
214.904,214.796,0
214.904,214.796,0
214.894,214.806,0
214.884,214.846,0
214.964,214.906,0
214.963,214.867,0
214.963,214.877,0
214.964,214.866,0
214.833,214.797,0
214.834,214.796,0
214.834,214.756,0
214.834,214.766,0
214.833,214.777,0
214.823,214.737,0
214.824,214.736,0
214.833,214.757,0
214.834,214.746,0
214.834,214.756,0
214.834,214.746,0
214.884,214.796,0
214.884,214.776,0
214.873,214.797,0
214.883,214.807,0
214.883,214.817,0
214.884,214.806,0
214.844,214.756,0
214.843,214.767,0
214.843,214.777,0
214.844,214.756,0
214.844,214.736,0
214.813,214.727,0
214.814,214.686,0
214.814,214.726,0
214.813,214.707,0
214.784,214.706,0
214.783,214.727,0
214.784,214.716,0
214.823,214.757,0
214.864,214.776,0
214.863,214.817,0
214.853,214.787,0
214.844,214.786,0
214.864,214.796,0
214.913,214.857,0
214.903,214.857,0
214.913,214.867,0
214.923,214.867,0
214.914,214.856,0
214.984,214.856,0
215.164,215.006,0
215.134,215.006,0
215.134,214.996,0
215.113,214.987,0
215.053,214.967,0
215.053,214.947,0
215.054,214.976,0
215.073,214.987,0
215.074,214.976,0
215.074,214.976,0
215.033,214.967,0
215.034,214.956,0
215.013,214.977,0
215.013,214.967,0
215.003,214.957,0
215.004,214.916,0
215.004,214.896,0
214.954,214.916,0
214.974,214.896,0
214.973,214.907,0
214.973,214.887,0
214.973,214.917,0
215.033,214.937,0
214.993,214.957,0
215.034,214.966,0
215.013,214.967,0
215.084,214.976,0
214.983,214.937,0
214.983,214.917,0
214.913,214.827,0
214.914,214.836,0
214.883,214.847,0
214.913,214.867,0
214.914,214.876,0
214.934,214.886,0
214.913,214.867,0
214.903,214.857,0
214.884,214.816,0
214.874,214.816,0
214.994,214.906,0
214.993,214.917,0
214.984,214.916,0
